Wavelength [nm],Absorbance,Wavelength simulated [nm],Absorbance simulated
501.6875,0.9654249714815255,501.40014,0.85616967
501.71875,0.9655088485456131,501.42514,0.85563691
501.75,0.9654634380959506,501.45015,0.85510297
501.78125,0.9654330585215146,501.47515,0.85457183
501.8125,0.9653769439792346,501.50015,0.85404766
501.84375,0.9654005211397831,501.52515,0.85353478
501.875,0.9653887976106343,501.55016,0.85303760
501.875,0.9653727732175474,501.57516,0.85256060
501.90625,0.9654340749124045,501.60016,0.85210824
501.9375,0.9653694694988493,501.62516,0.85168496
501.96875,0.9653591095222648,501.65017,0.85129509
502.0,0.9655083312842649,501.67517,0.85094280
502.03125,0.9654336001490184,501.70017,0.85063206
502.0625,0.9654687870229097,501.72517,0.85036656
502.09375,0.9654857567433537,501.75018,0.85014970
502.125,0.9655357393477979,501.77518,0.84998448
502.15625,0.9654591780796591,501.80018,0.84987349
502.1875,0.9654241694232412,501.82518,0.84981885
502.21875,0.9654647752208912,501.85019,0.84982217
502.25,0.9655281355979326,501.87519,0.84988454
502.28125,0.9654382003362633,501.90019,0.85000646
502.3125,0.9655534476485799,501.92519,0.85018786
502.34375,0.9654960624593986,501.95020,0.85042805
502.375,0.9655046831614543,501.97520,0.85072577
502.40625,0.9655385151103637,502.00020,0.85107913
502.4375,0.9655283126941886,502.02520,0.85148568
502.46875,0.9654862120953032,502.05021,0.85194238
502.5,0.9655105437828343,502.07521,0.85244568
502.53125,0.9655509759410397,502.10021,0.85299151
502.5625,0.9655238134591078,502.12521,0.85357536
502.59375,0.9654884392039731,502.15022,0.85419229
502.625,0.9655293336565832,502.17522,0.85483701
502.625,0.9655042741238145,502.20022,0.85550394
502.65625,0.9654765677889996,502.22522,0.85618723
502.6875,0.9654965192554734,502.25023,0.85688086
502.71875,0.965567749428883,502.27523,0.85757869
502.75,0.9655595483117964,502.30023,0.85827451
502.78125,0.9654918093742731,502.32523,0.85896211
502.8125,0.9655691597410333,502.35024,0.85963533
502.84375,0.9655688310578296,502.37524,0.86028811
502.875,0.9654894267352888,502.40024,0.86091455
502.90625,0.9655741236826533,502.42524,0.86150898
502.9375,0.9655161045226505,502.45025,0.86206594
502.96875,0.9654981798284081,502.47525,0.86258029
503.0,0.9655635890708887,502.50025,0.86304721
503.03125,0.9654555646821529,502.52525,0.86346223
503.0625,0.9655001702372135,502.55026,0.86382128
503.09375,0.965482461052483,502.57526,0.86412071
503.125,0.9654661231136976,502.60026,0.86435729
503.15625,0.9654347530340882,502.62526,0.86452826
503.1875,0.9654299903761607,502.65027,0.86463133
503.21875,0.9654360910212171,502.67527,0.86466472
503.25,0.9653909488209172,502.70027,0.86462711
503.28125,0.9654661982933114,502.72527,0.86451774
503.3125,0.9654857722013115,502.75028,0.86433636
503.34375,0.9654320260936238,502.77528,0.86408323
503.375,0.9654143233330422,502.80028,0.86375917
503.375,0.9654714256095397,502.82528,0.86336555
503.40625,0.9654462550908371,502.85029,0.86290425
503.4375,0.9654791189385776,502.87529,0.86237771
503.46875,0.9655434186074493,502.90029,0.86178890
503.5,0.9655094552039467,502.92529,0.86114132
503.53125,0.9655731671162135,502.95030,0.86043898
503.5625,0.9655728701832659,502.97530,0.85968639
503.59375,0.9656318537232298,503.00030,0.85888851
503.625,0.9655786270957258,503.02530,0.85805078
503.65625,0.965579801343214,503.05031,0.85717902
503.6875,0.965617745608236,503.07531,0.85627942
503.71875,0.9656244972497946,503.10031,0.85535849
503.75,0.9656659438929025,503.12531,0.85442302
503.78125,0.9655449538424845,503.15032,0.85347997
503.8125,0.9655972543444247,503.17532,0.85253645
