Relative error MAE,Relative error MAE + Energy,Relative error Brutus numerical,Relative error Brutus,x1,y1,x2,y2,x3,y3
0.001046756748110056,0.2098362296819687,0.0008286910597234964,6.397295444973215e-08,-0.04021750884089186,-0.4582727046944605,-0.4156282066859679,-0.1581944108393606,0.45584571552685976,0.616467115533821
0.026492508128285408,0.18665654957294464,0.0020926876459270716,6.397397015380957e-08,-0.03836031805161406,-0.4629204047927103,-0.4198516471138419,-0.1570127284443293,0.4582119651654559,0.6199331332370396
0.040338512510061264,0.13107098639011383,0.000788698554970324,6.397485764479973e-08,-0.03654843962431292,-0.4675184035438184,-0.4240169799247359,-0.1558636178405717,0.46056541954904884,0.6233820213843901
0.017304493114352226,0.02892131172120571,0.0008261441835202277,6.397560025500126e-08,-0.03478025405707393,-0.4720680567064761,-0.4281259780406966,-0.1547459332537688,0.4629062320977705,0.626813989960245
0.09444703161716461,0.03858400508761406,0.0008037043735384941,6.397624824394437e-08,-0.03305424782906458,-0.4765706418960251,-0.432180304725634,-0.1536586020995316,0.4652345525546986,0.6302292439955567
0.14653658866882324,0.053978562355041504,0.0007200023392215371,6.397886250879401e-08,-0.0313690038569939,-0.4810273651290363,-0.436181523253716,-0.1526006185966551,0.4675505271107099,0.6336279837256914
0.2191387116909027,0.07345414906740189,0.0018435089150443673,6.398113200865195e-08,-0.02972319303542699,-0.4854393666579117,-0.4401311054885586,-0.1515710380843329,0.4698542985239856,0.6370104047422446
0.266659677028656,0.09238111972808838,0.0007497385959140956,6.398310482342593e-08,-0.02811556671317026,-0.4898077261892462,-0.4440304395212065,-0.1505689719498718,0.4721460062343768,0.6403766981391179
0.24230295419692993,0.11101596802473068,0.0006679639336653054,6.398483723866125e-08,-0.02654494998273309,-0.4941334675641,-0.4478808364901911,-0.1495935830889322,0.4744257864729242,0.6437270506530322
0.2272631675004959,0.12929797172546387,0.0018086789641529322,6.3986358743368e-08,-0.02501023567665903,-0.4984175629682632,-0.4516835366901047,-0.1486440818304864,0.47669377236676375,0.6470616447987496
0.1502825915813446,0.14712126553058624,0.0006386407185345888,6.398770305758814e-08,-0.02351037898195952,-0.5026609367294932,-0.4554397150576833,-0.147719722269695,0.47895009403964284,0.6503806589991882
0.053397536277770996,0.1646149754524231,0.0006794591899961233,6.398888620795755e-08,-0.0220443925962647,-0.5068644687510527,-0.459150486112021,-0.1468197989596007,0.4811948787082857,0.6536842677106535
0.02370198257267475,0.18182304501533508,0.0016622693510726094,6.398994473520614e-08,-0.02061134236033059,-0.5110289976239444,-0.4628169084144576,-0.1459436439194268,0.4834282507747882,0.6569726415433712
0.008575599640607834,0.19860969483852386,0.0006029848009347916,6.39908824857265e-08,-0.0192103433106833,-0.5151553234544487,-0.4664399886045743,-0.1450906239230846,0.4856503319152576,0.6602459473775333
0.0062247165478765965,0.2151145488023758,0.0006394667434506118,6.399171869148174e-08,-0.01784055610388237,-0.5192442104387233,-0.4700206850609772,-0.1442601380363209,0.48786124116485957,0.6635043484750441
0.014039977453649044,0.23136098682880402,0.0006201243959367275,6.399247194336951e-08,-0.01650118377038008,-0.5232963892120184,-0.473559911229094,-0.1434516153750906,0.4900610949994741,0.666748004587109
0.05039142444729805,0.247170552611351,0.0005619598086923361,6.399315519091163e-08,-0.01519146876147654,-0.5273125589966501,-0.4770585386526137,-0.1426645130612516,0.49225000741409025,0.6699770720579017
0.09505373239517212,0.2627934217453003,0.001583454548381269,6.39937662544856e-08,-0.01391069025756079,-0.531293389569721,-0.4805173997405621,-0.1418983143546832,0.49442808999812293,0.6731917039244042
0.10919538140296936,0.2781285047531128,0.0005369730642996728,6.399431718612164e-08,-0.01265816170983987,-0.5352395230691366,-0.4839372902979473,-0.1411525269435053,0.49659545200778715,0.6763920500126419
0.12302768230438232,0.27573469281196594,0.0005808891146443784,6.399482503816036e-08,-0.0114332285911957,-0.539151575654112,-0.4873189718444638,-0.1404266813762912,0.49875220043565954,0.6795782570304032
0.1366892158985138,0.2354947328567505,0.0005682925111614168,6.399528275888195e-08,-0.01023526633476331,-0.5430301390345572,-0.4906631737428181,-0.1397203296220837,0.5008984400775814,0.6827504686566409
0.05988643690943718,0.22677122056484222,0.0005111603531986475,6.399570881097098e-08,-0.00906367844137246,-0.5468757818820151,-0.4939705951556196,-0.1390330437456607,0.503034273596992,0.6859088256276759
0.1079169288277626,0.24053709208965302,0.0014111633645370603,6.399609755305161e-08,-0.00791789473919872,-0.5506890511333521,-0.4972419068476517,-0.1383644146869513,0.5051598015868504,0.6890534658203034
0.18511192500591278,0.25407513976097107,0.0005309156840667129,6.399644924155003e-08,-0.006797369780881309,-0.5544704731972527,-0.5004777528483481,-0.1377140511347378,0.5072751226292294,0.6921845243319905
0.17489683628082275,0.2673902213573456,0.0004872750141657889,6.399676862035043e-08,-0.005701581365026877,-0.5582205550723591,-0.5036787519876597,-0.1370815784858715,0.5093803333526865,0.6953021335582306
0.16477453708648682,0.2803863286972046,0.0013875532895326614,6.399706389509044e-08,-0.004630029170467932,-0.5619397853850142,-0.5068454993170665,-0.136466637882178,0.5114755284875344,0.6984064232671923
