Time[s],Wavelength [nm],Voltage [V]
3726672400.9465007800,754.9062500000,0.1146480000
3726672401.8206110000,755.0000000000,0.1140373000
3726672402.7055177700,755.0937500000,0.1172295000
3726672403.5907359100,755.1875000000,0.1177993000
3726672404.4755816400,755.3125000000,0.1179259000
3726672405.3582415600,755.4062500000,0.1115232000
3726672406.2432479800,755.5000000000,0.1161522000
3726672407.1264386200,755.5937500000,0.1152515000
3726672408.0106062900,755.6875000000,0.1159684000
3726672408.8956337000,755.8125000000,0.1151310000
3726672409.7783031500,755.9062500000,0.1177115000
3726672410.6653118100,756.0000000000,0.1151402000
3726672411.5493969900,756.0937500000,0.1188828000
3726672412.4386286700,756.1875000000,0.1171703000
3726672413.3234162300,756.3125000000,0.1145622000
3726672414.2076277700,756.4062500000,0.1157825000
3726672415.0952734900,756.5000000000,0.1183916000
3726672415.9822897900,756.5937500000,0.1164340000
3726672416.8631567900,756.6875000000,0.1166178000
3726672417.7467665700,756.8125000000,0.1161583000
3726672418.6342959400,756.9062500000,0.1176584000
3726672419.5180640200,757.0000000000,0.1148277000
3726672420.3945369700,757.0937500000,0.1166709000
3726672421.2811489100,757.1875000000,0.1155170000
3726672422.1626071900,757.3125000000,0.1163441000
3726672423.0513472500,757.4062500000,0.1177319000
3726672423.9299793200,757.5000000000,0.1143151000
3726672424.8153934500,757.5937500000,0.1170191000
3726672425.7034416200,757.6875000000,0.1164218000
3726672426.5807070700,757.8125000000,0.1163299000
3726672427.4648647300,757.9062500000,0.1138004000
3726672428.3475503900,758.0000000000,0.1144785000
3726672429.2269630400,758.0937500000,0.1158724000
3726672430.1081023200,758.1875000000,0.1163727000
3726672430.9893279100,758.3125000000,0.1168363000
3726672431.8724823000,758.4062500000,0.1146643000
3726672432.7527208300,758.5000000000,0.1147522000
3726672433.6406960500,758.5937500000,0.1149196000
3726672434.5253200500,758.6875000000,0.1164871000
3726672435.4067769000,758.8125000000,0.1140782000
3726672436.2906088800,758.9062500000,0.1180342000
3726672437.1744151100,759.0000000000,0.1154476000
3726672438.0575342200,759.0937500000,0.1185264000
3726672438.9445872300,759.1875000000,0.1162992000
3726672439.8269047700,759.3125000000,0.1138801000
3726672440.7113566400,759.4062500000,0.1174031000
3726672441.5865845700,759.5000000000,0.1144152000
3726672442.4662704500,759.5937500000,0.1160255000
3726672443.3507118200,759.6875000000,0.1161297000
3726672444.2347192800,759.8125000000,0.1158908000
3726672445.1173872900,759.9062500000,0.1148869000
3726672445.9924054100,760.0000000000,0.1165137000
3726672446.8731617900,760.0937500000,0.1142048000
3726672447.7516455600,760.1875000000,0.1180893000
3726672448.6363887800,760.3125000000,0.1171611000
3726672449.5211472500,760.4062500000,0.1154578000
3726672450.4048495300,760.5000000000,0.1142804000
