Time (ps), Potential energy (eV), Kinetic energy (eV),Total energy (eV), Temperature (K)
5.50000000, 2669.47542943, 200266881.02067915, 200269550.49610859, 6052085026.01546383
5.60000000, 3170.22467605, 202822479.89749837, 202825650.12217441, 6129315477.78098869
5.70000000, 1981.38947158, 208503619.87203032, 208505601.26150191, 6301000091.80866909
5.80000000, 2686.10827510, 210508356.52729475, 210511042.63556984, 6361583432.55175114
5.90000000, 2697.24744070, 212565414.33416697, 212568111.58160767, 6423747923.69062328
6.00000000, 2649.10780499, 213717337.53307164, 213719986.64087662, 6458559157.11913490
6.10000000, 2613.34732054, 217939476.43652859, 217942089.78384912, 6586152613.93604469
6.20000000, 2177.30314374, 226278052.47199267, 226280229.77513641, 6838145209.54306602
6.30000000, 2158.42511559, 227949942.68286112, 227952101.10797670, 6888669897.69304562
6.40000000, 2716.77898858, 229333372.75711855, 229336089.53610712, 6930477291.87765026
6.50000000, 2069.02916916, 232016201.83679461, 232018270.86596376, 7011552653.00433445
6.60000000, 2588.66743316, 232898085.39770174, 232900674.06513491, 7038203261.76427269
6.70000000, 2265.37390211, 234103591.86867610, 234105857.24257821, 7074633786.99423027
6.80000000, 2641.11687291, 235000687.26964420, 235003328.38651711, 7101744099.07097244
6.90000000, 2620.93442049, 235205666.74576512, 235208287.68018562, 7107938599.18876171
7.00000000, 3090.91081537, 238792002.00470772, 238795092.91552308, 7216318006.74879932
7.10000000, 3018.61995329, 242874376.49243885, 242877395.11239213, 7339687769.04730892
7.20000000, 2214.70309049, 247308753.67390501, 247310968.37699550, 7473695087.69569206
7.30000000, 2607.24944380, 248222960.87787184, 248225568.12731564, 7501322520.15783691
7.40000000, 2586.62795164, 248052573.06114292, 248055159.68909457, 7496173383.42097378
7.50000000, 2001.13530159, 248111616.43473932, 248113617.57004091, 7497957680.03260994
7.60000000, 2714.67183433, 249268048.24659216, 249270762.91842648, 7532905164.19200993
7.70000000, 2810.38327490, 250811553.60249889, 250814363.98577377, 7579550049.27959061
7.80000000, 3317.06585745, 255052505.30677581, 255055822.37263325, 7707712030.80492687
7.90000000, 2482.46244034, 261049105.70355988, 261051588.16600022, 7888929890.11051941
8.00000000, 2365.85542398, 261862629.57282382, 261864995.42824781, 7913514662.20256615
8.10000000, 2879.90430000, 265046313.14162025, 265049193.04592025, 8009725895.71298790
8.20000000, 2730.03799960, 272605609.14840674, 272608339.18640631, 8238168571.49005222
8.30000000, 2277.09217103, 273864985.61237854, 273867262.70454955, 8276227053.25635624
8.40000000, 2192.06595950, 273353242.34958023, 273355434.41553974, 8260762121.05108452
8.50000000, 2605.52178132, 273970980.22995001, 273973585.75173134, 8279430221.12202168
8.60000000, 2929.15241085, 285473020.70559424, 285475949.85800511, 8627023026.16542053
8.70000000, 2348.39720740, 300316010.88386339, 300318359.28107077, 9075579662.89619064
8.80000000, 2963.60920324, 299579011.98782420, 299581975.59702742, 9053307483.09204102
8.90000000, 2833.99096555, 303840507.32469398, 303843341.31565952, 9182090295.23381042
9.00000000, 2349.93883776, 308413959.09673607, 308416309.03557384, 9320300461.81608200
9.10000000, 2331.00780282, 309120466.32413429, 309122797.33193713, 9341651180.36682892
9.20000000, 2583.06457742, 309854819.31743425, 309857402.38201165, 9363843400.72752571
9.30000000, 2370.10870559, 310267513.25864857, 310269883.36735415, 9376315052.60136986
9.40000000, 2212.43942257, 310620888.94416785, 310623101.38359040, 9386994100.89926720
9.50000000, 2233.12902415, 312340900.47755063, 312343133.60657477, 9438973020.19289207
9.60000000, 2493.77765281, 313089488.17435533, 313091981.95200813, 9461595414.70665741
9.70000000, 2404.16938294, 312794963.74436134, 312797367.91374427, 9452694857.19321442
9.80000000, 2349.04354931, 312412794.51653498, 312415143.56008428, 9441145665.18830681
9.90000000, 2312.98011292, 312124692.82001990, 312127005.80013281, 9432439203.31821632
