X-Axis_A (relative inverse cm), sample_A_spectrum (CCD counts), X-Axis_B (relative inverse cm), sample_B_spectrum (CCD counts), X-Axis_C (relative inverse cm),sample_C_spectrum (CCD counts)
 1.71050E+02, 1.57610E+03, 1.71050E+02, 1.76060E+03, 1.71050E+02, 1.78890E+03
 1.73953E+02, 1.57360E+03, 1.73953E+02, 1.77720E+03, 1.73953E+02, 1.79500E+03
 1.76856E+02, 1.57470E+03, 1.76856E+02, 1.81030E+03, 1.76856E+02, 1.80040E+03
 1.79757E+02, 1.57630E+03, 1.79757E+02, 1.78530E+03, 1.79757E+02, 1.78130E+03
 1.82658E+02, 1.57400E+03, 1.82658E+02, 1.76920E+03, 1.82658E+02, 1.77310E+03
 1.85558E+02, 1.57730E+03, 1.85558E+02, 1.76480E+03, 1.85558E+02, 1.77230E+03
 1.88456E+02, 1.57940E+03, 1.88456E+02, 1.77170E+03, 1.88456E+02, 1.78860E+03
 1.91354E+02, 1.57860E+03, 1.91354E+02, 1.76700E+03, 1.91354E+02, 1.77140E+03
 1.94250E+02, 1.57760E+03, 1.94250E+02, 1.77770E+03, 1.94250E+02, 1.77910E+03
 1.97146E+02, 1.57470E+03, 1.97146E+02, 1.77530E+03, 1.97146E+02, 1.78240E+03
 2.00040E+02, 1.57560E+03, 2.00040E+02, 1.78080E+03, 2.00040E+02, 1.77780E+03
 2.02934E+02, 1.57660E+03, 2.02934E+02, 1.78340E+03, 2.02934E+02, 1.77810E+03
 2.05826E+02, 1.57510E+03, 2.05826E+02, 1.79040E+03, 2.05826E+02, 1.77280E+03
 2.08718E+02, 1.57770E+03, 2.08718E+02, 1.80390E+03, 2.08718E+02, 1.77610E+03
 2.11608E+02, 1.57510E+03, 2.11608E+02, 1.80180E+03, 2.11608E+02, 1.78850E+03
 2.14498E+02, 1.57490E+03, 2.14498E+02, 1.81320E+03, 2.14498E+02, 1.78240E+03
 2.17386E+02, 1.57810E+03, 2.17386E+02, 1.82090E+03, 2.17386E+02, 1.77800E+03
 2.20274E+02, 1.57780E+03, 2.20274E+02, 1.82600E+03, 2.20274E+02, 1.79300E+03
 2.23160E+02, 1.57380E+03, 2.23160E+02, 1.83520E+03, 2.23160E+02, 1.81170E+03
 2.26046E+02, 1.57600E+03, 2.26046E+02, 1.84270E+03, 2.26046E+02, 1.82680E+03
 2.28930E+02, 1.57450E+03, 2.28930E+02, 1.86010E+03, 2.28930E+02, 1.85070E+03
 2.31814E+02, 1.57240E+03, 2.31814E+02, 1.88120E+03, 2.31814E+02, 1.87270E+03
 2.34696E+02, 1.57620E+03, 2.34696E+02, 1.88470E+03, 2.34696E+02, 1.85920E+03
 2.37578E+02, 1.57620E+03, 2.37578E+02, 1.90690E+03, 2.37578E+02, 1.87190E+03
 2.40459E+02, 1.57490E+03, 2.40459E+02, 1.95250E+03, 2.40459E+02, 1.86320E+03
 2.43338E+02, 1.57420E+03, 2.43338E+02, 2.00030E+03, 2.43338E+02, 1.86930E+03
 2.46217E+02, 1.57650E+03, 2.46217E+02, 2.07490E+03, 2.46217E+02, 1.86670E+03
 2.49094E+02, 1.57630E+03, 2.49094E+02, 2.16350E+03, 2.49094E+02, 1.88040E+03
 2.51971E+02, 1.57480E+03, 2.51971E+02, 2.18400E+03, 2.51971E+02, 1.86800E+03
 2.54847E+02, 1.57340E+03, 2.54847E+02, 2.13340E+03, 2.54847E+02, 1.87790E+03
 2.57721E+02, 1.57230E+03, 2.57721E+02, 2.10340E+03, 2.57721E+02, 1.88160E+03
 2.60595E+02, 1.57280E+03, 2.60595E+02, 2.07800E+03, 2.60595E+02, 1.87270E+03
 2.63467E+02, 1.57380E+03, 2.63467E+02, 2.04480E+03, 2.63467E+02, 1.89150E+03
 2.66339E+02, 1.57310E+03, 2.66339E+02, 2.01520E+03, 2.66339E+02, 1.89830E+03
 2.69210E+02, 1.57190E+03, 2.69210E+02, 1.98620E+03, 2.69210E+02, 1.89810E+03
 2.72079E+02, 1.57400E+03, 2.72079E+02, 1.93780E+03, 2.72079E+02, 1.89450E+03
 2.74948E+02, 1.57330E+03, 2.74948E+02, 1.89100E+03, 2.74948E+02, 1.89760E+03
 2.77816E+02, 1.57400E+03, 2.77816E+02, 1.84520E+03, 2.77816E+02, 1.90770E+03
 2.80682E+02, 1.57200E+03, 2.80682E+02, 1.83950E+03, 2.80682E+02, 1.91440E+03
 2.83548E+02, 1.57440E+03, 2.83548E+02, 1.80690E+03, 2.83548E+02, 1.93380E+03
 2.86413E+02, 1.57330E+03, 2.86413E+02, 1.80010E+03, 2.86413E+02, 1.93760E+03
 2.89277E+02, 1.57380E+03, 2.89277E+02, 1.77410E+03, 2.89277E+02, 1.93600E+03
 2.92139E+02, 1.57270E+03, 2.92139E+02, 1.77610E+03, 2.92139E+02, 1.96190E+03
 2.95001E+02, 1.57400E+03, 2.95001E+02, 1.76780E+03, 2.95001E+02, 1.98570E+03
 2.97862E+02, 1.57340E+03, 2.97862E+02, 1.76480E+03, 2.97862E+02, 2.00530E+03
 3.00722E+02, 1.57520E+03, 3.00722E+02, 1.75440E+03, 3.00722E+02, 2.04460E+03
 3.03581E+02, 1.57560E+03, 3.03581E+02, 1.76500E+03, 3.03581E+02, 2.05900E+03
 3.06439E+02, 1.57270E+03, 3.06439E+02, 1.75780E+03, 3.06439E+02, 2.07050E+03
 3.09295E+02, 1.57230E+03, 3.09295E+02, 1.75410E+03, 3.09295E+02, 2.04150E+03
 3.12151E+02, 1.57360E+03, 3.12151E+02, 1.74840E+03, 3.12151E+02, 2.00490E+03
 3.15006E+02, 1.57560E+03, 3.15006E+02, 1.76170E+03, 3.15006E+02, 1.97850E+03
 3.17860E+02, 1.57230E+03, 3.17860E+02, 1.75650E+03, 3.17860E+02, 1.94510E+03
 3.20713E+02, 1.57280E+03, 3.20713E+02, 1.75690E+03, 3.20713E+02, 1.91600E+03
 3.23565E+02, 1.57500E+03, 3.23565E+02, 1.76220E+03, 3.23565E+02, 1.90700E+03
 3.26416E+02, 1.57470E+03, 3.26416E+02, 1.77150E+03, 3.26416E+02, 1.88290E+03
 3.29266E+02, 1.57450E+03, 3.29266E+02, 1.76130E+03, 3.29266E+02, 1.88420E+03
 3.32115E+02, 1.57510E+03, 3.32115E+02, 1.77240E+03, 3.32115E+02, 1.88100E+03
 3.34963E+02, 1.57610E+03, 3.34963E+02, 1.75440E+03, 3.34963E+02, 1.86170E+03
 3.37811E+02, 1.57740E+03, 3.37811E+02, 1.74960E+03, 3.37811E+02, 1.86620E+03
 3.40657E+02, 1.57930E+03, 3.40657E+02, 1.74300E+03, 3.40657E+02, 1.86240E+03
 3.43502E+02, 1.57440E+03, 3.43502E+02, 1.73450E+03, 3.43502E+02, 1.85690E+03
 3.46346E+02, 1.57620E+03, 3.46346E+02, 1.72480E+03, 3.46346E+02, 1.84520E+03
 3.49189E+02, 1.57730E+03, 3.49189E+02, 1.72980E+03, 3.49189E+02, 1.83740E+03
 3.52031E+02, 1.57660E+03, 3.52031E+02, 1.73270E+03, 3.52031E+02, 1.82870E+03
 3.54873E+02, 1.57920E+03, 3.54873E+02, 1.74030E+03, 3.54873E+02, 1.82920E+03
 3.57713E+02, 1.57730E+03, 3.57713E+02, 1.74520E+03, 3.57713E+02, 1.81810E+03
 3.60552E+02, 1.57840E+03, 3.60552E+02, 1.74300E+03, 3.60552E+02, 1.81920E+03
 3.63391E+02, 1.57860E+03, 3.63391E+02, 1.73750E+03, 3.63391E+02, 1.82240E+03
 3.66228E+02, 1.58190E+03, 3.66228E+02, 1.75650E+03, 3.66228E+02, 1.82600E+03
 3.69065E+02, 1.58270E+03, 3.69065E+02, 1.76000E+03, 3.69065E+02, 1.82000E+03
 3.71900E+02, 1.58840E+03, 3.71900E+02, 1.76820E+03, 3.71900E+02, 1.81520E+03
 3.74734E+02, 1.59320E+03, 3.74734E+02, 1.74010E+03, 3.74734E+02, 1.81050E+03
 3.77568E+02, 1.60920E+03, 3.77568E+02, 1.71830E+03, 3.77568E+02, 1.81270E+03
 3.80401E+02, 1.66330E+03, 3.80401E+02, 1.70910E+03, 3.80401E+02, 1.79700E+03
 3.83232E+02, 1.80600E+03, 3.83232E+02, 1.70360E+03, 3.83232E+02, 1.79850E+03
 3.86063E+02, 1.84750E+03, 3.86063E+02, 1.71360E+03, 3.86063E+02, 1.79260E+03
 3.88892E+02, 1.72230E+03, 3.88892E+02, 1.73280E+03, 3.88892E+02, 1.77830E+03
 3.91721E+02, 1.61550E+03, 3.91721E+02, 1.72960E+03, 3.91721E+02, 1.78000E+03
 3.94549E+02, 1.58690E+03, 3.94549E+02, 1.72250E+03, 3.94549E+02, 1.77310E+03
 3.97376E+02, 1.59300E+03, 3.97376E+02, 1.70800E+03, 3.97376E+02, 1.77510E+03
 4.00201E+02, 1.60080E+03, 4.00201E+02, 1.69160E+03, 4.00201E+02, 1.77310E+03
 4.03026E+02, 1.62430E+03, 4.03026E+02, 1.67510E+03, 4.03026E+02, 1.76630E+03
 4.05850E+02, 1.71030E+03, 4.05850E+02, 1.66330E+03, 4.05850E+02, 1.76570E+03
 4.08673E+02, 1.90650E+03, 4.08673E+02, 1.66170E+03, 4.08673E+02, 1.77560E+03
 4.11495E+02, 1.97610E+03, 4.11495E+02, 1.66680E+03, 4.11495E+02, 1.75970E+03
 4.14316E+02, 1.78630E+03, 4.14316E+02, 1.66450E+03, 4.14316E+02, 1.75980E+03
 4.17136E+02, 1.64200E+03, 4.17136E+02, 1.66120E+03, 4.17136E+02, 1.77140E+03
 4.19955E+02, 1.59850E+03, 4.19955E+02, 1.66470E+03, 4.19955E+02, 1.75160E+03
 4.22773E+02, 1.59680E+03, 4.22773E+02, 1.66450E+03, 4.22773E+02, 1.76380E+03
 4.25590E+02, 1.59340E+03, 4.25590E+02, 1.65710E+03, 4.25590E+02, 1.76740E+03
 4.28406E+02, 1.59300E+03, 4.28406E+02, 1.66240E+03, 4.28406E+02, 1.77530E+03
 4.31222E+02, 1.59090E+03, 4.31222E+02, 1.65760E+03, 4.31222E+02, 1.77760E+03
 4.34036E+02, 1.59140E+03, 4.34036E+02, 1.66040E+03, 4.34036E+02, 1.77470E+03
 4.36849E+02, 1.59260E+03, 4.36849E+02, 1.66210E+03, 4.36849E+02, 1.77040E+03
 4.39662E+02, 1.59360E+03, 4.39662E+02, 1.67070E+03, 4.39662E+02, 1.75170E+03
 4.42473E+02, 1.59470E+03, 4.42473E+02, 1.66540E+03, 4.42473E+02, 1.74100E+03
 4.45284E+02, 1.59560E+03, 4.45284E+02, 1.66480E+03, 4.45284E+02, 1.73570E+03
 4.48093E+02, 1.60140E+03, 4.48093E+02, 1.66490E+03, 4.48093E+02, 1.72210E+03
 4.50902E+02, 1.60100E+03, 4.50902E+02, 1.65790E+03, 4.50902E+02, 1.70660E+03
 4.53709E+02, 1.60700E+03, 4.53709E+02, 1.66290E+03, 4.53709E+02, 1.69860E+03
 4.56516E+02, 1.61050E+03, 4.56516E+02, 1.65870E+03, 4.56516E+02, 1.68400E+03
 4.59321E+02, 1.60160E+03, 4.59321E+02, 1.66910E+03, 4.59321E+02, 1.67400E+03
 4.62126E+02, 1.59750E+03, 4.62126E+02, 1.66200E+03, 4.62126E+02, 1.65980E+03
 4.64930E+02, 1.59610E+03, 4.64930E+02, 1.66050E+03, 4.64930E+02, 1.66780E+03
 4.67733E+02, 1.59240E+03, 4.67733E+02, 1.66690E+03, 4.67733E+02, 1.67360E+03
 4.70535E+02, 1.58870E+03, 4.70535E+02, 1.66360E+03, 4.70535E+02, 1.67650E+03
 4.73336E+02, 1.58240E+03, 4.73336E+02, 1.66630E+03, 4.73336E+02, 1.68280E+03
 4.76136E+02, 1.58060E+03, 4.76136E+02, 1.66500E+03, 4.76136E+02, 1.68950E+03
 4.78935E+02, 1.57720E+03, 4.78935E+02, 1.67010E+03, 4.78935E+02, 1.70020E+03
 4.81733E+02, 1.57290E+03, 4.81733E+02, 1.67560E+03, 4.81733E+02, 1.70170E+03
 4.84530E+02, 1.57530E+03, 4.84530E+02, 1.67340E+03, 4.84530E+02, 1.71240E+03
 4.87326E+02, 1.57720E+03, 4.87326E+02, 1.68560E+03, 4.87326E+02, 1.73360E+03
 4.90121E+02, 1.57610E+03, 4.90121E+02, 1.67860E+03, 4.90121E+02, 1.75670E+03
 4.92916E+02, 1.57540E+03, 4.92916E+02, 1.68360E+03, 4.92916E+02, 1.77190E+03
 4.95709E+02, 1.57650E+03, 4.95709E+02, 1.68190E+03, 4.95709E+02, 1.79670E+03
 4.98501E+02, 1.57210E+03, 4.98501E+02, 1.68170E+03, 4.98501E+02, 1.84370E+03
 5.01293E+02, 1.57660E+03, 5.01293E+02, 1.68420E+03, 5.01293E+02, 1.92690E+03
 5.04083E+02, 1.57790E+03, 5.04083E+02, 1.69380E+03, 5.04083E+02, 2.03350E+03
 5.06873E+02, 1.57610E+03, 5.06873E+02, 1.70350E+03, 5.06873E+02, 2.24960E+03
 5.09662E+02, 1.57790E+03, 5.09662E+02, 1.71830E+03, 5.09662E+02, 2.65510E+03
