Time (ps), Potential energy (eV), Kinetic energy (eV),Total energy (eV), Temperature (K)
0.05600000, -828.56441678, 19.20039843, -809.36401835, 580.23794660
0.05700000, -828.76786683, 19.40368529, -809.36418154, 586.38129562
0.05800000, -829.07080185, 19.70636710, -809.36443475, 595.52836999
0.05900000, -829.46037271, 20.09559014, -809.36478257, 607.29072911
0.06000000, -829.92271412, 20.55766780, -809.36504632, 621.25476178
0.06100000, -830.44470629, 21.07843190, -809.36627439, 636.99230452
0.06200000, -831.01034988, 21.64364669, -809.36670320, 654.07315154
0.06300000, -831.60721340, 22.23935851, -809.36785489, 672.07562205
0.06400000, -832.22097772, 22.85216163, -809.36881609, 690.59459322
0.06500000, -832.83870166, 23.46948398, -809.36921768, 709.25013572
0.06600000, -833.45009157, 24.07976083, -809.37033074, 727.69276277
0.06700000, -834.04342050, 24.67250683, -809.37091367, 745.60560573
0.06800000, -834.60957272, 25.23830946, -809.37126326, 762.70421738
0.06900000, -835.13936907, 25.76882043, -809.37054864, 778.73631164
0.07000000, -835.62834635, 26.25686363, -809.37148272, 793.48502558
0.07100000, -836.06715058, 26.69655200, -809.37059859, 806.77245164
0.07200000, -836.45352845, 27.08310766, -809.37042079, 818.45420215
0.07300000, -836.78457612, 27.41279775, -809.37177838, 828.41746932
0.07400000, -837.05623810, 27.68307218, -809.37316592, 836.58518965
0.07500000, -837.26572342, 27.89241428, -809.37330914, 842.91152847
0.07600000, -837.41321453, 28.04002696, -809.37318757, 847.37239842
0.07700000, -837.49940048, 28.12573524, -809.37366524, 849.96251101
0.07800000, -837.52387800, 28.15008494, -809.37379306, 850.69836158
0.07900000, -837.48795027, 28.11435683, -809.37359345, 849.61865435
0.08000000, -837.39432556, 28.02054993, -809.37377563, 846.78380072
0.08100000, -837.24480624, 27.87126475, -809.37354149, 842.27238755
0.08200000, -837.04313110, 27.66966910, -809.37346200, 836.18014719
0.08300000, -836.79257676, 27.41961900, -809.37295776, 828.62360831
0.08400000, -836.49721771, 27.12564816, -809.37156955, 819.73978040
0.08500000, -836.16338150, 26.79287727, -809.37050423, 809.68341109
0.08600000, -835.79695667, 26.42684096, -809.37011572, 798.62175725
0.08700000, -835.40110298, 26.03333692, -809.36776605, 786.73002632
0.08800000, -834.98468133, 25.61844236, -809.36623896, 774.19187146
0.08900000, -834.55502962, 25.18844374, -809.36658588, 761.19727047
0.09000000, -834.11599296, 24.74977177, -809.36622118, 747.94055998
0.09100000, -833.67466256, 24.30895058, -809.36571199, 734.61889968
0.09200000, -833.23738457, 23.87243228, -809.36495229, 721.42727359
0.09300000, -832.81074213, 23.44651118, -809.36423095, 708.55589539
0.09400000, -832.40093594, 23.03734571, -809.36359024, 696.19087436
0.09500000, -832.01440185, 22.65082847, -809.36357339, 684.51028501
0.09600000, -831.65520290, 22.29250460, -809.36269830, 673.68170199
0.09700000, -831.33023514, 21.96753857, -809.36269657, 663.86119639
0.09800000, -831.04290599, 21.68063968, -809.36226631, 655.19108358
0.09900000, -830.79834108, 21.43606013, -809.36228094, 647.79986535
