Particle 1 x (Å), Particle 1 y (Å), Particle 1 z (Å), Particle 2 x (Å), Particle 2 y (Å), Particle 2 z (Å), Particle 3 x (Å), Particle 3 y (Å), Particle 3 z (Å)
-3.33900380, 12.27227005, -13.72269546, 11.41447835, 12.67171331, -8.11656882, 25.09172969, 2.60998115, 2.03621488
-3.24768384, 12.21382702, -13.67366802, 11.41281581, 12.69587585, -8.06370566, 25.12460801, 2.62777859, 1.97273674
-3.18803285, 12.15429234, -13.67124530, 11.44851879, 12.69199841, -8.00445231, 25.14633656, 2.64611949, 1.93439067
-3.17975820, 12.12303090, -13.73354102, 11.49501564, 12.66216349, -7.95648814, 25.15891465, 2.66073683, 1.91495629
-3.21503155, 12.12219146, -13.85438900, 11.53078408, 12.60694962, -7.93558087, 25.16659817, 2.66358834, 1.90359273
-3.26850092, 12.13017933, -14.00400961, 11.54282994, 12.52605461, -7.94803691, 25.17199019, 2.64679217, 1.89140880
-3.31978206, 12.13122600, -14.15427851, 11.52747102, 12.42463107, -7.98592168, 25.17528746, 2.60451968, 1.87559391
-3.35652584, 12.12169101, -14.28437897, 11.49049831, 12.31266276, -8.03780165, 25.17516200, 2.53669542, 1.85950389
-3.37016846, 12.10996827, -14.37874592, 11.44461888, 12.20166662, -8.09694874, 25.16988802, 2.45076690, 1.84704357
-3.34881265, 12.11627336, -14.42898115, 11.40453265, 12.10355458, -8.15937148, 25.15718146, 2.35866432, 1.83746706
-3.28490906, 12.15633275, -14.43511018, 11.37952306, 12.02705279, -8.22043582, 25.13506235, 2.27142730, 1.82669244
-3.19320641, 12.22103162, -14.40428202, 11.36871236, 11.98242492, -8.27285399, 25.10397802, 2.19724439, 1.81145934
-3.10624736, 12.28468241, -14.34232882, 11.36481052, 11.97731115, -8.30985454, 25.06521254, 2.14267004, 1.79118988
-3.05250733, 12.32155503, -14.25818562, 11.36200126, 12.00256608, -8.32749601, 25.01665798, 2.11536685, 1.76792031
-3.04078678, 12.31524104, -14.16752800, 11.35980622, 12.03117251, -8.32258812, 24.95418395, 2.12247333, 1.74504186
-3.06037322, 12.26351833, -14.08887794, 11.35561054, 12.03933956, -8.29249417, 24.87517043, 2.16590988, 1.72395518
-3.08766076, 12.17505126, -14.03958275, 11.34276421, 12.01978964, -8.23887865, 24.78527556, 2.23720977, 1.70197529
-3.10016176, 12.06181434, -14.03119697, 11.31543201, 11.97509414, -8.17477825, 24.69876710, 2.31836355, 1.67381951
-3.08618789, 11.93641592, -14.06296379, 11.27309420, 11.91380078, -8.13093143, 24.63727835, 2.38332849, 1.63357344
-3.04303280, 11.81159942, -14.12258127, 11.22105220, 11.85366275, -8.14536190, 24.62165434, 2.40697872, 1.57926286
-2.97504941, 11.69883046, -14.19620633, 11.17414628, 11.82459480, -8.22787862, 24.65206063, 2.38774603, 1.51706784
-2.89477240, 11.60468684, -14.27850498, 11.15134521, 11.84634173, -8.34683095, 24.70832929, 2.35088371, 1.45861129
-2.82670642, 11.54132129, -14.36799511, 11.16429134, 11.91783461, -8.46258814, 24.76994013, 2.32093194, 1.41698788
-2.80027294, 11.51993391, -14.46577440, 11.20725274, 12.02553432, -8.55597122, 24.82428667, 2.30510754, 1.39950926
-2.82780917, 11.54036368, -14.56786875, 11.25668496, 12.14750078, -8.62552005, 24.86474717, 2.29855107, 1.40390108
-2.88816326, 11.58254739, -14.66884002, 11.27973149, 12.25915913, -8.67904180, 24.88826730, 2.29429617, 1.42295431
-2.95113817, 11.61677142, -14.76453802, 11.25309788, 12.34061723, -8.72476487, 24.89414593, 2.28783431, 1.45066361
-2.99834116, 11.61689216, -14.85120009, 11.18820935, 12.38501984, -8.76856784, 24.88524360, 2.27764246, 1.48296814
-3.02394938, 11.57529697, -14.93047563, 11.11622695, 12.39702428, -8.81378914, 24.86692630, 2.26585056, 1.51624885
-3.02937008, 11.50457979, -15.00628442, 11.06310485, 12.39015084, -8.86201332, 24.84738357, 2.25796132, 1.54535117
-3.01716499, 11.42387431, -15.07510633, 11.04243731, 12.37963540, -8.90944491, 24.83513841, 2.25890787, 1.56715610
-2.98722356, 11.34783814, -15.12335789, 11.05832262, 12.37293180, -8.94626145, 24.83578884, 2.26986290, 1.58277389
-2.93720405, 11.28457117, -15.13828142, 11.11020601, 12.37013966, -8.96023208, 24.84904999, 2.28880595, 1.59394804
-2.87167262, 11.23202258, -15.12312068, 11.19696870, 12.37329498, -8.94740815, 24.87023835, 2.31455188, 1.59949108
-2.80768694, 11.18282613, -15.09300028, 11.31536244, 12.38642414, -8.91565511, 24.89571527, 2.34786107, 1.59753051
-2.77046465, 11.13365559, -15.06127386, 11.45688427, 12.41587192, -8.87751710, 24.92271560, 2.39107618, 1.58762768
-2.77709466, 11.08651444, -15.03452171, 11.61337966, 12.46892671, -8.84509796, 24.94834932, 2.44773548, 1.56997748
-2.82251151, 11.04997634, -15.01772501, 11.77618769, 12.54638117, -8.82702925, 24.96966454, 2.52232383, 1.54558950
-2.87976669, 11.04148414, -15.01388721, 11.93619668, 12.63728509, -8.82982158, 24.98234306, 2.61281979, 1.51409583
-2.91965732, 11.08435135, -15.02028416, 12.07562435, 12.72067181, -8.86033475, 24.98458978, 2.70922316, 1.47737549
-2.92946458, 11.18539698, -15.03365413, 12.17139428, 12.77295819, -8.92540777, 24.97875170, 2.79512766, 1.43972852
-2.91506118, 11.31980770, -15.05475865, 12.21649857, 12.78227633, -9.02686761, 24.97101823, 2.85288488, 1.40876196
-2.89310960, 11.45428339, -15.08338878, 12.22340188, 12.76011374, -9.15245780, 24.96840429, 2.87468313, 1.39291613
-2.88282831, 11.56429514, -15.11681953, 12.20596722, 12.73515549, -9.28123951, 24.97293820, 2.86690206, 1.39597241
-2.89011703, 11.64195874, -15.15246827, 12.17130672, 12.73412745, -9.39469304, 24.97620727, 2.84378306, 1.41720795
-2.90845170, 11.69632267, -15.18749298, 12.12608013, 12.76495539, -9.48059921, 24.96764635, 2.81835650, 1.45519476
