Radial distance r (atomic units), calculated hydrogen wavefunction from basis of four gaussians (atomic units) with 1000 points,Radial distance r (a.u.), Calculated helium wavefunction
0.4054054054054054,0.6210231127973295,0.8200000000000001,0.2999559948785522
0.4104104104104104,0.6154580455022204,0.8300000000000001,0.294967569903676
0.4154154154154154,0.6099312508525918,0.84,0.2900698988507199
0.4204204204204204,0.604442916129761,0.85,0.2852611276442361
0.4254254254254254,0.5989932951826806,0.86,0.2805394451633374
0.4304304304304304,0.5935826971040974,0.87,0.2759030821332831
0.4354354354354354,0.5882114756729576,0.88,0.2713503100475063
0.4404404404404404,0.5828800195734944,0.89,0.266879440119201
0.4454454454454454,0.5775887433907689,0.9,0.2624888222617156
0.4504504504504504,0.5723380793733461,0.91,0.2581768440969531
0.4554554554554554,0.5671284699461647,0.92,0.2539419299910129
0.4604604604604604,0.5619603609504097,0.93,0.249782540116335
0.4654654654654654,0.5568341955822023,0.94,0.2456971695396189
0.4704704704704704,0.5517504089980648,0.95,0.2416843473347933
0.4754754754754755,0.5467094235522775,0.96,0.2377426357203511
0.4804804804804805,0.5417116446293143,0.97,0.2338706292203725
0.4854854854854855,0.5367574570333977,0.98,0.230066953848562
0.4904904904904905,0.5318472218967364,0.99,0.2263302663146802
0.4954954954954955,0.5269812740681279,1.0,0.2226592532527098
0.5005005005005005,0.5221599199441814,1.01,0.2190526304701703
0.5055055055055055,0.5173834357064007,1.02,0.2155091422179681
0.5105105105105106,0.5126520659286445,1.03,0.2120275604802113
0.5155155155155156,0.5079660225210105,1.04,0.2086066842834201
0.5205205205205206,0.5033254839778857,1.05,0.2052453390245819
0.5255255255255256,0.498730594899718,1.06,0.2019423758175162
0.5305305305305306,0.4941814657599589,1.07,0.1986966708570306
0.5355355355355356,0.4896781728905365,1.08,0.1955071248003565
0.5405405405405406,0.4852207586611395,1.09,0.1923726621653791
0.5455455455455456,0.480809231829469,1.1,0.1892922307451789
