Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
2.73000000e+01, -2.93027852e+00, 9.52000000e+02
2.74000000e+01, -2.92808316e+00, 9.48000000e+02
2.75000000e+01, -2.93114030e+00, 9.54000000e+02
2.76000000e+01, -2.93574955e+00, 9.63000000e+02
2.77000000e+01, -2.93360008e+00, 9.59000000e+02
2.78000000e+01, -2.93300286e+00, 9.58000000e+02
2.79000000e+01, -2.93083364e+00, 9.54000000e+02
2.80000000e+01, -2.92969993e+00, 9.52000000e+02
2.81000000e+01, -2.93327511e+00, 9.59000000e+02
2.82000000e+01, -2.93006253e+00, 9.53000000e+02
2.83000000e+01, -2.93311526e+00, 9.59000000e+02
2.84000000e+01, -2.93304130e+00, 9.59000000e+02
2.85000000e+01, -2.93504876e+00, 9.63000000e+02
2.86000000e+01, -2.93394311e+00, 9.61000000e+02
2.87000000e+01, -2.93178806e+00, 9.57000000e+02
2.88000000e+01, -2.93275533e+00, 9.59000000e+02
2.89000000e+01, -2.93580116e+00, 9.65000000e+02
2.90000000e+01, -2.93522112e+00, 9.64000000e+02
2.91000000e+01, -2.93307890e+00, 9.60000000e+02
2.92000000e+01, -2.93456882e+00, 9.63000000e+02
2.93000000e+01, -2.93294420e+00, 9.60000000e+02
2.94000000e+01, -2.93339510e+00, 9.61000000e+02
2.95000000e+01, -2.93228578e+00, 9.59000000e+02
2.96000000e+01, -2.93377651e+00, 9.62000000e+02
2.97000000e+01, -2.93110554e+00, 9.57000000e+02
2.98000000e+01, -2.93050881e+00, 9.56000000e+02
2.99000000e+01, -2.92623161e+00, 9.48000000e+02
3.00000000e+01, -2.93191059e+00, 9.59000000e+02
3.01000000e+01, -2.92922712e+00, 9.54000000e+02
3.02000000e+01, -2.93071875e+00, 9.57000000e+02
3.03000000e+01, -2.93168983e+00, 9.59000000e+02
3.04000000e+01, -2.93162074e+00, 9.59000000e+02
3.05000000e+01, -2.92841380e+00, 9.53000000e+02
3.06000000e+01, -2.92833488e+00, 9.53000000e+02
3.07000000e+01, -2.92878061e+00, 9.54000000e+02
3.08000000e+01, -2.92975103e+00, 9.56000000e+02
3.09000000e+01, -2.92967798e+00, 9.56000000e+02
3.10000000e+01, -2.93738945e+00, 9.71000000e+02
3.11000000e+01, -2.93734198e+00, 9.71000000e+02
3.12000000e+01, -2.93729467e+00, 9.71000000e+02
3.13000000e+01, -2.93621658e+00, 9.69000000e+02
3.14000000e+01, -2.93976526e+00, 9.76000000e+02
3.15000000e+01, -2.94126111e+00, 9.79000000e+02
3.16000000e+01, -2.94071643e+00, 9.78000000e+02
3.17000000e+01, -2.93965769e+00, 9.76000000e+02
3.18000000e+01, -2.94013141e+00, 9.77000000e+02
3.19000000e+01, -2.93907023e+00, 9.75000000e+02
3.20000000e+01, -2.93903055e+00, 9.75000000e+02
3.21000000e+01, -2.93642029e+00, 9.70000000e+02
3.22000000e+01, -2.93791685e+00, 9.73000000e+02
3.23000000e+01, -2.93787435e+00, 9.73000000e+02
3.24000000e+01, -2.93680317e+00, 9.71000000e+02
3.25000000e+01, -2.93778657e+00, 9.73000000e+02
3.26000000e+01, -2.93568472e+00, 9.69000000e+02
3.27000000e+01, -2.93201134e+00, 9.62000000e+02
3.28000000e+01, -2.93195210e+00, 9.62000000e+02
3.29000000e+01, -2.93293147e+00, 9.64000000e+02
3.30000000e+01, -2.93339415e+00, 9.65000000e+02
3.31000000e+01, -2.93437537e+00, 9.67000000e+02
3.32000000e+01, -2.93380735e+00, 9.66000000e+02
3.33000000e+01, -2.93220004e+00, 9.63000000e+02
3.34000000e+01, -2.93162395e+00, 9.62000000e+02
3.35000000e+01, -2.93519104e+00, 9.69000000e+02
3.36000000e+01, -2.93617497e+00, 9.71000000e+02
3.37000000e+01, -2.94074422e+00, 9.80000000e+02
3.38000000e+01, -2.94122419e+00, 9.81000000e+02
3.39000000e+01, -2.94626685e+00, 9.91000000e+02
3.40000000e+01, -2.94625352e+00, 9.91000000e+02
