Wavelength [nm],Voltage [V]
612.3125,0.22121207941176463
612.40625,0.2056158352941177
612.5,0.17644657352941182
612.59375,0.1365087441176471
612.6875,0.11710767647058824
612.8125,0.11534761470588238
612.90625,0.11449596764705884
613.0,0.11261188823529411
613.09375,0.11237842941176471
613.1875,0.11253100294117646
613.3125,0.11284330294117649
613.40625,0.11269641176470589
613.5,0.11266972647058826
613.59375,0.11251647941176467
613.6875,0.11249352058823532
613.8125,0.11255407352941178
613.90625,0.11191199705882354
614.0,0.11236113235294115
614.09375,0.11354685294117649
614.1875,0.11295481176470586
614.3125,0.11233677647058822
614.40625,0.11166920294117645
614.5,0.11210385588235293
614.59375,0.11237398235294119
614.6875,0.1120610294117647
614.8125,0.11231785
614.90625,0.11216308235294119
615.0,0.11269598235294111
615.09375,0.11228212352941179
615.1875,0.11206219705882352
615.3125,0.11233415588235296
615.40625,0.11252533235294121
615.5,0.1121569823529412
615.59375,0.112124705882353
615.6875,0.11205628529411768
615.8125,0.11205207647058824
615.90625,0.11219038235294118
616.0,0.11202610588235294
616.09375,0.11209770588235293
616.1875,0.11229782647058825
616.3125,0.11197041470588236
616.40625,0.11188359705882356
616.5,0.1124189176470588
616.59375,0.11249622352941176
616.6875,0.1119497588235294
616.8125,0.11209931764705883
616.90625,0.11194849117647056
617.0,0.11221005588235293
617.09375,0.11243428529411766
617.1875,0.11205012352941177
617.3125,0.1121244882352941
617.40625,0.11206697058823531
617.5,0.11185493235294114
617.59375,0.11226150882352941
617.6875,0.11237194999999998
617.8125,0.11213664999999999
617.90625,0.11223525294117648
618.0,0.11232960294117647
618.09375,0.11209044117647059
618.1875,0.11245990294117647
618.3125,0.11203489999999999
618.40625,0.11246519411764704
618.5,0.11212403235294119
618.59375,0.11353687058823529
618.6875,0.1146635529411765
618.8125,0.11581954117647057
618.90625,0.11709022058823527
619.0,0.11894373235294117
619.09375,0.1226819823529412
619.1875,0.12742605294117645
619.3125,0.13016462941176468
619.40625,0.13162438235294113
619.5,0.13381645588235294
619.59375,0.13628713235294113
619.6875,0.13695490000000002
619.8125,0.1362002029411765
619.90625,0.13551681764705883
620.0,0.1334952323529412
620.09375,0.12969834117647058
620.1875,0.12520963529411763
620.3125,0.12255339411764705
620.40625,0.12114414999999999
620.5,0.11892912941176469
620.59375,0.1157049882352941
620.6875,0.11341076764705882
620.8125,0.11278147058823529
620.90625,0.11300990588235292
621.0,0.11294595588235297
621.09375,0.11295047352941175
621.1875,0.1122337
621.3125,0.11212499705882352
621.40625,0.11187717058823528
621.5,0.11217492941176471
621.59375,0.11265306176470587
621.6875,0.11172534411764706
621.8125,0.11254425588235295
621.90625,0.11237088529411764
622.0,0.11238891764705883
622.09375,0.11195958529411765
622.1875,0.11151172941176471
622.3125,0.11213794705882352
622.40625,0.11207069705882354
622.5,0.11187850294117647
622.59375,0.11236362058823533
622.6875,0.11196840882352943
622.8125,0.11208033529411764
622.90625,0.11213307647058823
623.0,0.11236476470588234
623.09375,0.11199313235294117
623.1875,0.11228758235294119
623.3125,0.1122019117647059
623.40625,0.11188547647058822
623.5,0.11209653529411764
623.59375,0.11226676470588234
623.6875,0.11168434705882356
623.8125,0.11150306176470587
623.90625,0.11183893529411765
624.0,0.11199846176470588
624.09375,0.11201426176470587
624.1875,0.11160840588235295
624.3125,0.11211671470588239
624.40625,0.11230247647058822
624.5,0.11194462352941179
624.59375,0.11190542647058822
624.6875,0.11195344705882353
624.8125,0.11185018529411764
624.90625,0.1122201411764706
625.0,0.11228250294117649
625.09375,0.11200438235294118
625.1875,0.11205807647058824
625.3125,0.11239735294117646
625.40625,0.11212452058823533
625.5,0.11182424705882354
625.59375,0.1122711205882353
625.6875,0.11213035294117647
625.8125,0.11161385000000001
625.90625,0.11204006470588236
626.0,0.11180303823529412
626.09375,0.11237584411764708
626.1875,0.11242786176470586
626.3125,0.1120284705882353
626.40625,0.11262978529411766
626.5,0.11168703529411765
626.59375,0.11170732352941176
626.6875,0.11265684117647061
626.8125,0.11272905
626.90625,0.11283875882352942
627.0,0.1140951588235294
627.09375,0.11601074117647059
627.1875,0.12219442058823529
627.3125,0.12430465294117647
627.40625,0.12626174411764707
627.5,0.13005644411764705
627.59375,0.13798580588235296
627.6875,0.1448196970588235
627.8125,0.14611215588235293
627.90625,0.14550345588235297
628.0,0.14395533529411764
628.09375,0.13972051470588237
628.1875,0.13151507647058824
628.3125,0.12919422647058829
628.40625,0.1284008411764706
628.5,0.12354494411764708
628.59375,0.11828979411764709
628.6875,0.11407752352941174
628.8125,0.11365707352941176
628.90625,0.11307251470588234
629.0,0.11270766176470587
629.09375,0.11252665588235294
629.1875,0.11279295882352942
629.3125,0.11256776764705882
629.40625,0.11237521470588238
629.5,0.11219167647058823
629.59375,0.1121687382352941
629.6875,0.11216022941176472
629.8125,0.11163854411764706
629.90625,0.11205950588235293
630.0,0.11225736470588232
630.09375,0.11236659411764706
630.1875,0.11220431764705885
630.3125,0.11191061764705885
630.40625,0.1124913882352941
630.5,0.11232286764705883
630.59375,0.112558
630.6875,0.11202985000000001
630.8125,0.11223898529411766
630.90625,0.11237668529411766
631.0,0.11173148529411768
631.09375,0.11234475882352941
631.1875,0.11200730000000002
631.3125,0.11190707647058822
