Position x (Å), Position y (Å), Position z (Å)
3.87434962, 10.63273378, 1.72843638
3.92669669, 10.67582526, 1.76335798
3.98103674, 10.66889984, 1.80101578
4.03299263, 10.63379625, 1.83179405
4.08757238, 10.59131792, 1.84811319
4.15054403, 10.55051664, 1.84784128
4.22205335, 10.51405081, 1.83448346
4.29782695, 10.48246264, 1.81533571
4.37091078, 10.45442337, 1.80044439
4.43420104, 10.43054523, 1.80043269
4.48014526, 10.41541486, 1.82376748
4.50310996, 10.41554352, 1.87548256
4.50123899, 10.43773027, 1.95045414
4.47540496, 10.48390139, 2.03205090
4.42300247, 10.54594085, 2.10083785
4.33677176, 10.60102757, 2.14147018
4.21854271, 10.62463627, 2.14105411
4.09527684, 10.61509398, 2.09286434
3.99946230, 10.59020454, 2.00384460
3.93668274, 10.56483568, 1.90138486
3.89959717, 10.54598698, 1.82449504
3.88606124, 10.52803862, 1.80234884
3.89661302, 10.49836729, 1.84076755
3.92879806, 10.45005960, 1.92328583
3.98070948, 10.38748087, 2.02644376
4.05584137, 10.32604213, 2.13443810
4.16270403, 10.28205151, 2.24032255
4.28868939, 10.25801265, 2.33460216
4.39215129, 10.23966235, 2.39956051
4.43649221, 10.21348425, 2.42007779
4.42272017, 10.18088958, 2.40709240
4.37088114, 10.15376871, 2.38047324
4.29818117, 10.14368652, 2.34948752
4.22051195, 10.15345402, 2.31351472
4.15844279, 10.17684628, 2.26751166
4.12878068, 10.20704796, 2.20504464
4.13031872, 10.24285892, 2.12528253
4.14739405, 10.28447816, 2.04401861
4.16431251, 10.32954433, 1.98538338
4.17135844, 10.37366996, 1.96741427
4.16745004, 10.40566649, 1.99090671
4.15687738, 10.40942206, 2.04099336
4.14269931, 10.37488317, 2.09799252
4.12645439, 10.30733568, 2.14651165
4.10722513, 10.22797676, 2.17853785
4.08100487, 10.16259612, 2.18843557
4.04416867, 10.12757057, 2.17310611
4.00203344, 10.12852340, 2.13681087
3.96551900, 10.16119326, 2.08946477
3.94351136, 10.21459493, 2.03923367
3.93754241, 10.27508941, 1.98983488
3.94540820, 10.32998460, 1.94455026
3.96513046, 10.37062537, 1.90727204
3.99582811, 10.39291990, 1.88176744
4.03608889, 10.39791795, 1.87181067
4.08357503, 10.39204184, 1.87944329
4.13416377, 10.38376156, 1.90407242
4.18092435, 10.37918723, 1.94291815
4.21198555, 10.38301823, 1.99121814
4.21153253, 10.39806936, 2.04244312
4.16880408, 10.42477005, 2.08841695
4.09257251, 10.45878814, 2.12372130
4.00541253, 10.49410459, 2.14950079
3.92851709, 10.52738518, 2.16998630
3.87193603, 10.55588764, 2.18915263
3.83464547, 10.57577970, 2.21093435
3.80880360, 10.58176745, 2.23812395
3.78737073, 10.56850739, 2.27129543
3.77026282, 10.53165067, 2.31013813
3.76082212, 10.46922031, 2.35430056
3.76226153, 10.38646438, 2.40128769
3.77647324, 10.29983145, 2.44206851
3.80326710, 10.22844144, 2.45857115
3.84437492, 10.18511314, 2.43194379
3.90299842, 10.17112457, 2.36077252
3.98083728, 10.18161741, 2.26357327
4.07746471, 10.21062786, 2.16353781
4.18708970, 10.24715636, 2.08028127
4.29434700, 10.28042532, 2.02510502
4.38289633, 10.30508134, 2.00170783
4.44507465, 10.32176351, 2.00573282
4.48487365, 10.33055406, 2.02356543
4.51287959, 10.32890445, 2.04039623
4.53667473, 10.31711531, 2.04845121
4.56005875, 10.29872008, 2.04533646
4.58413757, 10.27912150, 2.03181648
4.60964182, 10.26381238, 2.01161210
4.63702396, 10.25718240, 1.98854773
4.66227419, 10.26257598, 1.96683083
4.67727261, 10.28170220, 1.95022336
4.66997788, 10.31265358, 1.94135160
4.62865478, 10.35040604, 1.94236788
4.54805529, 10.38990315, 1.95557056
4.43435152, 10.43081750, 1.98191027
4.30220238, 10.47841487, 2.01743772
4.16901892, 10.53586955, 2.05725156
4.05257716, 10.59560051, 2.09769209
3.96866950, 10.64659967, 2.13278709
3.93126842, 10.68287022, 2.15051981
3.94647234, 10.70864371, 2.13413754
4.00624982, 10.73036516, 2.07911717
4.08775890, 10.74965032, 2.00182464
4.16541882, 10.76483525, 1.92744543
4.21802867, 10.77427242, 1.88249965
4.23552644, 10.77540666, 1.88617246
4.22807748, 10.76099938, 1.94513808
4.21393127, 10.72127113, 2.05300909
4.20442801, 10.65061164, 2.19098452
4.20428603, 10.54616299, 2.32947101
4.21958801, 10.40830074, 2.44303134
4.25554307, 10.24856201, 2.52400637
4.30272038, 10.09893877, 2.57628151
4.32621868, 9.99899657, 2.60052865
4.28281906, 9.96810940, 2.59195274
4.17073673, 9.98761840, 2.54890406
4.02713654, 10.02835328, 2.47881391
3.88948065, 10.07533977, 2.38829268
3.78359350, 10.12093595, 2.28474257
3.72759711, 10.15417429, 2.18313221
3.73645588, 10.16200473, 2.10585524
3.80517967, 10.14505283, 2.06337758
3.90626847, 10.12164438, 2.05279245
4.01356500, 10.11282112, 2.06920749
4.11226174, 10.13183830, 2.10368356
4.20149226, 10.18411249, 2.13722433
4.28740860, 10.26853376, 2.15471806
4.37294698, 10.37546905, 2.16021417
4.45334290, 10.48702063, 2.16674240
4.51949347, 10.58276418, 2.18450195
4.56129624, 10.64574347, 2.21724861
4.57234975, 10.66665996, 2.26024345
4.55725916, 10.64581613, 2.29895685
4.52725190, 10.58674177, 2.31317275
4.48362678, 10.49965179, 2.29116022
4.41547961, 10.40774038, 2.23714304
4.31658267, 10.34112731, 2.16756490
4.20264515, 10.31341346, 2.10237578
4.10662385, 10.31751579, 2.06230887
4.05971772, 10.34268735, 2.05609011
4.07141924, 10.37619763, 2.06948717
4.12807291, 10.40295593, 2.07910912
4.20222518, 10.41024326, 2.07977312
4.26290853, 10.39374202, 2.08491540
4.28429418, 10.35716845, 2.10516579
4.25491817, 10.31419012, 2.13680546
4.17931216, 10.28310721, 2.16802446
4.07885589, 10.27573720, 2.18759764
3.98050530, 10.29658310, 2.18499158
3.90672745, 10.33872341, 2.15463821
3.87488930, 10.37731278, 2.09988362
3.89332618, 10.38744946, 2.03180630
3.95300641, 10.36336813, 1.96492685
4.03226056, 10.31178639, 1.91407243
4.11086120, 10.23947547, 1.88925953
4.17485022, 10.15661800, 1.89138546
4.21317517, 10.08494699, 1.91494460
4.21692996, 10.04964303, 1.95038820
4.19332227, 10.06014776, 1.98544183
4.17431234, 10.10611976, 2.00494006
4.19651261, 10.17281517, 1.99482219
4.26644124, 10.25243481, 1.95671324
4.35779589, 10.33643847, 1.90788269
4.43730404, 10.41103195, 1.86468628
4.47955292, 10.46050424, 1.83553120
4.47413342, 10.47506433, 1.82406954
4.42925299, 10.46050464, 1.82980325
4.36316369, 10.43170961, 1.85042473
4.29306367, 10.40234711, 1.88334742
4.23255031, 10.38458169, 1.92615947
4.19451204, 10.38823165, 1.97501036
4.18584488, 10.41189112, 2.02280879
4.20647261, 10.43597674, 2.05567189
4.25076272, 10.43262912, 2.05821068
4.30160930, 10.38887165, 2.03678427
4.33472691, 10.31898218, 2.02368151
4.33553216, 10.25343689, 2.05415804
4.30477268, 10.22119547, 2.13579281
4.24932237, 10.23493364, 2.23916550
4.17253707, 10.29549782, 2.32802991
4.07999889, 10.39032204, 2.38738775
3.98653960, 10.49821353, 2.41958021
3.91840421, 10.60007535, 2.42644306
3.90059986, 10.67646032, 2.40968026
3.93683369, 10.70797909, 2.37644777
4.00595864, 10.68547066, 2.33373911
4.08027056, 10.61826068, 2.28575583
4.14019090, 10.53492528, 2.23645497
4.17373873, 10.46705376, 2.18795277
4.17988796, 10.43208749, 2.14179447
4.16562449, 10.42783455, 2.09964451
4.14000156, 10.44121673, 2.06300911
4.11172117, 10.45318208, 2.03321179
4.09428585, 10.43869231, 2.01119032
4.10648284, 10.37198101, 1.99858204
4.15151532, 10.24923533, 2.00035294
4.20662404, 10.10065259, 2.02052408
4.24621046, 9.96488532, 2.05955448
4.25473775, 9.86970054, 2.10302775
4.22284533, 9.84268238, 2.10889166
4.15010920, 9.89159647, 2.05837496
4.04951729, 9.98351435, 1.98983572
3.93969767, 10.08999367, 1.93031688
3.83929166, 10.19519887, 1.88847456
3.76472364, 10.28591250, 1.87001560
3.73243101, 10.35145070, 1.87954022
3.75705556, 10.38312956, 1.91180832
3.84296327, 10.37699826, 1.95282239
3.97788184, 10.34333015, 1.98724590
4.13752015, 10.30170426, 2.00443355
4.29749133, 10.26859247, 1.99969854
4.43343932, 10.25784308, 1.97948302
4.52763426, 10.27783551, 1.96201711
4.57937347, 10.32476610, 1.96423247
4.60088323, 10.37697002, 1.98866413
4.60443630, 10.40696295, 2.02486012
4.59499861, 10.39562281, 2.05852346
4.57264273, 10.34221565, 2.08104822
4.53933256, 10.26335537, 2.08928917
4.49975732, 10.18702545, 2.08195815
4.45828575, 10.14653220, 2.06345441
4.41624629, 10.16828049, 2.05076665
4.37037487, 10.25598145, 2.05631955
4.31521740, 10.38457322, 2.07252359
4.24863410, 10.52192627, 2.09288676
4.17829725, 10.64188374, 2.12094633
4.11877679, 10.72665697, 2.16182841
4.08244391, 10.77197729, 2.21128417
4.07479816, 10.78582685, 2.25660118
4.09006973, 10.77724904, 2.28696407
4.11240562, 10.75047303, 2.29992209
4.12428980, 10.70594459, 2.29629930
4.11358762, 10.64422980, 2.27972555
4.08202353, 10.57015838, 2.25730671
4.04117787, 10.49217587, 2.23678809
4.00341213, 10.41802159, 2.22491047
3.98049747, 10.35269701, 2.22558752
3.97737678, 10.29946008, 2.23660306
3.99133765, 10.26071597, 2.24867079
4.01688429, 10.23771132, 2.24825484
4.04723042, 10.23062922, 2.22424325
4.07767910, 10.24003136, 2.17398428
4.10415637, 10.26704985, 2.10462365
4.12076214, 10.30946899, 2.02805410
4.12060145, 10.35978595, 1.95455138
4.09803123, 10.40865844, 1.89241864
4.05186116, 10.44721126, 1.84715311
3.98822357, 10.46916224, 1.81950018
3.92053629, 10.47267639, 1.80549447
3.86297482, 10.45946716, 1.79892779
3.82641009, 10.43139550, 1.79565772
3.82019720, 10.38854662, 1.79785042
3.85113697, 10.32983500, 1.81407318
3.92002585, 10.25387022, 1.85168122
4.01651022, 10.16143969, 1.90758192
4.12283101, 10.05658424, 1.97316501
4.21924982, 9.94994411, 2.03880587
4.28938794, 9.85629371, 2.09110192
4.32426402, 9.78891234, 2.11998937
4.32374048, 9.76144050, 2.12456838
4.29542387, 9.78478407, 2.11244785
4.25268653, 9.85940794, 2.09202919
4.21165533, 9.97285009, 2.06349787
4.18723361, 10.10642553, 2.02187501
4.18704390, 10.24286811, 1.96658253
4.20770988, 10.36049373, 1.90462962
4.24025160, 10.43059176, 1.84753889
4.27696769, 10.44042347, 1.80340850
4.30885031, 10.40450949, 1.77751116
4.31338071, 10.35091696, 1.77797203
4.26451021, 10.30068814, 1.81458132
4.16339699, 10.26418913, 1.88368789
4.03723358, 10.24567978, 1.96968131
3.92101386, 10.24357903, 2.05223561
3.84683080, 10.25143535, 2.11179705
3.83574413, 10.26609062, 2.13537798
3.88136689, 10.28744090, 2.12479149
3.95839987, 10.31373609, 2.09294718
4.04275995, 10.34336199, 2.05517065
4.11567010, 10.37644251, 2.02671125
4.16541990, 10.41209559, 2.02098756
4.19444198, 10.44721014, 2.04454108
4.21479227, 10.47608028, 2.09545010
4.23643088, 10.49435623, 2.16710939
4.26300746, 10.49956918, 2.24889989
4.29237072, 10.48984007, 2.32760553
4.32081674, 10.46394124, 2.38939294
4.34333253, 10.42340539, 2.42077291
4.35137272, 10.37298541, 2.41238909
4.33416694, 10.32031840, 2.36512882
4.28648899, 10.27533985, 2.29130443
4.21133746, 10.24955580, 2.20959294
4.11560454, 10.25307027, 2.13933557
4.00893459, 10.28969311, 2.09357743
3.90178706, 10.35249030, 2.07521974
3.80152694, 10.42751753, 2.07709301
3.71950255, 10.49799863, 2.08685194
3.67348352, 10.54589569, 2.09212406
3.68354657, 10.55191631, 2.08237029
3.74535936, 10.51795067, 2.05356521
3.82693650, 10.46868759, 2.00954247
3.89391550, 10.42865465, 1.95755538
3.93347037, 10.40721844, 1.90702151
3.95592429, 10.39876838, 1.86853005
3.97629187, 10.39668754, 1.85229405
