Position x (Å), Position y (Å), Position z (Å)
4.12524208, 10.35206885, 1.92606544
4.07491894, 10.37537487, 1.94583893
4.01288035, 10.39817185, 1.97141916
3.94174025, 10.42360386, 2.00167265
3.87204351, 10.45414240, 2.03229425
3.82220647, 10.48910500, 2.05590739
3.80785082, 10.52205051, 2.06667929
3.82828144, 10.54399098, 2.06454119
3.87003147, 10.54732691, 2.05399544
3.91909962, 10.52572490, 2.03935893
3.96616672, 10.47658885, 2.02171301
4.00757125, 10.40161212, 1.99956435
4.04236058, 10.30659983, 1.97318640
4.06728792, 10.20558284, 1.94276768
4.07814964, 10.11755467, 1.90593835
4.07047824, 10.06111177, 1.86098173
4.04690666, 10.04859251, 1.82045464
4.02800427, 10.07824034, 1.81644236
4.03717655, 10.13576202, 1.87468514
4.06229420, 10.20404581, 1.97718062
4.08193801, 10.27216831, 2.09294764
4.08708662, 10.33544277, 2.20449711
4.07958106, 10.39405338, 2.30325213
4.06577970, 10.44829279, 2.38307789
4.05541120, 10.49741154, 2.43731756
4.05891648, 10.53983916, 2.46054051
4.08193832, 10.57328701, 2.45275510
4.12083911, 10.59656005, 2.42077288
4.16646046, 10.60962170, 2.37511795
4.20933976, 10.61318175, 2.32632367
4.24138809, 10.60960086, 2.28116415
4.25784120, 10.60183319, 2.24146628
4.25885138, 10.59152947, 2.20623873
4.24640546, 10.57770213, 2.17337503
4.22232350, 10.55747181, 2.14149921
4.18842717, 10.52794910, 2.11063132
4.15033817, 10.48727575, 2.08259199
4.11653017, 10.43643598, 2.06346036
4.09171970, 10.38024804, 2.06223999
4.07302347, 10.32629845, 2.08128776
4.05159673, 10.28257928, 2.11300871
4.02109205, 10.25324295, 2.14496712
3.98266467, 10.23754867, 2.16660982
3.94313425, 10.23165583, 2.17188305
3.91115904, 10.23171738, 2.15789843
3.89277051, 10.23542347, 2.12483781
3.88710385, 10.24149511, 2.07921263
3.88658857, 10.24832994, 2.03513478
3.88031937, 10.25461769, 2.01200386
3.86331272, 10.26168102, 2.02453371
3.83938159, 10.27368479, 2.07340903
3.81489810, 10.29114357, 2.14458249
3.79204201, 10.30941755, 2.21904720
3.77075261, 10.32177732, 2.28093973
3.75358020, 10.32432996, 2.31990209
3.74748801, 10.31664702, 2.33106257
3.76079309, 10.30264523, 2.31332658
3.80206667, 10.29007743, 2.26953923
3.87732866, 10.28857667, 2.20585267
3.98253071, 10.30413988, 2.13224400
4.10193193, 10.33626732, 2.06301323
4.21584645, 10.37817549, 2.01194727
4.30879303, 10.42321331, 1.98747591
4.37132025, 10.46697033, 1.98491492
4.39973883, 10.50552863, 1.99214587
4.39268856, 10.53103273, 1.99884216
4.35289219, 10.53223773, 2.00125065
4.28901865, 10.50163634, 1.99908329
4.21653560, 10.44002457, 1.99061318
4.15036130, 10.35427117, 1.97471699
4.09715079, 10.25641575, 1.95486904
4.05654422, 10.16400228, 1.94351260
4.02702265, 10.09826447, 1.96088798
4.00590015, 10.07225159, 2.01903379
3.98899518, 10.08000466, 2.10481837
3.97718027, 10.10681345, 2.19171341
3.97747862, 10.14022984, 2.25850329
3.99664081, 10.17087184, 2.29412108
4.03676043, 10.19484277, 2.29625872
4.09474802, 10.21547594, 2.26893776
4.16275475, 10.23848663, 2.22110881
4.23157208, 10.26658021, 2.16507334
4.28988802, 10.29714421, 2.11529098
4.32477906, 10.32603789, 2.08797304
4.32557817, 10.35022155, 2.09686928
4.29206374, 10.37017579, 2.14265664
4.23643211, 10.38528264, 2.20875658
4.17781497, 10.39000017, 2.26977253
4.13524840, 10.37905403, 2.29828803
4.11868586, 10.35273721, 2.27689750
4.12211646, 10.31838836, 2.20866682
4.13318792, 10.28431615, 2.11503008
4.14477726, 10.25470421, 2.02243029
4.15567110, 10.22779427, 1.95349643
4.16826536, 10.19650095, 1.92232272
4.18671757, 10.15222975, 1.93479564
4.21467713, 10.09350517, 1.98592889
4.25279559, 10.03111068, 2.05984263
4.29942763, 9.98097903, 2.13505005
4.35235644, 9.95462639, 2.19330514
4.40122115, 9.95314997, 2.22320045
4.42817637, 9.96873364, 2.22411586
