x-axis (inverse cm), DICING_transmission_spectrum (percent), PDMS_transmission_spectrum (percent), x-axis (inverse cm), KAPTON_transmission_spectrum (percent), PMMA_transmission_spectrum (percent)
3631.07581,1.05384,1.05589,3631.07581,1.05211,1.01286
3629.14747,1.05372,1.05579,3629.14747,1.05197,1.0129
3627.21912,1.0541,1.05604,3627.21912,1.05217,1.01312
3625.29078,1.05437,1.05628,3625.29078,1.05237,1.01324
3623.36243,1.05415,1.05621,3623.36243,1.05239,1.01319
3621.43408,1.05354,1.05573,3621.43408,1.05249,1.01306
3619.50574,1.05314,1.05534,3619.50574,1.0526,1.01288
3617.57739,1.05337,1.05556,3617.57739,1.05229,1.01267
3615.64904,1.05375,1.056,3615.64904,1.05166,1.01252
3613.7207,1.05384,1.05611,3613.7207,1.05119,1.01253
3611.79235,1.05372,1.05596,3611.79235,1.05098,1.01265
3609.86401,1.05362,1.05586,3609.86401,1.05087,1.01268
3607.93566,1.05379,1.05604,3607.93566,1.05098,1.01269
3606.00731,1.05412,1.05637,3606.00731,1.05148,1.01283
3604.07897,1.05427,1.05655,3604.07897,1.05202,1.01304
3602.15062,1.05432,1.05665,3602.15062,1.05226,1.01326
3600.22228,1.05436,1.05678,3600.22228,1.05228,1.01348
3598.29393,1.0543,1.0568,3598.29393,1.05215,1.0135
3596.36558,1.05426,1.05672,3596.36558,1.05193,1.01333
3594.43724,1.0544,1.0567,3594.43724,1.05175,1.01324
3592.50889,1.05436,1.05656,3592.50889,1.0515,1.01314
3590.58054,1.05378,1.05611,3590.58054,1.05091,1.0127
3588.6522,1.05305,1.05554,3588.6522,1.05025,1.01211
3586.72385,1.05297,1.05552,3586.72385,1.05029,1.01204
3584.79551,1.05353,1.0561,3584.79551,1.05108,1.01262
3582.86716,1.05395,1.05653,3582.86716,1.05182,1.01315
3580.93881,1.05397,1.0565,3580.93881,1.05202,1.01316
3579.01047,1.05387,1.05634,3579.01047,1.05191,1.01288
3577.08212,1.05395,1.05638,3577.08212,1.05182,1.01271
3575.15378,1.05411,1.05656,3575.15378,1.05179,1.01261
3573.22543,1.05398,1.05658,3573.22543,1.05154,1.01228
3571.29708,1.0533,1.05611,3571.29708,1.05069,1.01145
3569.36874,1.0523,1.05528,3569.36874,1.04932,1.0103
3567.44039,1.05176,1.05487,3567.44039,1.04835,1.00957
3565.51204,1.05216,1.05536,3565.51204,1.0486,1.00985
3563.5837,1.0529,1.05607,3563.5837,1.04945,1.01053
3561.65535,1.05327,1.05627,3561.65535,1.04998,1.01085
3559.72701,1.05334,1.05625,3559.72701,1.05015,1.01089
3557.79866,1.05335,1.05638,3557.79866,1.05028,1.01095
3555.87031,1.05331,1.05644,3555.87031,1.05032,1.01094
3553.94197,1.05327,1.05629,3553.94197,1.05028,1.01087
3552.01362,1.05331,1.05619,3552.01362,1.05031,1.01095
3550.08528,1.0532,1.05617,3550.08528,1.05023,1.01099
3548.15693,1.05284,1.05594,3548.15693,1.04991,1.01072
3546.22858,1.05264,1.05562,3546.22858,1.0498,1.01057
3544.30024,1.0529,1.0557,3544.30024,1.05031,1.01101
3542.37189,1.05333,1.05617,3542.37189,1.05103,1.01169
3540.44354,1.05348,1.05644,3540.44354,1.05127,1.01193
3538.5152,1.0533,1.05625,3538.5152,1.051,1.01164
3536.58685,1.05313,1.05601,3536.58685,1.05078,1.01135
3534.65851,1.05322,1.05611,3534.65851,1.05096,1.01146
3532.73016,1.05341,1.05636,3532.73016,1.05134,1.01175
3530.80181,1.0535,1.0564,3530.80181,1.05152,1.01181
3528.87347,1.05342,1.05618,3528.87347,1.05134,1.01152
3526.94512,1.05312,1.05582,3526.94512,1.05086,1.01101
3525.01678,1.0528,1.05554,3525.01678,1.05046,1.01053
3523.08843,1.05277,1.05555,3523.08843,1.05055,1.01037
3521.16008,1.05291,1.05577,3521.16008,1.05104,1.0105
3519.23174,1.0529,1.05589,3519.23174,1.05141,1.01058
3517.30339,1.05283,1.05588,3517.30339,1.05143,1.01048
3515.37504,1.05291,1.05588,3515.37504,1.05134,1.01036
3513.4467,1.05305,1.05596,3513.4467,1.05135,1.01019
3511.51835,1.05308,1.056,3511.51835,1.05132,1.00978
3509.59001,1.05308,1.05596,3509.59001,1.05123,1.00924
3507.66166,1.0531,1.05592,3507.66166,1.05122,1.00886
3505.73331,1.05286,1.0558,3505.73331,1.05113,1.00844
3503.80497,1.05247,1.0556,3503.80497,1.05082,1.00783
3501.87662,1.05242,1.05559,3501.87662,1.05073,1.00736
3499.94828,1.05269,1.05584,3499.94828,1.05101,1.00707
3498.01993,1.05289,1.05609,3498.01993,1.05134,1.0067
3496.09158,1.05292,1.05624,3496.09158,1.05158,1.00625
3494.16324,1.05291,1.0563,3494.16324,1.05177,1.00579
3492.23489,1.05283,1.0562,3492.23489,1.05175,1.00512
3490.30654,1.05272,1.05604,3490.30654,1.05162,1.00435
3488.3782,1.0527,1.05601,3488.3782,1.05158,1.00395
3486.44985,1.05273,1.05606,3486.44985,1.0515,1.00397
3484.52151,1.05259,1.05598,3484.52151,1.05121,1.00406
3482.59316,1.05232,1.0558,3482.59316,1.05088,1.00408
3480.66481,1.05223,1.05579,3480.66481,1.05077,1.00424
3478.73647,1.05235,1.05595,3478.73647,1.05085,1.00458
3476.80812,1.05242,1.05608,3476.80812,1.05079,1.0049
3474.87978,1.05234,1.05604,3474.87978,1.05057,1.00522
3472.95143,1.05229,1.05592,3472.95143,1.0505,1.00573
3471.02308,1.05243,1.05589,3471.02308,1.05069,1.00649
3469.09474,1.05258,1.05593,3469.09474,1.05079,1.00717
3467.16639,1.05256,1.05595,3467.16639,1.05051,1.00742
3465.23804,1.05245,1.05596,3465.23804,1.05001,1.00738
3463.3097,1.0525,1.05603,3463.3097,1.04974,1.00747
3461.38135,1.05264,1.05615,3461.38135,1.04972,1.00777
3459.45301,1.05259,1.05627,3459.45301,1.04951,1.00795
3457.52466,1.05234,1.05634,3457.52466,1.04898,1.00794
3455.59631,1.05216,1.05635,3455.59631,1.04852,1.00798
3453.66797,1.05222,1.0563,3453.66797,1.04837,1.00812
3451.73962,1.05236,1.05627,3451.73962,1.04832,1.00814
3449.81128,1.05231,1.05627,3449.81128,1.04803,1.00797
3447.88293,1.05212,1.05616,3447.88293,1.04746,1.00769
3445.95458,1.05199,1.05599,3445.95458,1.04683,1.00738
3444.02624,1.05203,1.05593,3444.02624,1.04638,1.0072
3442.09789,1.05222,1.056,3442.09789,1.04618,1.00727
3440.16954,1.05241,1.0561,3440.16954,1.04625,1.00764
3438.2412,1.05245,1.05613,3438.2412,1.04638,1.00814
3436.31285,1.05247,1.05614,3436.31285,1.04619,1.00846
3434.38451,1.05259,1.05623,3434.38451,1.04558,1.00842
3432.45616,1.05277,1.05636,3432.45616,1.04489,1.00818
3430.52781,1.05283,1.05636,3430.52781,1.04448,1.00791
3428.59947,1.05279,1.0563,3428.59947,1.04444,1.00753
3426.67112,1.05285,1.05629,3426.67112,1.04469,1.00714
3424.74277,1.05296,1.05622,3424.74277,1.04503,1.00673
3422.81443,1.05292,1.05609,3422.81443,1.04544,1.00631
3420.88608,1.05287,1.05609,3420.88608,1.04607,1.00611
3418.95774,1.05293,1.0561,3418.95774,1.04672,1.00612
3417.02939,1.0529,1.05589,3417.02939,1.04713,1.00607
3415.10104,1.05284,1.05567,3415.10104,1.04754,1.00609
3413.1727,1.05302,1.05577,3413.1727,1.04817,1.00632
3411.24435,1.05337,1.05602,3411.24435,1.04887,1.00659
3409.31601,1.05359,1.05618,3409.31601,1.04946,1.00664
3407.38766,1.05353,1.05618,3407.38766,1.04972,1.00643
3405.45931,1.05341,1.05613,3405.45931,1.04979,1.00631
3403.53097,1.0534,1.0561,3403.53097,1.05005,1.00664
3401.60262,1.0535,1.05607,3401.60262,1.0504,1.0071
3399.67427,1.05392,1.05644,3399.67427,1.05041,1.00706
3397.74593,1.05405,1.05651,3397.74593,1.05026,1.00646
3395.81758,1.05397,1.05646,3395.81758,1.05014,1.00602
3393.88924,1.05368,1.0563,3393.88924,1.05006,1.00602
3391.96089,1.05345,1.05614,3391.96089,1.04999,1.00607
3390.03254,1.05349,1.05604,3390.03254,1.04999,1.00587
3388.1042,1.05364,1.056,3388.1042,1.05003,1.00553
3386.17585,1.05375,1.05608,3386.17585,1.0501,1.00534
3384.24751,1.05381,1.05612,3384.24751,1.0502,1.00527
3382.31916,1.05375,1.05599,3382.31916,1.05021,1.00514
3380.39081,1.05362,1.05584,3380.39081,1.05009,1.00506
3378.46247,1.05356,1.05586,3378.46247,1.05003,1.00511
3376.53412,1.0537,1.05605,3376.53412,1.05018,1.00519
3374.60577,1.05398,1.05632,3374.60577,1.05051,1.00529
3372.67743,1.05409,1.05644,3372.67743,1.05077,1.00553
3370.74908,1.05398,1.05629,3370.74908,1.05083,1.00587
3368.82074,1.05384,1.05605,3368.82074,1.05069,1.00602
3366.89239,1.05373,1.05587,3366.89239,1.05043,1.00584
3364.96404,1.05363,1.0558,3364.96404,1.05025,1.00556
3363.0357,1.05359,1.05589,3363.0357,1.05028,1.00545
3361.10735,1.05368,1.05608,3361.10735,1.05039,1.00548
3359.17901,1.05381,1.05613,3359.17901,1.05046,1.00541
3357.25066,1.05377,1.05598,3357.25066,1.05046,1.00529
3355.32231,1.05359,1.05583,3355.32231,1.05044,1.00537
3353.39397,1.05353,1.05574,3353.39397,1.05041,1.00572
3351.46562,1.05358,1.05565,3351.46562,1.05035,1.00608
3349.53727,1.05363,1.05567,3349.53727,1.05042,1.00619
3347.60893,1.05363,1.05582,3347.60893,1.05057,1.00602
3345.68058,1.05358,1.05593,3345.68058,1.05052,1.00583
3343.75224,1.05353,1.05594,3343.75224,1.05029,1.00582
3341.82389,1.05362,1.05595,3341.82389,1.05016,1.00601
3339.89554,1.05373,1.05595,3339.89554,1.05016,1.00623
3337.9672,1.0537,1.05592,3337.9672,1.05014,1.0063
3336.03885,1.05356,1.05591,3336.03885,1.05003,1.0062
3334.11051,1.05354,1.05597,3334.11051,1.05003,1.00616
3332.18216,1.05368,1.05607,3332.18216,1.05025,1.00628
3330.25381,1.05375,1.05609,3330.25381,1.05046,1.00638
3328.32547,1.05376,1.05602,3328.32547,1.05053,1.00647
3326.39712,1.05382,1.05596,3326.39712,1.05062,1.00664
3324.46877,1.05394,1.056,3324.46877,1.05083,1.00682
3322.54043,1.05403,1.05611,3322.54043,1.05104,1.0069
3320.61208,1.054,1.05611,3320.61208,1.05103,1.00683
3318.68374,1.05383,1.05597,3318.68374,1.05083,1.00666
3316.75539,1.0536,1.05578,3316.75539,1.05066,1.00652
3314.82704,1.05344,1.05561,3314.82704,1.05055,1.00648
3312.8987,1.05347,1.05553,3312.8987,1.05047,1.00662
3310.97035,1.05365,1.05559,3310.97035,1.05047,1.00698
3309.04201,1.05374,1.05567,3309.04201,1.05053,1.00734
3307.11366,1.05367,1.05563,3307.11366,1.05059,1.00749
3305.18531,1.05358,1.05554,3305.18531,1.05055,1.00751
3303.25697,1.05361,1.05552,3303.25697,1.05046,1.00746
3301.32862,1.05368,1.05555,3301.32862,1.05043,1.00733
3299.40027,1.05367,1.05552,3299.40027,1.05044,1.00719
3297.47193,1.05359,1.05545,3297.47193,1.05038,1.00718
3295.54358,1.05355,1.0554,3295.54358,1.0503,1.00731
3293.61524,1.05359,1.05531,3293.61524,1.05026,1.00745
3291.68689,1.05367,1.05515,3291.68689,1.05018,1.00749
3289.75854,1.05369,1.05505,3289.75854,1.05003,1.00749
3287.8302,1.05362,1.05512,3287.8302,1.04996,1.00757
3285.90185,1.05351,1.05518,3285.90185,1.05002,1.00769
3283.97351,1.05337,1.05513,3283.97351,1.05011,1.00781
3282.04516,1.05327,1.05515,3282.04516,1.05021,1.008
3280.11681,1.05318,1.05526,3280.11681,1.05031,1.00822
3278.18847,1.05317,1.05525,3278.18847,1.05032,1.00829
3276.26012,1.05324,1.05512,3276.26012,1.05028,1.00822
3274.33177,1.05335,1.055,3274.33177,1.0503,1.00822
3272.40343,1.05346,1.0549,3272.40343,1.05033,1.00836
3270.47508,1.05352,1.05482,3270.47508,1.05028,1.00852
3268.54674,1.05339,1.05481,3268.54674,1.05018,1.00848
3266.61839,1.05316,1.05485,3266.61839,1.05011,1.00827
3264.69004,1.05306,1.05486,3264.69004,1.05005,1.00814
