Wavelength [nm],Voltage [V],Normalised voltage,Wavelength simulation [nm],Relative intensity simulation
630.59375,0.112558,0.316809412,647.38739,0.00000000
630.6875,0.11202985,0.3153228638,647.60761,0.00000000
630.8125,0.1122389853,0.3159115028,647.82783,0.00000000
630.90625,0.1123766853,0.3162990777,648.04805,0.00000000
631.0,0.1117314853,0.3144830768,648.26827,0.00000000
631.09375,0.1123447588,0.3162092164,648.48849,0.00000000
631.1875,0.1120073,0.3152593938,648.70871,0.00000000
631.3125,0.1119070765,0.3149773014,648.92893,0.00000000
631.40625,0.1121767471,0.3157363251,649.14915,0.00000000
631.5,0.1121966588,0.3157923694,649.36937,0.00000000
631.59375,0.1120020147,0.3152445177,649.58959,0.00000000
631.6875,0.1116202147,0.314169891,649.80981,0.00000000
631.8125,0.1118112912,0.314707701,650.03003,0.00000005
631.90625,0.1121410618,0.3156358841,650.25025,0.00000049
632.0,0.1119041382,0.3149690314,650.47047,0.00000380
632.09375,0.1123000912,0.3160834934,650.69069,0.00002437
632.1875,0.1123303441,0.3161686443,650.91091,0.00012864
632.3125,0.1117572324,0.3145555453,651.13113,0.00055919
632.40625,0.1121730824,0.3157260103,651.35135,0.00200222
632.5,0.1119529118,0.3151063109,651.57157,0.00590490
632.59375,0.1122579324,0.3159648318,651.79179,0.01434388
632.6875,0.11181385,0.3147149032,652.01201,0.02869939
632.8125,0.1117970529,0.3146676256,652.23223,0.04729670
632.90625,0.1124632235,0.3165426511,652.45245,0.06420091
633.0,0.1122879324,0.3160492708,652.67267,0.07178005
633.09375,0.11207455,0.3154486779,652.89289,0.06610259
633.1875,0.1118094353,0.3147024774,653.11311,0.05014012
633.3125,0.1120881794,0.3154870397,653.33333,0.03132596
633.40625,0.1119386441,0.3150661528,653.55355,0.01612039
633.5,0.1120311412,0.315326498,653.77377,0.00683281
633.59375,0.1115241971,0.3138996366,653.99399,0.00238547
633.6875,0.1118630706,0.314853441,654.21421,0.00068597
633.8125,0.1119487294,0.3150945392,654.43443,0.00016247
633.90625,0.1118573382,0.3148373066,654.65465,0.00003170
634.0,0.1117052471,0.3144092258,654.87487,0.00000509
634.09375,0.11245595,0.3165221787,655.09510,0.00000067
634.1875,0.1116552971,0.3142686349,655.31532,0.00000007
634.3125,0.1117431706,0.3145159666,655.53554,0.00000001
634.40625,0.1122116853,0.3158346634,655.75576,0.00000000
634.5,0.1118354088,0.3147755833,655.97598,0.00000000
634.59375,0.1118058324,0.3146923364,656.19620,0.00000000
634.6875,0.1120276265,0.3153166054,656.41642,0.00000000
634.8125,0.1119932059,0.3152197241,656.63664,0.00000000
634.90625,0.1117785,0.3146154059,656.85686,0.00000000
635.0,0.1119382794,0.3150651263,657.07708,0.00000000
635.09375,0.1122140912,0.315841435,657.29730,0.00000000
635.1875,0.1126999765,0.3172090236,657.51752,0.00000000
635.3125,0.1123433265,0.3162051849,657.73774,0.00000000
635.40625,0.1134705059,0.3193777808,657.95796,0.00000000
635.5,0.113702,0.3200293517,658.17818,0.00000000
635.59375,0.1160102235,0.3265261528,658.39840,0.00000000
635.6875,0.1205887676,0.3394130721,658.61862,0.00000003
635.8125,0.1226061941,0.3450913864,658.83884,0.00000036
635.90625,0.1242590882,0.349743676,659.05906,0.00000338
636.0,0.1275236853,0.3589323172,659.27928,0.00002621
636.09375,0.13212905,0.3718947266,659.49950,0.00016731
636.1875,0.1347052794,0.3791458658,659.71972,0.00087959
636.3125,0.1363519971,0.3837807709,659.93994,0.00380881
636.40625,0.1376365912,0.3873964314,660.16016,0.01358468
636.5,0.1364535706,0.3840666631,660.38038,0.03990811
636.59375,0.1349563765,0.3798526118,660.60060,0.09656621
636.6875,0.1290010147,0.3630904566,660.82082,0.19246041
636.8125,0.1253264706,0.3527479651,661.04104,0.31594377
636.90625,0.12465995,0.3508719545,661.26126,0.42719915
637.0,0.1211873735,0.3410979277,661.48148,0.47577666
637.09375,0.1171802735,0.3298194136,661.70170,0.43644354
637.1875,0.1149933265,0.3236639612,661.92192,0.32976547
637.3125,0.1144204912,0.3220516403,662.14214,0.20522698
637.40625,0.1134382176,0.3192869013,662.36236,0.10520004
637.5,0.1133249618,0.3189681276,662.58258,0.04441703
637.59375,0.1135823206,0.3196924981,662.80280,0.01544669
