All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Theoretical curve simple model (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
33.0,73.92363201924078,73.63385518025697,74.99405707568897,216.0,40.75,0.25
34.0,73.63418103673321,73.33987265703891,74.71969358012619,225.0,43.75,0.25
35.0,73.3402135521622,73.04145788724026,74.44028748898384,228.0,44.25,0.25
36.0,73.04181311003269,72.73869567297952,74.15592148754695,229.0,44.5,0.25
37.0,72.73906451468034,72.43167205181166,73.8666797288981,233.0,46.0,0.25
38.0,72.43205380617032,72.12047427227843,73.57264780901399,234.0,46.25,0.25
39.0,72.12086823584508,71.80519076911446,73.2739127414346,259.0,55.25,0.25
40.0,71.80559624152784,71.48591113811625,72.97056293151327,260.0,56.0,0.25
41.0,71.48632742238885,71.16272611068129,72.66268815025458,281.0,64.25,0.25
42.0,71.16315251348166,70.83572752802444,72.35037950774824,308.0,73.25,0.25
43.0,70.8361633599565,70.50500831507891,72.03372942620673,322.0,77.0,0.25
44.0,70.50545289095827,70.17066245408927,71.71283161261451,323.0,77.25,0.25
45.0,70.17111509321637,69.83278495790402,71.38778103099708,343.0,80.5,0.25
46.0,69.83324498433402,69.49147184297536,71.05867387431816,344.0,80.5,0.25
47.0,69.4919385857846,69.1468201020735,70.72560753601302,356.0,81.0,0.25
48.0,69.1472928956227,68.7989276767239,70.38868058116658,,,
49.0,68.7994058609176,68.44789342937463,70.04799271734493,,,
50.0,68.44837634991708,68.09381711530203,69.7036447650885,,,
51.0,68.09430412394943,67.73679935426283,69.35573862807614,,,
52.0,67.73728980907161,67.37694160190044,69.00437726296843,,,
53.0,67.37743486747168,67.01434612091376,68.64966464893955,,,
54.0,67.01484156863366,66.64911595199665,68.29170575690642,,,
55.0,66.64961296027285,66.28135488455632,67.93060651846451,,,
56.0,66.2818528390501,65.91116742721894,67.56647379453914,,,
57.0,65.9116657210731,65.53865877813081,67.19941534376196,,,
58.0,65.53915681219335,65.16393479506371,66.82953979058169,,,
59.0,65.16443197810696,64.78710196533272,66.45695659311862,,,
60.0,64.78759771426807,64.40826737553509,66.08177601077239,,,
61.0,64.4087611156232,64.02753868111897,65.70410907159274,,,
62.0,64.02802984617519,63.64502407579028,65.32406753942267,,,
63.0,63.64551210838558,63.26083226076684,64.94176388082393,,,
64.0,63.261316612423784,62.87507241388804,64.5573112317945,,,
65.0,62.875552545272065,62.487854158589315,64.17082336428807,,,
66.0,62.48832953969501,62.099287532749756,63.782414652545185,,,
67.0,62.09975764308228,61.70948295742214,63.39220003924621,,,
68.0,61.7099472861735,61.31855120545396,63.00029500149611,,,
69.0,61.319009251674316,60.926603370008486,62.60681551665104,,,
70.0,60.927054642772255,60.5337508329949,62.21187802799687,,,
71.0,60.534194851561665,60.14010523341622,61.8155994102899,,,
72.0,60.14054152738647,59.745778435644304,61.41809693516982,,,
73.0,59.74620654510981,59.350882497630735,61.019488236455246,,,
74.0,59.35130197331959,58.955529639062725,60.61989127533209,,,
75.0,58.95594004247906,58.559832209473015,60.21942430544499,,,
76.0,58.560233113031224,58.16390265631297,59.81820583790232,,,
77.0,58.16429364346647,57.767853492997716,59.416354606204834,,,
78.0,57.76823415836228,57.37179726693266,59.01398953110867,,,
79.0,57.37216721640409,56.975846527530244,58.61122968543278,,,
80.0,56.97620537839654,56.58011379422623,58.20819425882153,,,
81.0,56.58046117527414,56.1847115245044,57.805002522472535,,,
82.0,56.18504707612032,55.78975208193895,57.401773793840526,,,
83.0,55.790075456204136,55.3953477042635,56.99862740132746,,,
