x_IR_A, y_IR_A, x_IR_B, y_IR_B, x_IR_C, y_IR_C
3613.72316,1.03431,3613.72316,1.02891,3613.72316,1.03863
3611.79481,1.03431,3611.79481,1.02902,3611.79481,1.03876
3609.86646,1.03399,3609.86646,1.02909,3609.86646,1.03876
3607.93811,1.03379,3607.93811,1.02910,3607.93811,1.03883
3606.00977,1.03470,3606.00977,1.02847,3606.00977,1.03890
3604.08142,1.03525,3604.08142,1.02796,3604.08142,1.03881
3602.15307,1.03474,3602.15307,1.02814,3602.15307,1.03866
3600.22472,1.03440,3600.22472,1.02845,3600.22472,1.03861
3598.29638,1.03448,3598.29638,1.02857,3598.29638,1.03868
3596.36803,1.03428,3596.36803,1.02879,3596.36803,1.03885
3594.43968,1.03439,3594.43968,1.02880,3594.43968,1.03902
3592.51133,1.03523,3592.51133,1.02818,3592.51133,1.03905
3590.58299,1.03501,3590.58299,1.02803,3590.58299,1.03896
3588.65464,1.03328,3588.65464,1.02888,3588.65464,1.03900
3586.72629,1.03283,3586.72629,1.02916,3586.72629,1.03926
3584.79794,1.03397,3584.79794,1.02849,3584.79794,1.03937
3582.86960,1.03419,3582.86960,1.02826,3582.86960,1.03919
3580.94125,1.03339,3580.94125,1.02849,3580.94125,1.03896
3579.01290,1.03277,3579.01290,1.02859,3579.01290,1.03890
3577.08455,1.03259,3577.08455,1.02859,3577.08455,1.03901
3575.15621,1.03265,3575.15621,1.02863,3575.15621,1.03914
3573.22786,1.03291,3573.22786,1.02847,3573.22786,1.03918
3571.29951,1.03290,3571.29951,1.02832,3571.29951,1.03911
3569.37116,1.03178,3569.37116,1.02900,3569.37116,1.03899
3567.44282,1.03059,3567.44282,1.02985,3567.44282,1.03895
3565.51447,1.03100,3565.51447,1.02954,3565.51447,1.03889
3563.58612,1.03172,3563.58612,1.02900,3563.58612,1.03869
3561.65777,1.03132,3561.65777,1.02912,3561.65777,1.03843
3559.72943,1.03065,3559.72943,1.02933,3559.72943,1.03836
3557.80108,1.03047,3557.80108,1.02926,3557.80108,1.03851
3555.87273,1.03040,3555.87273,1.02916,3555.87273,1.03863
3553.94438,1.03008,3553.94438,1.02929,3553.94438,1.03853
3552.01604,1.03013,3552.01604,1.02931,3552.01604,1.03834
3550.08769,1.03069,3550.08769,1.02896,3550.08769,1.03820
3548.15934,1.03064,3548.15934,1.02889,3548.15934,1.03811
3546.23099,1.03031,3546.23099,1.02902,3546.23099,1.03814
3544.30265,1.03071,3544.30265,1.02886,3544.30265,1.03832
3542.37430,1.03137,3542.37430,1.02866,3542.37430,1.03855
3540.44595,1.03154,3540.44595,1.02862,3540.44595,1.03862
3538.51760,1.03129,3538.51760,1.02867,3538.51760,1.03859
3536.58926,1.03107,3536.58926,1.02873,3536.58926,1.03866
3534.66091,1.03119,3534.66091,1.02860,3534.66091,1.03877
3532.73256,1.03115,3532.73256,1.02847,3532.73256,1.03877
3530.80421,1.03069,3530.80421,1.02855,3530.80421,1.03871
