Imaginary time (a.u.), E_T (Hartee energy units), Number of walkers
1.40000000e+00, -3.03436334e+00, 1.08200000e+03
1.41000000e+00, -3.03371974e+00, 1.08000000e+03
1.42000000e+00, -3.03491772e+00, 1.08200000e+03
1.43000000e+00, -3.03334337e+00, 1.07800000e+03
1.44000000e+00, -3.03360598e+00, 1.07800000e+03
1.45000000e+00, -3.03386677e+00, 1.07800000e+03
1.46000000e+00, -3.03551530e+00, 1.08100000e+03
1.47000000e+00, -3.03439250e+00, 1.07800000e+03
1.48000000e+00, -3.03092355e+00, 1.07000000e+03
1.49000000e+00, -3.02787036e+00, 1.06300000e+03
1.50000000e+00, -3.02666228e+00, 1.06000000e+03
1.51000000e+00, -3.02401828e+00, 1.05400000e+03
1.52000000e+00, -3.02086067e+00, 1.04700000e+03
1.53000000e+00, -3.01813818e+00, 1.04100000e+03
1.54000000e+00, -3.01634456e+00, 1.03700000e+03
1.55000000e+00, -3.01646252e+00, 1.03700000e+03
1.56000000e+00, -3.01609733e+00, 1.03600000e+03
1.57000000e+00, -3.01524450e+00, 1.03400000e+03
1.58000000e+00, -3.01341299e+00, 1.03000000e+03
1.59000000e+00, -3.01156101e+00, 1.02600000e+03
1.60000000e+00, -3.01017759e+00, 1.02300000e+03
1.61000000e+00, -3.00434888e+00, 1.01100000e+03
1.62000000e+00, -3.00438285e+00, 1.01100000e+03
1.63000000e+00, -3.00342652e+00, 1.00900000e+03
1.64000000e+00, -3.00246194e+00, 1.00700000e+03
1.65000000e+00, -3.00148917e+00, 1.00500000e+03
1.66000000e+00, -3.00100652e+00, 1.00400000e+03
1.67000000e+00, -2.99902254e+00, 1.00000000e+03
1.68000000e+00, -2.99701853e+00, 9.96000000e+02
1.69000000e+00, -2.99800961e+00, 9.98000000e+02
1.70000000e+00, -2.99700068e+00, 9.96000000e+02
1.71000000e+00, -2.99447253e+00, 9.91000000e+02
1.72000000e+00, -2.99545416e+00, 9.93000000e+02
1.73000000e+00, -2.99392088e+00, 9.90000000e+02
1.74000000e+00, -2.99237438e+00, 9.87000000e+02
1.75000000e+00, -2.99030632e+00, 9.83000000e+02
1.76000000e+00, -2.99076571e+00, 9.84000000e+02
1.77000000e+00, -2.98919317e+00, 9.81000000e+02
1.78000000e+00, -2.98811858e+00, 9.79000000e+02
1.79000000e+00, -2.98805896e+00, 9.79000000e+02
1.80000000e+00, -2.98799968e+00, 9.79000000e+02
1.81000000e+00, -2.98742973e+00, 9.78000000e+02
1.82000000e+00, -2.98634474e+00, 9.76000000e+02
1.83000000e+00, -2.98422461e+00, 9.72000000e+02
1.84000000e+00, -2.98156836e+00, 9.67000000e+02
1.85000000e+00, -2.98199397e+00, 9.68000000e+02
1.86000000e+00, -2.98242233e+00, 9.69000000e+02
1.87000000e+00, -2.97975102e+00, 9.64000000e+02
1.88000000e+00, -2.97913405e+00, 9.63000000e+02
1.89000000e+00, -2.97851430e+00, 9.62000000e+02
1.90000000e+00, -2.97841181e+00, 9.62000000e+02
1.91000000e+00, -2.97726928e+00, 9.60000000e+02
1.92000000e+00, -2.97559747e+00, 9.57000000e+02
1.93000000e+00, -2.97286383e+00, 9.52000000e+02
1.94000000e+00, -2.97063113e+00, 9.48000000e+02
1.95000000e+00, -2.96784939e+00, 9.43000000e+02
1.96000000e+00, -2.96663733e+00, 9.41000000e+02
1.97000000e+00, -2.96754377e+00, 9.43000000e+02
1.98000000e+00, -2.96473665e+00, 9.38000000e+02
1.99000000e+00, -2.96404168e+00, 9.37000000e+02
2.00000000e+00, -2.96334428e+00, 9.36000000e+02
2.01000000e+00, -2.95942556e+00, 9.29000000e+02
2.02000000e+00, -2.95546061e+00, 9.22000000e+02
2.03000000e+00, -2.95417381e+00, 9.20000000e+02
2.04000000e+00, -2.95124364e+00, 9.15000000e+02
2.05000000e+00, -2.95320694e+00, 9.19000000e+02
2.06000000e+00, -2.95625473e+00, 9.25000000e+02
2.07000000e+00, -2.95335547e+00, 9.20000000e+02
2.08000000e+00, -2.95369725e+00, 9.21000000e+02
2.09000000e+00, -2.95241246e+00, 9.19000000e+02
2.10000000e+00, -2.95112106e+00, 9.17000000e+02
2.11000000e+00, -2.94818101e+00, 9.12000000e+02
2.12000000e+00, -2.94411021e+00, 9.05000000e+02
2.13000000e+00, -2.94110469e+00, 9.00000000e+02
2.14000000e+00, -2.93863019e+00, 8.96000000e+02
2.15000000e+00, -2.93725630e+00, 8.94000000e+02
2.16000000e+00, -2.93699572e+00, 8.94000000e+02
2.17000000e+00, -2.93896849e+00, 8.98000000e+02
2.18000000e+00, -2.93816349e+00, 8.97000000e+02
2.19000000e+00, -2.93567954e+00, 8.93000000e+02
2.20000000e+00, -2.93430009e+00, 8.91000000e+02
2.21000000e+00, -2.93291420e+00, 8.89000000e+02
2.22000000e+00, -2.93095786e+00, 8.86000000e+02
2.23000000e+00, -2.93068525e+00, 8.86000000e+02
2.24000000e+00, -2.92928392e+00, 8.84000000e+02
2.25000000e+00, -2.92446322e+00, 8.76000000e+02
2.26000000e+00, -2.91958183e+00, 8.68000000e+02
2.27000000e+00, -2.91463897e+00, 8.60000000e+02
2.28000000e+00, -2.91139130e+00, 8.55000000e+02
2.29000000e+00, -2.90634738e+00, 8.47000000e+02
2.30000000e+00, -2.90657478e+00, 8.48000000e+02
2.31000000e+00, -2.90621636e+00, 8.48000000e+02
2.32000000e+00, -2.90408748e+00, 8.45000000e+02
2.33000000e+00, -2.90372451e+00, 8.45000000e+02
2.34000000e+00, -2.90454513e+00, 8.47000000e+02
2.35000000e+00, -2.90241622e+00, 8.44000000e+02
2.36000000e+00, -2.89848816e+00, 8.38000000e+02
2.37000000e+00, -2.89751670e+00, 8.37000000e+02
2.38000000e+00, -2.89833464e+00, 8.39000000e+02
2.39000000e+00, -2.89796585e+00, 8.39000000e+02
2.40000000e+00, -2.89340947e+00, 8.32000000e+02
2.41000000e+00, -2.89182292e+00, 8.30000000e+02
2.42000000e+00, -2.88902089e+00, 8.26000000e+02
2.43000000e+00, -2.88802023e+00, 8.25000000e+02
2.44000000e+00, -2.88458488e+00, 8.20000000e+02
2.45000000e+00, -2.88295722e+00, 8.18000000e+02
2.46000000e+00, -2.87763319e+00, 8.10000000e+02
2.47000000e+00, -2.87720489e+00, 8.10000000e+02
2.48000000e+00, -2.87677833e+00, 8.10000000e+02
2.49000000e+00, -2.87263600e+00, 8.04000000e+02
2.50000000e+00, -2.87032878e+00, 8.01000000e+02
2.51000000e+00, -2.86612557e+00, 7.95000000e+02
2.52000000e+00, -2.86629711e+00, 7.96000000e+02
2.53000000e+00, -2.86395644e+00, 7.93000000e+02
2.54000000e+00, -2.86475752e+00, 7.95000000e+02
2.55000000e+00, -2.86681533e+00, 7.99000000e+02
2.56000000e+00, -2.87011601e+00, 8.05000000e+02
2.57000000e+00, -2.87155224e+00, 8.08000000e+02
2.58000000e+00, -2.86927758e+00, 8.05000000e+02
2.59000000e+00, -2.87195319e+00, 8.10000000e+02
2.60000000e+00, -2.87031030e+00, 8.08000000e+02
2.61000000e+00, -2.86429976e+00, 7.99000000e+02
2.62000000e+00, -2.86324371e+00, 7.98000000e+02
2.63000000e+00, -2.86406465e+00, 8.00000000e+02
2.64000000e+00, -2.86488886e+00, 8.02000000e+02
2.65000000e+00, -2.86134401e+00, 7.97000000e+02
2.66000000e+00, -2.86154285e+00, 7.98000000e+02
2.67000000e+00, -2.85608088e+00, 7.90000000e+02
2.68000000e+00, -2.86130345e+00, 7.99000000e+02
2.69000000e+00, -2.86462547e+00, 8.05000000e+02
2.70000000e+00, -2.86297850e+00, 8.03000000e+02
2.71000000e+00, -2.86194915e+00, 8.02000000e+02
2.72000000e+00, -2.86154206e+00, 8.02000000e+02
2.73000000e+00, -2.85800949e+00, 7.97000000e+02
2.74000000e+00, -2.85822088e+00, 7.98000000e+02
2.75000000e+00, -2.85843529e+00, 7.99000000e+02
2.76000000e+00, -2.86238870e+00, 8.06000000e+02
2.77000000e+00, -2.86137726e+00, 8.05000000e+02
2.78000000e+00, -2.86098572e+00, 8.05000000e+02
2.79000000e+00, -2.86183628e+00, 8.07000000e+02
2.80000000e+00, -2.86083203e+00, 8.06000000e+02
2.81000000e+00, -2.86477059e+00, 8.13000000e+02
2.82000000e+00, -2.86807871e+00, 8.19000000e+02
2.83000000e+00, -2.87198002e+00, 8.26000000e+02
2.84000000e+00, -2.87285148e+00, 8.28000000e+02
2.85000000e+00, -2.87672847e+00, 8.35000000e+02
2.86000000e+00, -2.87820530e+00, 8.38000000e+02
2.87000000e+00, -2.88027728e+00, 8.42000000e+02
2.88000000e+00, -2.88116391e+00, 8.44000000e+02
2.89000000e+00, -2.88146152e+00, 8.45000000e+02
2.90000000e+00, -2.88529509e+00, 8.52000000e+02
2.91000000e+00, -2.88794463e+00, 8.57000000e+02
2.92000000e+00, -2.88826258e+00, 8.58000000e+02
2.93000000e+00, -2.88800033e+00, 8.58000000e+02
2.94000000e+00, -2.89122331e+00, 8.64000000e+02
2.95000000e+00, -2.89270781e+00, 8.67000000e+02
2.96000000e+00, -2.89073281e+00, 8.64000000e+02
2.97000000e+00, -2.89509421e+00, 8.72000000e+02
2.98000000e+00, -2.89772241e+00, 8.77000000e+02
2.99000000e+00, -2.89636064e+00, 8.75000000e+02
3.00000000e+00, -2.89955422e+00, 8.81000000e+02
3.01000000e+00, -2.90273673e+00, 8.87000000e+02
3.02000000e+00, -2.90027766e+00, 8.83000000e+02
3.03000000e+00, -2.90063758e+00, 8.84000000e+02
3.04000000e+00, -2.90043411e+00, 8.84000000e+02
3.05000000e+00, -2.90136126e+00, 8.86000000e+02
3.06000000e+00, -2.90285298e+00, 8.89000000e+02
3.07000000e+00, -2.90546500e+00, 8.94000000e+02
3.08000000e+00, -2.90528251e+00, 8.94000000e+02
3.09000000e+00, -2.90955498e+00, 9.02000000e+02
3.10000000e+00, -2.90716586e+00, 8.98000000e+02
3.11000000e+00, -2.91252949e+00, 9.08000000e+02
