All days with start 2022-01-01,theoretical curve (leap day corrected) (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
457.0,53.49251791499103,52.27369715223243,,,
458.0,53.096414232548526,51.88928755073196,,,
459.0,52.701666492594924,51.506541267895734,,,
460.0,52.30839150733733,51.125567078846,,,
461.0,51.91670565317102,50.746473255082265,,,
462.0,51.52672483624195,50.36936753371099,,,
463.0,51.13856445814794,49.99435708682706,,,
464.0,50.75233938178986,49.62154849105583,,,
465.0,50.36816389738153,49.25104769726445,,,
466.0,49.98615168862957,48.88296000045111,,,
467.0,49.606415799092495,48.51739000982038,,,
468.0,49.22906859872947,48.15444161905379,,,
469.0,48.85422175064792,47.794217976783585,,,
470.0,48.481986178061,47.436821457278235,,,
471.0,48.11247203146327,47.08235363134807,,,
472.0,47.7457886560356,46.73091523747915,,,
473.0,47.38204455928821,46.38260615320392,,,
474.0,47.02134737895133,46.03752536671612,,,
475.0,46.66380385112382,45.69577094873887,,,
476.0,46.3095197786877,45.357440024653286,,,
477.0,45.95860000000002,45.02262874689579,,,
478.0,45.61114835786898,44.6914322676319,,,
479.0,45.2672676688255,44.363944711714396,,,
480.0,44.92705969269795,44.04025914993325,,,
481.0,44.59062510249986,43.72046757256547,,,
482.0,44.25806345463924,43.404660863231506,,,
483.0,43.92947315945803,43.09292877306665,,,
484.0,43.60495145211115,42.785359895214015,,,
485.0,43.28459436379282,42.482041639646695,,,
486.0,42.96849669331953,42.18306020832615,,,
487.0,42.656751979077455,41.88850057070394,,,
488.0,42.349452471343106,41.598446439573664,,,
489.0,42.046689104984715,41.3129802472802,,,
490.0,41.74855147255346,41.03218312229258,,,
491.0,41.45512779777131,40.75613486614765,,,
492.0,41.16650490942433,40.48491393077074,,,
493.0,40.88276821566876,40.21859739617992,,,
494.0,40.604001678757115,39.95726094858014,,,
495.0,40.3302877901926,39.70097885885343,,,
496.0,40.061707546318445,39.4498239614515,,,
497.0,39.79834042434991,39.203867633696305,,,
498.0,39.540264358855495,38.96317977549495,,,
499.0,39.287555718695074,38.72782878947437,,,
500.0,39.04028928442095,38.49788156154155,,,
501.0,38.79853822614915,38.27340344187478,,,
502.0,38.562374081907194,38.05445822635136,,,
503.0,38.3318667364649,37.84110813841713,,,
504.0,38.107084400654315,37.63341381140263,,,
505.0,37.88809359118499,37.43143427129147,,,
506.0,37.674959110960664,37.23522691994526,,,
507.0,37.46774402990302,37.04484751879025,,,
508.0,37.26650966628835,36.860350172970136,,,
509.0,37.07131556860236,36.68178731596956,,,
510.0,36.88221949791899,36.509209694712716,,,
511.0,36.69927741080773,36.34266635514123,,,
512.0,36.522543442775486,36.18220462827551,,,
513.0,36.35206989224672,36.02787011676338,,,
514.0,36.187907205087726,35.87970668192007,,,
515.0,36.030103959678755,35.73775643126288,,,
516.0,35.87870685253891,35.602059706544466,,,
517.0,35.73376068450797,35.47265507228781,,,
518.0,35.59530834748898,35.34957930482631,,,
519.0,35.46339081175598,35.2328673818521,,,
520.0,35.33804711383013,35.12255247247555,,,
521.0,35.219314344928236,35.01866592779862,,,
522.0,35.10722763998682,34.921237272005115,,,
523.0,35.00182016726521,34.83029419396992,,,
524.0,34.9031231185304,34.745862539389975,,,
525.0,34.811165699827015,34.667966303439,,,
526.0,34.7259751228347,34.59662762394815,,,
527.0,34.64757659681574,34.53186677511455,,,
528.0,34.57599332115534,34.473702161739396,,,
529.0,34.5112464784964,34.422150313997406,,,
530.0,34.45335522847135,34.37722588273901,,,
531.0,34.40233670203246,34.338941635326606,,,
532.0,34.3582059963825,34.30730845200614,,,
533.0,34.32097617050727,34.28233532281499,,,
534.0,34.29065824131122,34.26402934502696,,,
535.0,34.26726118035738,34.25239572113537,,,
536.0,34.25079191121248,34.247437757374456,,,
537.0,34.24125530739825,34.24915686277974,,,
538.0,34.23865419094917,34.25755254878763,,,
539.0,34.24298933157746,34.272622429374245,,,
540.0,34.25425944644525,34.294362221733515,,,
541.0,34.27246120054424,34.32276574749434,,,
542.0,34.29758920768256,34.35782493447647,,,
543.0,34.32963603207861,34.399529818984576,,,
544.0,34.36859219056148,34.44786854863992,,,
545.0,34.41444615537712,34.5028273857487,,,
546.0,34.467184357599635,34.56439071120636,,,
547.0,34.52679119114651,34.632541028936345,,,
548.0,34.5932490173967,34.70725897086254,,,
549.0,34.666538170410234,34.78852330241358,,,
550.0,34.74663696274761,34.87631092855759,,,
551.0,34.833521691887526,34.97059690036574,,,
552.0,34.92716664724077,35.0713544221027,,,
553.0,35.02754411775848,35.17855485884175,,,
554.0,35.13462440013217,35.29216774460289,,,
555.0,35.24837580758356,35.41216079101105,,,
556.0,35.3687646792411,35.53849989647235,,,
557.0,35.49575539010078,35.671149155865706,,,
558.0,35.62931036156819,35.81007087074684,,,
559.0,35.76939007257856,35.95522556006217,,,
560.0,35.91595307129175,36.10657197136902,,,
561.0,36.068955987358464,36.264067092559586,,,
562.0,36.22835354475427,36.42766616408473,,,
563.0,36.39409857517745,36.59732269167445,,,
564.0,36.56614203200694,36.7729884595515,,,
565.0,36.744433004815946,36.954613544134034,,,
566.0,36.9289187344372,37.14214632822379,,,
567.0,37.119544628575206,37.335533515675394,,,
568.0,37.316254277960994,37.53472014654309,,,
569.0,37.51898947304457,37.73964961270005,,,
570.0,37.72769022122003,37.950263673926244,,,
571.0,37.94229476457831,38.16650247446009,,,
572.0,38.162739598182355,38.388304560009225,,,
573.0,38.38895948885933,38.61560689521566,,,
574.0,38.62088749450399,38.848344881570114,,,
575.0,38.85845498388814,39.08645237577074,,,
576.0,39.101591656969575,39.32986170852082,,,
577.0,39.35022556569507,39.5785037037601,,,
578.0,39.604283135290856,39.83230769832439,,,
579.0,39.86368918603469,40.09120156202781,,,
580.0,40.12836695550273,40.35511171816191,,,
581.0,40.39823812128473,40.62396316440582,,,
582.0,40.67322282416096,40.89767949414184,,,
583.0,40.9532396917337,41.176182918169744,,,
584.0,41.23820586250683,41.45939428681429,,,
585.0,41.528037010405754,41.747233112419224,,,
586.0,41.8226473697309,42.03961759222162,,,
587.0,42.12194976053706,42.336464631599924,,,
588.0,42.42585561443154,42.637689867689076,,,
589.0,42.734275000782745,42.94320769335628,,,
590.0,43.04711665333229,43.25293128153011,,,
591.0,43.36428799720207,43.56677260987654,,,
592.0,43.68569517628859,43.88464248581451,,,
593.0,44.01124308103666,44.206450571864174,,,
594.0,44.340835376583655,44.53210541132054,,,
595.0,44.674374531266714,44.861514454244954,,,
596.0,45.01176184548384,45.194584083767694,,,
597.0,45.35289748090075,45.53121964269342,,,
598.0,45.69768048999452,45.87132546040242,,,
599.0,46.046008845925755,46.21480488003986,,,
600.0,46.39777947272991,46.561560285985344,,,
601.0,46.752888275819,46.911493131594945,,,
602.0,47.111230172785106,47.264503967207645,,,
603.0,47.47269912449569,47.6204924684088,,,
604.0,47.83718816647249,47.979357464541856,,,
605.0,48.20458944054391,48.3409969674607,,,
606.0,48.574794226762094,48.70530820051431,,,
607.0,48.9476929755747,49.07218762775557,,,
608.0,49.32317534024264,49.44153098336577,,,
609.0,49.70113020949323,49.81323330128653,,,
610.0,50.08144574039998,50.187188945050885,,,
611.0,50.46400939147864,50.563291637804745,,,
612.0,50.84870795598993,50.941434492510375,,,
613.0,51.235427595439475,51.32151004232331,,,
614.0,51.62405387326416,51.70341027113409,,,
615.0,52.014471788696035,52.087026644266,,,
616.0,52.40656581079269,52.472250139320295,,,
617.0,52.80021991262485,52.858971277159824,,,
618.0,53.19531760561041,53.24708015302286,,,
619.0,53.59174197398555,53.63646646775742,,,
620.0,53.98937570940185,54.027019559168025,,,
621.0,54.3881011456396,54.41862843346539,,,
622.0,54.787800293427445,54.81118179681056,,,
623.0,55.188354875356914,55.20456808694419,,,
624.0,55.58964636088296,55.59867550489202,,,
625.0,55.99155600139885,55.993392046737966,,,
626.0,56.39396486537589,56.38860553545506,,,
627.0,56.79675387355702,56.78420365278584,,,
628.0,57.19980383419455,57.180073971162756,,,
629.0,57.60299547832059,57.57610398565969,,,
630.0,58.00620949504095,57.972181145965514,,,
631.0,58.40932656684104,58.36819288837029,,,
632.0,58.8122274048937,58.76402666775575,,,
633.0,59.214792784358984,59.159569989580035,,,
634.0,59.616903579664324,59.55471044184828,,,
635.0,60.01844079975622,59.949335727059704,,,
636.0,60.41928562331101,60.343333694122165,,,
637.0,60.81931943389651,60.73659237022513,,,
638.0,61.21842385507217,61.128999992661775,,,
639.0,61.616480785418815,61.52044504059182,,,
640.0,62.013372433486644,61.91081626673514,,,
641.0,62.408981352651665,62.300002728987955,,,
642.0,62.80319047586988,62.6878938219521,,,
643.0,63.195883150319595,63.07437930836875,,,
644.0,63.58694317192054,63.45934935044744,,,
645.0,63.97625481972081,63.84269454108146,,,
646.0,64.36370289014039,64.22430593494116,,,
647.0,64.7491727310619,64.60407507943567,,,
648.0,65.13255027575765,64.98189404553484,,,
649.0,65.51372207664426,65.35765545844218,,,
650.0,65.89257533885336,65.73125252811047,,,
651.0,66.26899795360966,66.10257907959111,,,
652.0,66.64287853140519,66.47152958320854,,,
653.0,67.0141064349619,66.83799918455156,,,
654.0,67.38257181197069,67.20188373427254,,,
655.0,67.74816562759838,67.56307981768619,,,
656.0,68.11077969675314,67.92148478415974,,,
657.0,68.47030671609801,68.27699677628587,,,
658.0,68.82664029580374,68.62951475883021,,,
659.0,69.17967499103119,68.9789385474451,,,
660.0,69.52930633313429,69.32516883714182,,,
661.0,69.87543086057389,69.66810723051252,,,
662.0,70.21794614953376,70.00765626569455,,,
663.0,70.55675084422924,70.3437194440687,,,
664.0,70.8917446869004,70.67620125768373,,,
665.0,71.22282854747966,71.00500721639952,,,
666.0,71.54990445292603,71.33004387474061,,,
667.0,71.87287561621693,71.65121885845332,,,
668.0,72.19164646498906,71.96844089075803,,,
669.0,72.50612266981977,72.28161981828973,,,
670.0,72.81621117214056,72.5906666367193,,,
671.0,73.12182021177475,72.89549351604826,,,
672.0,73.42285935409076,73.19601382556966,,,
673.0,73.71923951676315,73.4921421584883,,,
674.0,74.01087299613343,73.78379435619291,,,
675.0,74.29767349316313,74.0708875321739,,,
676.0,74.5795561389711,74.35334009557928,,,
677.0,74.85643751994725,74.63107177440256,,,
678.0,75.1282357024364,74.90400363829568,,,
679.0,75.39487025698358,75.17205812100082,,,
680.0,75.65626228213435,75.43515904239445,,,
681.0,75.91233442778304,75.69323163013732,,,
682.0,76.16301091806197,75.94620254092467,,,
683.0,76.40821757376467,76.19399988133004,,,
684.0,76.64788183429675,76.43655322823712,,,
685.0,76.88193277914763,76.67379364885375,,,
686.0,77.11030114887726,76.90565372030244,,,
687.0,77.33291936561096,77.1320675487816,,,
688.0,77.54972155303672,77.3529707882924,,,
689.0,77.76064355589935,77.56830065892562,,,
690.0,77.96562295898478,77.77799596470356,,,
691.0,78.16459910558987,77.98199711097166,,,
692.0,78.35751311547155,78.18024612133506,,,
693.0,78.54430790227063,78.37268665413531,,,
694.0,78.72492819040448,78.5592640184625,,,
695.0,78.89932053142394,78.73992518969817,,,
696.0,79.06743331982958,78.91461882458474,,,
697.0,79.22921680834263,79.08329527581711,,,
698.0,79.38462312262602,79.24590660615218,,,
699.0,79.53360627545109,79.4024066020325,,,
700.0,79.67612218030601,79.55275078671997,,,
701.0,79.81212866444169,79.69689643293597,,,
702.0,79.94158548135134,79.83480257500429,,,
703.0,80.06445432268004,79.96643002049348,,,
704.0,80.18069882956087,80.09174136135515,,,
705.0,80.29028460337412,80.21070098455517,,,
706.0,80.39317921592618,80.3232750821949,,,
707.0,80.48935221904583,80.4294316611191,,,
708.0,80.57877515359414,80.52914055200841,,,
709.0,80.6614215578861,80.62237341795327,,,
710.0,80.73726697552105,80.70910376250723,,,
711.0,80.80628896261966,80.7893069372171,,,
712.0,80.8684670944655,80.86296014862803,,,
713.0,80.923782971549,80.93004246476121,,,
714.0,80.97222022501218,80.99053482106274,,,
715.0,81.01376452149248,81.0444200258217,,,
716.0,81.04840356736416,81.09168276505595,,,
717.0,81.07612711237627,81.13230960686437,,,
718.0,81.09692695268582,81.16628900524405,,,
719.0,81.11079693328541,81.19361130337174,,,
720.0,81.11773294982466,81.21426873634819,,,
721.0,81.11773294982466,81.22825543340497,,,
722.0,81.11079693328543,81.23556741957287,,,
723.0,81.09692695268582,81.23620261681167,,,
724.0,81.07612711237627,81.23016084460053,,,
725.0,81.04840356736416,81.2174438199895,,,
726.0,81.01376452149248,81.19805515711141,,,
727.0,80.97222022501218,81.17200036615476,,,
728.0,80.923782971549,81.1392868517978,,,
729.0,80.8684670944655,81.09992391110413,,,
730.0,80.80628896261967,81.0539227308804,,,
