Temperature (K), Average total energy (eV), Heat capacity (eV/K), Average of absolute value of order parameter P, Average order parameter r, Acceptance ratio
1.05000000e+03, -2.28387374e+03, 1.33232083e-02, 3.66117100e-02, 1.26586467e-01, 8.28796600e-01
1.05500000e+03, -2.28381232e+03, 1.27124992e-02, 3.53808252e-02, 1.25799011e-01, 8.30079100e-01
1.06000000e+03, -2.28372499e+03, 1.17486748e-02, 3.59900980e-02, 1.24679401e-01, 8.31081400e-01
1.06500000e+03, -2.28366932e+03, 1.27790317e-02, 3.66360986e-02, 1.23965616e-01, 8.32074900e-01
1.07000000e+03, -2.28360932e+03, 1.20240921e-02, 3.48875754e-02, 1.23196404e-01, 8.32840200e-01
1.07500000e+03, -2.28355368e+03, 1.17950934e-02, 3.58606708e-02, 1.22483025e-01, 8.33771700e-01
1.08000000e+03, -2.28350385e+03, 1.22166206e-02, 3.51997882e-02, 1.21844291e-01, 8.34484900e-01
1.08500000e+03, -2.28345785e+03, 1.18130216e-02, 3.48182096e-02, 1.21254438e-01, 8.35469900e-01
1.09000000e+03, -2.28339625e+03, 1.13148852e-02, 3.47039788e-02, 1.20464761e-01, 8.36581700e-01
1.09500000e+03, -2.28334024e+03, 1.11547831e-02, 3.54805126e-02, 1.19746702e-01, 8.37227800e-01
1.10000000e+03, -2.28327710e+03, 1.13036301e-02, 3.43464576e-02, 1.18937155e-01, 8.38501300e-01
1.10500000e+03, -2.28321429e+03, 1.09809243e-02, 3.43189154e-02, 1.18131920e-01, 8.39144500e-01
1.11000000e+03, -2.28315121e+03, 1.09857136e-02, 3.36729088e-02, 1.17323184e-01, 8.40120600e-01
1.11500000e+03, -2.28312417e+03, 1.08761082e-02, 3.39462786e-02, 1.16976576e-01, 8.40583600e-01
1.12000000e+03, -2.28307313e+03, 1.07092455e-02, 3.38067472e-02, 1.16322198e-01, 8.41631500e-01
1.12500000e+03, -2.28302045e+03, 1.02882649e-02, 3.37221886e-02, 1.15646835e-01, 8.42117800e-01
1.13000000e+03, -2.28295227e+03, 1.01602947e-02, 3.34407210e-02, 1.14772635e-01, 8.43284000e-01
1.13500000e+03, -2.28290521e+03, 1.00271392e-02, 3.37546972e-02, 1.14169363e-01, 8.43839600e-01
1.14000000e+03, -2.28287859e+03, 9.92048597e-03, 3.30994834e-02, 1.13828134e-01, 8.44730300e-01
1.14500000e+03, -2.28279319e+03, 9.67701415e-03, 3.29247036e-02, 1.12733267e-01, 8.45840600e-01
1.15000000e+03, -2.28274550e+03, 9.74502417e-03, 3.32496554e-02, 1.12121780e-01, 8.46318800e-01
