All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
399.0,73.63418103673321,71.25731977165493,590.0,43.75,0.25
400.0,73.3402135521622,70.9314457903837,593.0,44.25,0.25
401.0,73.04181311003269,70.60182347263907,594.0,44.5,0.25
402.0,72.73906451468034,70.26854649448414,598.0,46.0,0.25
403.0,72.43205380617032,69.93170957060767,599.0,46.25,0.25
404.0,72.12086823584508,69.59140842740692,624.0,55.25,0.25
405.0,71.80559624152784,69.24773977578295,625.0,56.0,0.25
406.0,71.48632742238885,68.90080128365616,646.0,64.25,0.25
407.0,71.16315251348166,68.55069154820987,673.0,73.25,0.25
408.0,70.8361633599565,68.19751006786967,687.0,77.0,0.25
409.0,70.50545289095827,67.8413572140269,688.0,77.25,0.25
410.0,70.17111509321637,67.48233420251375,708.0,80.5,0.25
411.0,69.83324498433402,67.12054306483863,709.0,80.5,0.25
412.0,69.4919385857846,66.75608661918953,721.0,81.0,0.25
413.0,69.1472928956227,66.389068441214,,,
414.0,68.7994058609176,66.01959283458368,,,
415.0,68.44837634991708,65.64776480135204,,,
416.0,68.09430412394943,65.27369001211366,,,
417.0,67.73728980907161,64.89747477597348,,,
418.0,67.37743486747168,64.51922601033452,,,
419.0,67.01484156863366,64.13905121051286,,,
420.0,66.64961296027285,63.75705841918833,,,
421.0,66.2818528390501,63.373356195699586,,,
422.0,65.9116657210731,62.988053585192425,,,
423.0,65.53915681219335,62.60126008763002,,,
424.0,65.16443197810696,62.21308562667387,,,
425.0,64.78759771426807,61.82364051844441,,,
426.0,64.4087611156232,61.433035440169974,,,
427.0,64.02802984617519,61.041381398733265,,,
428.0,63.64551210838558,60.64878969912402,,,
429.0,63.261316612423784,60.25537191280705,,,
430.0,62.875552545272065,59.861239846014485,,,
431.0,62.48832953969501,59.466505507971334,,,
432.0,62.09975764308228,59.07128107906335,,,
433.0,61.7099472861735,58.675678878956234,,,
434.0,61.319009251674316,58.279811334675294,,,
435.0,60.927054642772255,57.883790948654564,,,
436.0,60.534194851561665,57.48773026676447,,,
437.0,60.14054152738647,57.09174184632724,,,
438.0,59.74620654510981,56.69593822412894,,,
