Time (ps), Potential energy per cell (eV), Kinetic energy per cell (eV), Total energy per cell (eV), Temperature (C), Pressure (GPa), Volume per cell (Å^3)
1.57000000, 0.42490085, 0.38606357, 0.81096442, 473.52953053, 3.64014482, 65.45082700
1.58000000, 0.43102846, 0.38013101, 0.81115947, 462.05546114, 3.69895105, 65.45082700
1.59000000, 0.42191654, 0.38968351, 0.81160005, 480.53079107, 3.66109168, 65.45082700
1.60000000, 0.40465554, 0.40648293, 0.81113847, 513.02229502, 3.55491725, 65.45082700
1.61000000, 0.39406322, 0.41611891, 0.81018213, 531.65908703, 3.48852293, 65.45082700
1.62000000, 0.40424988, 0.40594795, 0.81019783, 511.98760132, 3.57147885, 65.45082700
1.63000000, 0.42719967, 0.38401465, 0.81121432, 469.56674885, 3.72493362, 65.45082700
1.64000000, 0.44038855, 0.37311194, 0.81350050, 448.47998511, 3.80914949, 65.45082700
1.65000000, 0.42054854, 0.39296447, 0.81351300, 486.87644495, 3.70141818, 65.45082700
1.66000000, 0.38737737, 0.42273325, 0.81011062, 544.45177446, 3.49794656, 65.45082700
1.67000000, 0.39081613, 0.41911778, 0.80993391, 537.45915058, 3.48493235, 65.45082700
1.68000000, 0.41892742, 0.39377027, 0.81269769, 488.43493554, 3.63655351, 65.45082700
1.69000000, 0.42366407, 0.38888989, 0.81255396, 478.99585732, 3.64763266, 65.45082700
1.70000000, 0.40811546, 0.40304233, 0.81115779, 506.36788445, 3.53594339, 65.45082700
1.71000000, 0.39919049, 0.41111647, 0.81030696, 521.98394126, 3.45353067, 65.45082700
1.72000000, 0.40695086, 0.40305147, 0.81000233, 506.38555125, 3.52677684, 65.45082700
1.73000000, 0.42607108, 0.38486513, 0.81093620, 471.21163753, 3.68329522, 65.45082700
1.74000000, 0.43657338, 0.37610136, 0.81267473, 454.26176678, 3.77024424, 65.45082700
1.75000000, 0.42371833, 0.38831491, 0.81203324, 477.88380570, 3.71733862, 65.45082700
1.76000000, 0.41050183, 0.40060412, 0.81110595, 501.65217735, 3.67959066, 65.45082700
1.77000000, 0.41411490, 0.39880930, 0.81292420, 498.18084959, 3.73180234, 65.45082700
1.78000000, 0.41205912, 0.40126883, 0.81332796, 502.93778824, 3.72131192, 65.45082700
1.79000000, 0.39786026, 0.41401215, 0.81187241, 527.58443342, 3.59397808, 65.45082700
1.80000000, 0.38955950, 0.42122675, 0.81078625, 541.53807518, 3.50960073, 65.45082700
1.81000000, 0.39583366, 0.41466911, 0.81050277, 528.85505083, 3.55496191, 65.45082700
1.82000000, 0.40794105, 0.40219834, 0.81013939, 504.73553398, 3.62085078, 65.45082700
1.83000000, 0.41781599, 0.39290417, 0.81072016, 486.75982342, 3.68262306, 65.45082700
1.84000000, 0.41557892, 0.39586135, 0.81144027, 492.47924958, 3.64893182, 65.45082700
1.85000000, 0.40086834, 0.40854302, 0.80941135, 517.00667248, 3.55229462, 65.45082700
1.86000000, 0.40400043, 0.40525478, 0.80925520, 510.64694105, 3.54717530, 65.45082700
