Time (ps), Potential energy (eV), Kinetic energy (eV),Total energy (eV), Temperature (K)
0.50000000, -835.59457474, 24.12578014, -811.46879460, 729.08347086
0.51000000, -836.52096601, 24.96912133, -811.55184468, 754.56932530
0.52000000, -836.33876912, 24.82223337, -811.51653575, 750.13035659
0.53000000, -835.45159647, 24.01331261, -811.43828386, 725.68469096
0.54000000, -835.13050633, 23.69941348, -811.43109284, 716.19862826
0.55000000, -835.51245102, 24.00354529, -811.50890573, 725.38952162
0.56000000, -835.50313870, 23.96207277, -811.54106593, 724.13621797
0.57000000, -834.82015255, 23.37901162, -811.44114092, 706.51605218
0.58000000, -834.74101987, 23.27358127, -811.46743860, 703.32993651
0.59000000, -835.04038369, 23.53876475, -811.50161895, 711.34380744
0.60000000, -835.38138802, 23.94567662, -811.43571140, 723.64072476
0.61000000, -836.40768331, 24.86566246, -811.54202085, 751.44278817
0.62000000, -836.73628441, 25.20971304, -811.52657137, 761.84003080
0.63000000, -836.18535026, 24.71849423, -811.46685603, 746.99534955
0.64000000, -835.72689428, 24.28074299, -811.44615129, 733.76646367
0.65000000, -835.57002168, 24.05283986, -811.51718182, 726.87920833
0.66000000, -834.67759640, 23.13114095, -811.54645545, 699.02537593
0.67000000, -832.83459233, 21.46153646, -811.37305587, 648.56976255
0.68000000, -832.51875309, 21.24261603, -811.27613706, 641.95396533
0.69000000, -835.07812374, 23.64415184, -811.43397190, 714.52861601
0.70000000, -838.13875439, 26.50053601, -811.63821839, 800.84882898
0.71000000, -838.54620828, 26.86755693, -811.67865134, 811.94023782
0.72000000, -835.84070987, 24.38379265, -811.45691722, 736.88063455
0.73000000, -833.25507903, 21.91795037, -811.33712866, 662.36263617
0.74000000, -832.98630767, 21.57854066, -811.40776701, 652.10564094
0.75000000, -834.34464962, 22.87651927, -811.46813035, 691.33068350
0.76000000, -836.17486581, 24.62483778, -811.55002803, 744.16504243
0.77000000, -837.09222661, 25.53013781, -811.56208880, 771.52329903
0.78000000, -836.67023143, 25.15262221, -811.51760923, 760.11474009
0.79000000, -835.66383328, 24.18982235, -811.47401094, 731.01883274
0.80000000, -834.96511229, 23.51874409, -811.44636820, 710.73878135
0.81000000, -835.01275357, 23.53069307, -811.48206050, 711.09988063
0.82000000, -835.43622538, 23.94627939, -811.48994599, 723.65894038
0.83000000, -835.89957233, 24.37382300, -811.52574933, 736.57935074
0.84000000, -835.96068707, 24.45447235, -811.50621472, 739.01658202
0.85000000, -835.76582125, 24.30638955, -811.45943170, 734.54150512
0.86000000, -835.81817988, 24.33693104, -811.48124884, 735.46447212
0.87000000, -835.88211871, 24.41847517, -811.46364354, 737.92874372
0.88000000, -835.89010108, 24.35618746, -811.53391362, 736.04640307
0.89000000, -834.96633159, 23.44371738, -811.52261421, 708.47146664
0.90000000, -833.46062358, 22.11578496, -811.34483862, 668.34121694
0.91000000, -833.73489665, 22.38729748, -811.34759918, 676.54635227
0.92000000, -835.63212749, 24.06957484, -811.56255265, 727.38494114
0.93000000, -836.32353387, 24.74562349, -811.57791037, 747.81519861
0.94000000, -835.52437624, 24.05628376, -811.46809247, 726.98328352
0.95000000, -835.04565263, 23.64428111, -811.40137152, 714.53252238
0.96000000, -835.88168858, 24.36093270, -811.52075588, 736.18980470
0.97000000, -836.30967968, 24.67188041, -811.63779927, 745.58667531
0.98000000, -834.81055230, 23.33429087, -811.47626143, 705.16458672
0.99000000, -833.82639582, 22.50375326, -811.32264256, 680.06565762
