Reference material Strain (%),Reference material calculated tensile stress (MPa)
14.15282,487.471074380165
14.2536,487.813223140496
14.35336,488.159917355372
14.4536,488.588016528926
14.55451,488.863223140496
14.65392,489.181818181818
14.75362,489.581404958678
14.85394,489.95
14.95418,490.194628099174
15.05394,490.525619834711
15.15375,490.871487603306
15.25356,491.120247933884
15.35391,491.462396694215
15.45464,491.766115702479
15.55485,492.020661157025
15.65595,492.338842975207
15.75626,492.535950413223
15.85707,492.864462809917
15.95747,493.151239669421
16.06194,493.312396694215
16.16404,493.455785123967
16.26357,493.75867768595
16.36267,494.05826446281
16.46081,494.348347107438
16.55988,494.677685950413
16.65856,494.957851239669
16.75731,495.20826446281
16.85632,495.453305785124
16.95659,495.664876033058
17.05603,495.887190082645
17.15543,496.063636363636
17.25483,496.286363636364
17.35522,496.516115702479
17.45589,496.642561983471
17.55565,496.813223140496
17.65609,496.996280991735
17.75529,497.165289256198
17.85571,497.338842975207
17.95568,497.530165289256
18.0556,497.737190082645
18.15535,497.859090909091
18.25536,497.973553719008
18.35534,498.157851239669
18.45502,498.351239669422
18.55428,498.454545454545
18.6542,498.617355371901
18.75398,498.716115702479
18.85356,498.957024793388
18.95186,499.05826446281
19.05163,499.37520661157
19.15158,499.395041322314
19.25099,499.451652892562
19.35202,499.629338842975
19.4532,499.717355371901
19.55375,499.717355371901
19.65428,499.763636363636
19.75427,499.951239669421
19.8567,500.010330578512
19.95756,499.982644628099
20.05671,500.171487603306
20.15564,500.36652892562
20.25485,500.523553719008
20.35403,500.727272727273
20.45386,500.826446280992
20.55408,500.9
20.65357,501.01694214876
20.7536,501.085950413223
20.85352,501.173553719008
20.95258,501.302479338843
21.0528,501.403305785124
21.15384,501.494628099174
21.25357,501.470661157025
21.35328,501.561983471074
21.45269,501.666115702479
21.5524,501.729752066116
21.65369,501.888016528926
21.75475,501.888842975207
21.85464,501.836363636364
21.95451,501.95826446281
22.05432,501.997520661157
22.15427,502.11652892562
22.25505,502.136363636364
22.35549,502.166115702479
22.4558,502.207851239669
22.55612,502.200826446281
22.65657,502.317355371901
22.75723,502.271487603306
22.85705,502.315702479339
22.95691,502.290082644628
23.05692,502.414049586777
23.15567,502.37520661157
23.25428,502.574380165289
23.35448,502.597933884298
23.4573,502.562396694215
23.55842,502.273140495868
23.65807,502.268181818182
23.75713,502.312396694215
23.85773,502.464049586777
23.95802,502.32479338843
24.05679,502.282231404959
24.15601,502.350826446281
24.2555,502.351239669421
24.35683,502.45
24.45757,502.259917355372
24.5569,502.252066115702
24.65652,502.282231404959
24.7557,502.202892561983
24.85466,502.260743801653
24.95478,502.220247933884
25.05436,502.270661157025
25.15433,502.21652892562
25.25416,502.182644628099
25.3548,502.23347107438
25.45539,502.069421487603
25.55367,502.070247933884
25.65326,502.126033057851
25.75251,502.084297520661
25.85215,502.154132231405
25.9535,502.084710743802
26.05369,501.907438016529
26.15289,501.914876033058
26.25313,501.926859504132
26.35262,501.857851239669
26.45222,501.911157024793
26.55276,501.806198347107
26.65238,501.672727272727
26.75215,501.69132231405
26.8522,501.640082644628
26.95241,501.513636363636
27.0531,501.465289256198
27.15241,501.281404958678
27.25102,501.19958677686
27.35126,501.290909090909
27.45317,501.147520661157
27.55406,500.801239669421
27.6526,500.579338842975
27.75063,500.59173553719
27.85103,500.565289256198
27.95262,500.269008264463
28.05388,499.886776859504
28.15224,499.555785123967
28.25026,499.448760330578
28.35073,499.388016528926
28.45293,498.969421487603
28.55317,498.478925619835
28.65081,498.310330578512
28.75006,498.345041322314
28.85342,497.95041322314
28.95355,497.370247933884
29.05106,497.260330578512
29.14946,497.230578512397
29.25145,496.864462809917
29.3524,496.301239669421
29.45049,495.996280991736
29.54995,495.802066115702
29.65124,495.333884297521
29.75173,494.747107438016
29.85055,494.303719008264
29.95019,493.912396694215
30.05144,493.292148760331
30.15352,492.532644628099
30.20338,482.598347107438
30.1696,469.622314049587
30.10368,451.429338842975
30.00869,429.786776859504
29.89272,405.63979338843
29.7612,379.455826446281
29.61641,351.929834710744
29.45992,323.825371900826
29.29381,295.65
29.12069,267.754958677686
28.94356,240.497231404959
28.76561,214.198099173554
28.58972,189.080578512397
28.41819,165.299462809917
28.25256,142.982933884298
