Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,N atom%,Mn atom%,CrH atom%,Ta atom%,P atom%,Al atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Ta atom% Sigma,P atom% Sigma,Al atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-4.650000184774399,20829,0.8545777521724519,92.35681021652505,0.5617168371021173,0,1.569926544721302,0.5377118440635652,0,0,0.47529886216333,0.009601997215420807,0.08641797493878726,0,0.009601997215420807,0.019203994430841614,0,0.009601997215420807,0.009601997215420807,0.009601997215420807,0.004800998607710404,0,0,3.4327140045129387,0.05281098468481444,0.06377903068439052,0.184093126801636,0.05178468270971356,0,0.08613295776853924,0.05067220632729605,0,0,0.047655674238707084,0.0067893113657387545,0.020360108928950807,0,0.0067893113657387545,0.009601075187646892,0,0.0067893113657387545,0.0067893113657387545,0.0067893113657387545,0.004800883358388951,0,0,0.12615358997735915,0.015918905869671988
-4.35000017285347,22744,1.0112557157931763,92.09461836088639,0.6111501934576152,0,1.6619767850861766,0.619943721421034,0,0,0.47485051002462186,0.004396763981709462,0.061554695743932464,0,0.02198381990854731,0.008793527963418923,0,0.008793527963418923,0.017587055926837847,0.004396763981709462,0,0,0,3.376714737952867,0.02198381990854731,0.06634221674660927,0.17891432870012378,0.0516784388704871,0,0.08476953291498592,0.05204659578153961,0,0,0.045583896976253147,0.004396667322979432,0.01644612041239859,0,0.009830382419149587,0.006217689858307924,0,0.006217689858307924,0.008792754668077024,0.004396667322979432,0,0,0,0.11977182392845238,0.009830382419149587
-4.050000160932541,23348,1.2720575638170293,91.50248415281823,0.8309062874764434,0,2.0686996744903206,0.5653589172520129,0,0,0.3897550111358575,0.012849066301182113,0.042830221003940384,0,0.05139626520472845,0.008566044200788077,0,0,0.004283022100394039,0,0.004283022100394039,0,0,3.2208326194963166,0.025698132602364226,0.07334129651295195,0.18248937828248815,0.0594072367882165,0,0.09315038222406158,0.04906887897126723,0,0,0.04077772715260212,0.007417935274181269,0.013541204310370977,0,0.014833010498964419,0.006056848509493233,0,0,0.004282930378020343,0,0.004282930378020343,0,0,0.1155447391238523,0.010489870592766548
-3.750000149011612,24352,1.4577858081471746,90.40325229960578,0.9773324572930354,0,2.7513140604467803,0.5831143232588699,0,0,0.37368593955321944,0.004106438896189225,0.061596583442838374,0,0.024638633377135347,0.012319316688567674,0,0.00821287779237845,0.004106438896189225,0,0,0,0,3.3303219448094614,0.00821287779237845,0.07680521330876239,0.18874990793028878,0.06304071847745803,0,0.1048201162708158,0.048790988198620114,0,0,0.03909967004146501,0.004106354581121588,0.015899270490138666,0,0.010057440718605497,0.007112122683437738,0,0.005807143098574502,0.004106354581121588,0,0,0,0,0.1149796356563757,0.005807143098574502
-3.450000137090683,24977,1.8857348760859993,89.61844897305521,0.9929134804019699,0,3.66737398406534,0.6085598750850783,0,0,0.39236097209432674,0.016014733554870483,0.07206630099691716,0,0.0200184169435881,0.012011050166152861,0,0.008007366777435241,0.0200184169435881,0.004003683388717621,0.004003683388717621,0,0,2.642431036553629,0.03603315049845858,0.08606691917827201,0.19300106086628824,0.06273627186124313,0,0.11893075136579347,0.04921029990566235,0,0,0.0395566119705282,0.008006725572535314,0.01698006828076399,0,0.008951612097498856,0.006934166576048179,0,0.005661836652144438,0.008951612097498856,0.004003603240512007,0.004003603240512007,0,0,0.10148843473564426,0.012008885991288791
-3.150000125169754,19516,2.9104324656691944,86.64172986267677,1.8497642959622873,0,5.257224841155975,0.5995080959212954,0,0,0.6763681082188974,0.005124000819840132,0.06661201065792172,0,0.030744004919040786,0.04099200655872105,0,0.010248001639680263,0.04611600737856118,0,0,0,0,1.7934002869440457,0.07173601147776185,0.12032881553734978,0.24352483821314433,0.0964513842553868,0,0.15975553788803432,0.055258156012071145,0,0,0.05867085970779636,0.005123869541236422,0.01846869343265687,0,0.012549257933053339,0.014489892143926085,0,0.0072460601363083296,0.015368457573889101,0,0,0,0,0.094997800458133,0.019165377577970162
-2.850000113248825,13927,4.8323400588784375,80.828606304301,3.281395849788181,0,7.934228477058951,0.5169814030300854,0,0,0.8616356717168091,0.057442378114453935,0.06462267537876068,0,0.09334386443598765,0.0861635671716809,0,0.014360594528613484,0.057442378114453935,0.007180297264306742,0.007180297264306742,0,0,1.335535291161054,0.021540891792920226,0.18171662070194308,0.3335650961840721,0.15095779184567082,0,0.22901960531985108,0.0607691483387194,0,0,0.07831661751192912,0.02030311373699579,0.021533930517809406,0,0.025876844274719327,0.024862561188788566,0,0.010153744625472073,0.02030311373699579,0.0071800394763351545,0.0071800394763351545,0,0,0.09727008122357023,0.012435300121537698
-2.550000101327896,10478,7.768658140866577,75.47241840045811,5.1918305020041995,0,8.94254628745944,0.4867341095628937,0,0,0.7253292613094102,0.08589425462874595,0.1717885092574919,0,0.038175224279442636,0.07635044855888527,0,0.009543806069860659,0.11452567283832793,0.009543806069860659,0,0,0,0.8303111280778775,0.07635044855888527,0.26150083015962866,0.42032217313174014,0.21674242918887981,0,0.27877200086037035,0.06799033541158188,0,0,0.08289868274491856,0.028619119196347798,0.040456145601318556,0,0.01908396842256686,0.026983652988823492,0,0.009543350637822518,0.03304177709511312,0.009543350637822518,0,0,0,0.08864836041137211,0.026983652988823492
-2.250000089406967,8146,11.085195187822244,67.02676160078566,8.08986005401424,0,11.048367296832803,0.6260741468205254,0,0,0.6629020378099681,0.07365578197888534,0.18413945494721334,0,0.09820770930518045,0.03682789098944267,0,0.012275963663147557,0.15958752762091824,0,0,0,0,0.6997299287994108,0.1964154186103609,0.3478455959317962,0.5208740446255673,0.30212037510609263,0,0.3473392090133796,0.0873930519249956,0,0,0.08991004361417963,0.03005877094522891,0.04750080846980586,0,0.034704614741478054,0.021258677133650938,0,0.012275210143602108,0.044226284331488466,0,0,0,0,0.09235666388753169,0.04905560717874113
-1.9500000774860382,6762,15.587104406980185,58.19284235433304,11.120970127181307,0,12.40757172434191,0.7690032534753032,0,0,0.6359065365276546,0.10351966873706005,0.1626737651582372,0,0.05915409642117716,0.07394262052647146,0,0.01478852410529429,0.05915409642117716,0.044365572315882874,0.01478852410529429,0,0,0.5915409642117717,0.1626737651582372,0.44111267598752624,0.5998221828292581,0.38232562455662883,0,0.40090280702828235,0.10623073400404687,0,0,0.09666601127497143,0.03910649985175376,0.04900807532036401,0,0.029568298898694563,0.03305591719893557,0,0.014787430562637028,0.029568298898694563,0.025608792484732325,0.014787430562637028,0,0,0.09325379187797625,0.04900807532036401
