Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 10 points,Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 100 points,Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 1000 points
,,,2.8000000000000003,0.3521243278133446,0.3531250236131312,0.28,0.960187136691132,0.9603060779800692
,,,2.9000000000000004,0.3407560470665635,0.3417545929677703,0.29,0.957693472864246,0.9578120371466836
,,,3.0,0.3300283304311115,0.3310251255819456,0.3,0.9551495769258848,0.9552677716671184
,,,3.1,0.3198965594810282,0.3208919302012708,0.31,0.9525573766160532,0.9526752091335534
,,,3.2,0.3103192060789592,0.3113134190947317,0.32,0.9499187508224248,0.9500362282887684
,,,3.3000000000000003,0.3012577022541042,0.3022509755307204,0.33,0.9472355306849698,0.9473526601307048
,,,3.4000000000000004,0.292676290985142,0.2936688025937226,0.34,0.944509500676794,0.9446262889932544
,,,3.5,0.284541866044287,0.2855337614188084,0.35,0.941742399661706,0.9418588536037678
,,,3.6,0.2768238070226298,0.2778152048993957,0.36,0.938935921928996,0.939052048117778
,,,3.7,0.2694938140601867,0.2704848113387603,0.37,0.9360917182058996,0.9362075231314142
,,,3.8,0.2625257455577592,0.2635164212790408,0.38,0.9332113966482244,0.933326886671972
,,,3.9,0.2558954611802561,0.2568858797819009,0.39,0.930296523809588,0.9304117051671026
,,,4.0,0.2495806717151218,0.2505708856954379,0.4,0.9273486255897244,0.9274635043930676
,,,4.1000000000000005,0.2435607967788151,0.2445508488764939,0.41,0.9243691881622952,0.9244837704025008
,,,4.2,0.237816830931969,0.2388067559095293,0.42,0.9213596588826352,0.9214739504321062
,,,4.3,0.2323312184403632,0.2333210445432463,0.43,0.9183214471758588,0.9184354537907158
,,,4.4,0.2270877366805646,0.2280774868307691,0.44,0.9152559254057338,0.9153696527281188
,,,4.5,0.2220713880172273,0.2230610807896872,0.45,0.9121644297247362,0.9122778832850688
,,,4.6000000000000005,0.217268299858633,0.2182579502797968,0.46,0.9090482609056724,0.9091614461248614
,,,4.7,0.2126656325162398,0.2136552527171489,0.47,0.9059086851552638,0.9060216073468764
,,,4.800000000000001,0.2082514944434068,0.2092410941937105,0.48,0.9027469349100712,0.9028595992824592
,,,4.9,0.2040148644006836,0.2050044515452274,0.49,0.899564209615132,0.8996766212735134
,,,5.0,0.199945520084285,0.2009351008999859,0.5,0.896361676485673,0.8964738404341757
,,,5.1000000000000005,0.1960339727560836,0.1970235522435867,0.51,0.8931404712522582,0.8932523923959212
,,,5.2,0.1922714074241053,0.1932609895460852,0.52,0.8899016988897195,0.8900133820364545
,,,5.300000000000001,0.1886496281393757,0.1896392160151941,0.53,0.8866464343302116,0.8867578841927275
,,,5.4,0.1851610079959571,0.1861506040606206,0.54,0.8833757231607291,0.8834869443584161
,,,5.5,0.1817984434445206,0.182788049578443,0.55,0.880090582305412,0.8802015793661901
,,,5.6000000000000005,0.1785553125546368,0.1795449301895264,0.56,0.8767920006929614,0.876902778055091
,,,5.7,0.1754254368862376,0.1764150670914633,0.5700000000000001,0.8734809399094787,0.8735915019233363
,,,5.800000000000001,0.1724030466557574,0.1733926902087568,0.58,0.8701583348370406,0.8702686857668596
,,,5.9,0.169482748906845,0.1704724063504887,0.59,0.8668250942783075,0.8669352383038823
,,,6.0,0.1666594984189211,0.1676491701082183,0.6,0.863482101567461,0.8635920427858209
,,,6.1000000000000005,0.1639285711090474,0.1649182572491428,0.61,0.8601302151677658,0.8602399575948128
,,,6.2,0.1612855397034364,0.1622752403804942,0.62,0.8567702692560291,0.8568798168281442
,,,6.300000000000001,0.1587262514744112,0.1597159666806917,0.63,0.8534030742942449,0.8535124308698637
,,,6.4,0.1562468078567135,0.1572365375109082,0.64,0.85002941758869,0.8501385869498452
,,,6.5,0.1538435457737612,0.1548332897374598,0.65,0.8466500638367371,0.8467590496905716
,,,6.6000000000000005,0.151513020519833,0.1525027786108362,0.66,0.8432657556616492,0.8433745616418991
