Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,OH atom%,Al atom%,N atom%,Ta atom%,P atom%,Ni atom%,Mn atom%,CrH atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,OH atom% Sigma,Al atom% Sigma,N atom% Sigma,Ta atom% Sigma,P atom% Sigma,Ni atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-5.850000232458115,44341,0.9562256151191899,88.98987393157574,1.5922058591371417,0,7.207776098870121,0.22552490922622404,0,0,0.1894409237500282,0.040594483660720326,0,0.036083985476195846,0.011276245461311202,0.00676574727678672,0.01353149455357344,0.06540222367560497,0.0022552490922622404,0,0.00676574727678672,0,0,0.5818542658036581,0.07442322004465393,0.04621585969554033,0.14864958462754552,0.059444491410476114,0,0.12281564508372614,0.022527045825926118,0,0,0.020650111636664272,0.009566269278247101,0,0.009019368654689853,0.005042605944134374,0.003906073867273191,0.005523835752217858,0.012140915879974186,0.0022552236613765163,0,0.003906073867273191,0,0,0.03611912319050999,0.012950597876490203
-5.550000220537186,48830,1.22670489453205,88.73438459963138,1.773499897603932,0,6.958836780667623,0.27032561949621137,0,0,0.18840876510342003,0.026622977677657176,0,0.032766741757116524,0.008191685439279131,0,0.008191685439279131,0.05734179807495392,0.0020479213598197828,0,0.0040958427196395655,0,0,0.632807700184313,0.07577309031333197,0.04981343126880938,0.1430803747725417,0.05972918058010401,0,0.11514962518903524,0.023497001350752625,0,0,0.0196244583649756,0.007382902500429468,0,0.008190343255115896,0.004095674956928007,0,0.004095674956928007,0.010833473854610443,0.0020479003898029404,0,0.002896138849262569,0,0,0.03588508875825401,0.012452298883889028
-5.250000208616257,52748,1.1867748540229013,88.96640630924395,1.7422461515128538,0,6.743383635398499,0.29764161674376277,0,0,0.1782058087510427,0.041707742473648286,0,0.032228710093273674,0.013270645332524457,0.005687419428224767,0.011374838856449535,0.06066580723439752,0.00947903238037461,0,0.0018958064760749224,0,0,0.6369909759611739,0.07204064609084705,0.04715076097382526,0.13641700763605855,0.05696855111981641,0,0.1091882139376635,0.023719009244254956,0,0,0.01836414085002673,0.00889026602819027,0,0.007815350648738773,0.0050154996418887475,0.003283539759557636,0.004643494399912374,0.010721047435024644,0.004238951232623819,0,0.001895788505578777,0,0,0.034639850467356244,0.011682325701603808
-4.950000196695328,60443,1.2573829889317207,88.95984646691925,1.7570272819019572,0,6.736925698592063,0.2316231821716328,0,0,0.2349320847740847,0.04136128253064871,0,0.04963353903677845,0.0049633539036778454,0.0016544513012259484,0.02150786691593733,0.07941366245884553,0.006617805204903794,0,0.006617805204903794,0,0,0.5542411859106927,0.05625134424168224,0.045322421039565686,0.12747104994830452,0.053440067031867856,0,0.10195598777621477,0.019553047681128928,0,0,0.019691890479337816,0.008270545573502945,0,0.009059553853877739,0.002865522596710649,0.0016544376151238001,0.005964567470225197,0.011457822599694191,0.00330879311227608,0,0.00330879311227608,0,0,0.030197398120511535,0.009644312277251654
-4.650000184774399,70978,1.5075093691002845,88.45135112288315,1.842824537180535,0,6.927498661557102,0.25641748147313254,0,0,0.21274197638704953,0.04085773056440024,0,0.04085773056440024,0.023951083434303588,0.007044436304206938,0.03240440699935191,0.09439544647637296,0.015497759869255261,0,0.002817774521682775,0,0,0.49592831581616836,0.047902166868607175,0.04573721233570433,0.11996538315686915,0.05048253332561226,0,0.09530968611992163,0.01898254410741453,0,0,0.01729427101673011,0.007585539979537361,0,0.007585539979537361,0.0058082952912373,0.0031502567230980148,0.006755691101428032,0.011526795006339574,0.004672388316273185,0,0.0019924394003184276,0,0,0.026367442048056817,0.008213185989185835
-4.35000017285347,89399,1.5190326513719392,88.62962672960548,1.8355910021364892,0,6.815512477768208,0.24944350607948637,0,0,0.261747894271748,0.03803174532153603,0,0.03691316457678498,0.01230438819226166,0.00783006521325742,0.03579458383203392,0.06152194096130829,0.0167787111712659,0,0.005592903723755299,0,0,0.42282352151590064,0.05145471425854876,0.0409065993334607,0.10617212035889825,0.04489507048741799,0,0.0842858631606469,0.0166831261696085,0,0,0.017088586627259744,0.006521150105720878,0,0.0064245710788096615,0.0037096843800085485,0.0029593706048281947,0.00632651566030901,0.00829306462207195,0.004331881133158437,0,0.002501152637122179,0,0,0.02170166938178585,0.007584631645041776
-4.050000160932541,113389,1.5804002151884222,89.90201871433737,1.6730017902971188,0,5.777456367019729,0.22753529883851167,0,0,0.25663865101553057,0.03527679051759871,0,0.024693753362319097,0.014110716207039483,0.007055358103519742,0.041450228858178485,0.061734383405797746,0.00793727786645971,0,0.004409598814699839,0,0,0.34306678778364746,0.04321406838405842,0.03703726209227413,0.08947805599704771,0.038088961412269425,0,0.06928836073718106,0.014149603759786264,0,0,0.0150251068531456,0.005576766416381725,0,0.004666104513213464,0.0035274301525893524,0.0024943577817557547,0.006044884081237274,0.007376392182748605,0.002645654286103057,0,0.001971989060793172,0,0,0.01736431416064082,0.006172104299507773
-3.750000149011612,114763,1.7104816012129345,90.76531634760332,1.816787640615878,0,4.6539389873042705,0.2526946838266689,0,0,0.25095196186924357,0.03659716110593136,0,0.037468522084644004,0.008713609787126512,0.011327692723264468,0.0357258001272187,0.07232296123315006,0.009584970765839165,0,0.006099526850988559,0,0,0.29277728884745086,0.03921124404206931,0.03827470576927367,0.08546140489382319,0.03942482331982397,0,0.062181439883640305,0.014819982554611696,0,0,0.014768919766992825,0.005646031130530698,0,0.00571282549389225,0.0027553653031892897,0.003141558740008346,0.005578435864847248,0.007935605130217795,0.002889838918282142,0,0.0023053341413855725,0,0,0.015948911782260666,0.005844121030681988
-3.450000137090683,61050,3.480753480753481,85.88533988533989,3.3972153972153976,0,6.047502047502047,0.27682227682227684,0,0,0.28173628173628174,0.050778050778050775,0,0.03276003276003276,0.011466011466011465,0.013104013104013105,0.040950040950040956,0.08845208845208846,0.029484029484029485,0,0.01638001638001638,0,0,0.28501228501228504,0.06224406224406224,0.0741823795977021,0.14091327142064153,0.07331849309298495,0,0.09647156937436988,0.021264527571290694,0,0,0.021451907181481003,0.009117691371379189,0,0.007324166025213721,0.004333496520298206,0.004632664700973322,0.008188331112445811,0.012031480052614766,0.006948427830130915,0,0.005179391742444666,0,0,0.021575912684459332,0.01009417725388186
-3.150000125169754,28005,7.902160328512766,72.7870023210141,7.698625245491876,0,9.819675058025352,0.29994643813604716,0,0,0.4392072844134976,0.12497768255668631,0,0.046420282092483486,0.01428316372076415,0.02499553651133726,0.0856989823245849,0.14640242813783252,0.0285663274415283,0,0.0285663274415283,0,0,0.39992858418139615,0.1535440099982146,0.1612054987241951,0.26594836250701115,0.15929160420916338,0,0.17782248204537,0.032677721102442235,0,0,0.0395149240597554,0.02111187908444895,0,0.012871681216880803,0.007141071820254272,0.00944624399404384,0.01748573414692443,0.022847474936493632,0.01009827926089599,0,0.01009827926089599,0,0,0.037714057532123306,0.023397258751392935
