Particle 1 x (Å), Particle 1 y (Å), Particle 1 z (Å), Particle 2 x (Å), Particle 2 y (Å), Particle 2 z (Å), Particle 3 x (Å), Particle 3 y (Å), Particle 3 z (Å)
4.19406598, 10.35624596, 2.23408000, 4.25697937, 0.12344162, 12.14123957, 12.66650370, 4.02890065, 0.10586093
4.13987263, 10.36041022, 2.12845391, 4.25741554, 0.21923475, 12.11145305, 12.62780615, 3.90479327, 0.14246278
4.07265731, 10.34139119, 2.00408493, 4.24959625, 0.32256114, 12.09539246, 12.55511841, 3.79396139, 0.13931213
4.00308149, 10.30165840, 1.88736920, 4.24138776, 0.40841926, 12.09105064, 12.44471926, 3.70527572, 0.09080253
3.93903000, 10.24255912, 1.80078564, 4.23966376, 0.45319798, 12.09546163, 12.31093897, 3.64382712, 0.01496115
3.88541641, 10.16481717, 1.75003312, 4.24780840, 0.44464016, 12.10611617, 12.17616023, 3.61094481, -0.06007295
3.84193581, 10.07411607, 1.72639706, 4.26124818, 0.38810735, 12.12281277, 12.05714304, 3.60847440, -0.10756851
3.80565622, 9.97937453, 1.71485976, 4.26948153, 0.30519036, 12.14980320, 11.96304435, 3.63926133, -0.10727481
3.77682918, 9.89038566, 1.70205572, 4.26276621, 0.22810033, 12.19202511, 11.89479190, 3.70426344, -0.05350354
3.75731841, 9.81495764, 1.67927247, 4.23461242, 0.18633230, 12.24935032, 11.84915265, 3.79706478, 0.03906435
3.74866478, 9.75646151, 1.64526989, 4.18892398, 0.18406544, 12.31209320, 11.82664795, 3.90490786, 0.14382167
3.75191009, 9.71621674, 1.60592280, 4.14147124, 0.20181790, 12.36599967, 11.84022808, 4.01602909, 0.23069851
3.76916841, 9.69485355, 1.57158670, 4.10297944, 0.22198316, 12.40599567, 11.90035034, 4.11477665, 0.27258670
3.80626414, 9.69291094, 1.55669142, 4.07242151, 0.23698780, 12.43649422, 11.99100589, 4.17966499, 0.26514621
3.87436869, 9.71107826, 1.57992562, 4.04695303, 0.24339034, 12.46234499, 12.07910345, 4.19115316, 0.22272654
3.98154296, 9.75145306, 1.65516980, 4.02545260, 0.23855757, 12.48453813, 12.15126451, 4.15213948, 0.16041531
4.11794164, 9.81738531, 1.77760375, 4.00819047, 0.22073593, 12.50035160, 12.21736507, 4.08752864, 0.08904082
4.24704803, 9.90613176, 1.91254526, 3.99488876, 0.19078757, 12.50632989, 12.29366720, 4.02917829, 0.01658966
4.32123934, 10.00876687, 2.00567101, 3.98570015, 0.14953569, 12.50034498, 12.39048120, 4.00234378, -0.05064205
4.32271150, 10.11999227, 2.03699642, 3.98147942, 0.09739607, 12.48178311, 12.50107380, 4.01502684, -0.10854937
4.28976390, 10.23186521, 2.03877684, 3.98309676, 0.03613245, 12.45197933, 12.59959362, 4.06150678, -0.15057677
4.25804835, 10.32748038, 2.02486000, 3.99050774, -0.02953756, 12.41391058, 12.65813692, 4.13018059, -0.16764523
4.24235677, 10.39225868, 1.99404763, 4.00230422, -0.09300386, 12.37067549, 12.66417061, 4.20643418, -0.15795293
4.24426031, 10.42811967, 1.95206025, 4.01742001, -0.14747009, 12.32393093, 12.62187203, 4.27415273, -0.13263312
4.25670180, 10.44910231, 1.91090239, 4.03666958, -0.18828109, 12.27375931, 12.54397145, 4.32107254, -0.10506695
4.26586146, 10.47081546, 1.88116076, 4.06167389, -0.21390003, 12.21956768, 12.44468069, 4.34331187, -0.08092845
4.25661473, 10.50480720, 1.86846615, 4.09461251, -0.22575534, 12.16128365, 12.33879835, 4.34387955, -0.06046105
4.22057268, 10.55273502, 1.87414523, 4.13705393, -0.22738422, 12.10076377, 12.23864099, 4.32806486, -0.04026573
4.15983507, 10.60313463, 1.89582321, 4.18715707, -0.22339874, 12.04344945, 12.15307568, 4.30205129, -0.01643633
4.08580454, 10.63579450, 1.92325031, 4.23986038, -0.21869798, 11.99819456, 12.08945735, 4.27343505, 0.01483535
4.01019563, 10.63462376, 1.94144336, 4.28840239, -0.21635420, 11.97411596, 12.05429201, 4.25039395, 0.05547176
3.94141542, 10.59611508, 1.94654402, 4.32596994, -0.21662713, 11.97761160, 12.04911088, 4.23706143, 0.10360332
3.88606697, 10.52970619, 1.95319819, 4.34701199, -0.21642505, 12.00835495, 12.06809010, 4.22958056, 0.15612337
3.85062159, 10.45066752, 1.98393800, 4.34780807, -0.21043045, 12.05763054, 12.10117008, 4.21907388, 0.20938095
3.84359737, 10.37536569, 2.05677897, 4.32498835, -0.19332350, 12.11305063, 12.13997672, 4.19811426, 0.25877997
3.86814194, 10.31510114, 2.17359281, 4.27594760, -0.16087620, 12.16340253, 12.18068178, 4.16859581, 0.29577610
3.91641398, 10.27382551, 2.31000183, 4.20292180, -0.11320278, 12.20497618, 12.22284728, 4.14049323, 0.31002007
3.97234605, 10.25137748, 2.42338610, 4.11608704, -0.05609305, 12.23961881, 12.26735803, 4.12206179, 0.29689002
4.01980508, 10.25165100, 2.47045515, 4.03149451, -0.00084409, 12.27006045, 12.31342760, 4.11253414, 0.26174614
4.05737623, 10.26748457, 2.43700253, 3.97234781, 0.03692158, 12.29615954, 12.35704521, 4.10604570, 0.21301073
4.09646274, 10.27421386, 2.34175517, 3.95969684, 0.04539570, 12.31360638, 12.39163755, 4.09747338, 0.15686406
4.14238638, 10.25783079, 2.21382950, 3.99412012, 0.02898919, 12.31925649, 12.40898862, 4.08355424, 0.09920378
4.19077179, 10.22327581, 2.07957061, 4.05671185, 0.00639607, 12.31380690, 12.40475106, 4.06405867, 0.04316118
4.23432975, 10.18010069, 1.95809246, 4.12580823, -0.00544243, 12.29834324, 12.38177226, 4.04246155, -0.01134263
4.26354579, 10.13683767, 1.86243180, 4.18305576, 0.00058746, 12.27249825, 12.34932803, 4.02512295, -0.06544057
4.26577751, 10.10114370, 1.80584167, 4.21674037, 0.02303701, 12.23709517, 12.31845715, 4.01789064, -0.12038103
