Distance (nm),Atom Count,C atom%,Co atom%,W atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,Ta atom%,WC atom%,CrH atom%,Zr atom%,WO atom%,Noise reference atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,Ta atom% Sigma,WC atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Noise reference atom% Sigma,H atom% Sigma,O atom% Sigma
-7.0500002801418304,30089,0.45531589617468177,94.69573598324969,2.818305693110439,0.11964505300940544,0.28249526404998504,0,0,0.0498521054205856,0.02991126325235136,0.04652863172587989,0,0.00997042108411712,0.013293894778822824,0.006646947389411412,0.003323473694705706,0.003323473694705706,0,0,0,0,0,1.415799793944631,0.0498521054205856,0.03881160168228095,0.12920338773227596,0.0954074756227565,0.019928909482357562,0.03059760330733016,0,0,0.012868549449936137,0.009968929833146858,0.012432406575502174,0,0.005756138319774811,0.006646505555630719,0.004699945364007788,0.0033234184668598345,0.0033234184668598345,0,0,0,0,0,0.06810840407495677,0.012868549449936137
-6.7500002682209015,32461,0.5113828902375158,94.66744709035459,2.7386710206093468,0.16019223067681218,0.26185268476017376,0,0,0.0462092973106189,0.021564338744955485,0.04928991713132683,0,0.01848371892424756,0.01848371892424756,0.0030806198207079267,0.006161239641415853,0,0,0,0.0030806198207079267,0,0,1.4786975139398049,0.015403099103539632,0.03958939331370261,0.12470589169326132,0.09058558337846274,0.02219686523198955,0.028364701434495616,0,0,0.011928432283707156,0.008149675075617771,0.01231944203860827,0,0.007545249234225246,0.007545249234225246,0.003080572369250075,0.004356520116936339,0,0,0,0.003080572369250075,0,0,0.0669921315559176,0.006887944792164409
-6.4500002562999725,35576,0.6155835394648077,94.79424331009669,2.515740948954351,0.17146390825275468,0.23330335057342028,0,0,0.05340679109512031,0.05340679109512031,0.06183944232066562,0,0.028108837418484373,0.005621767483696874,0.011243534967393748,0.005621767483696874,0.002810883741848437,0,0,0.005621767483696874,0,0,1.4054418709242185,0.03654148864402968,0.041469050061574274,0.11777533733430814,0.08302744025104611,0.021934874419607998,0.025578479592827122,0,0,0.012249085940135074,0.012249085940135074,0.013180136249356782,0,0.008887545505928629,0.00397507817043875,0.005621451432116374,0.00397507817043875,0.0028108442362337702,0,0,0.00397507817043875,0,0,0.062410025238559,0.010132933590672863
-6.150000244379044,40312,0.5928755705497123,94.86753324072237,2.2821988489779717,0.14635840444532647,0.30263941258186144,0,0,0.03224846199642786,0.03969041476483429,0.06697757491565787,0,0.017364556459615002,0.004961301845604287,0.00744195276840643,0.009922603691208573,0,0,0,0.012403254614010718,0,0,1.5702520341337567,0.047132367533240724,0.03823607991704326,0.1099017743364451,0.07437832798958789,0.01904029244016767,0.027358192460119033,0,0,0.008942671812784042,0.009920634334497462,0.01288552292814604,0,0.006562615572538037,0.0035080831520047915,0.004296453555190144,0.00496105569433795,0,0,0,0.005546560082846914,0,0,0.06191996414550458,0.010810358196908874
-5.850000232458115,45093,0.6408977003082519,95.03027077373429,2.255338966136651,0.15079945889605925,0.2838578049808174,0,0,0.05322333843390326,0.042135142926840084,0.03326458652118954,0,0.02661166921695163,0.008870556405650544,0.008870556405650544,0.006652917304237908,0.002217639101412636,0,0,0.002217639101412636,0,0,1.4303772204111502,0.024394030115538996,0.03757886175304584,0.10233938012675411,0.06991942842375042,0.018273326867714317,0.025054087475701172,0,0,0.010861276942843187,0.00966442803237109,0.008587450661257058,0,0.007681104953844188,0.004435081481535243,0.004435081481535243,0.003840935822980534,0.002217614511660387,0,0,0.002217614511660387,0,0,0.05591679554128191,0.007354179665263025
-5.550000220537186,50524,0.8174332990262054,94.6817354128731,2.3414614836513343,0.1326102446362125,0.2869923204813554,0,0,0.05937772147890112,0.033647375504710635,0.053439949331011004,0,0.023751088591560447,0.005937772147890112,0.017813316443670336,0.017813316443670336,0.0019792573826300374,0,0,0.0019792573826300374,0,0,1.498297838650938,0.025730345974190483,0.04005852655211171,0.09983187122136356,0.06727438808353375,0.01619017429977678,0.023799190360235215,0,0,0.010837620156198012,0.008159314204817959,0.010281774654727736,0,0.006855534418862787,0.0034280725678693205,0.005937243267265064,0.005937243267265064,0.001979237795234182,0,0,0.001979237795234182,0,0,0.054047060794605105,0.007135395822209644
-5.250000208616257,59526,0.8198098309982191,94.84090985451735,2.163760373618251,0.1360749924402782,0.22511171588885528,0,0,0.04031851627860095,0.05711789806135134,0.048718207169976144,0,0.047038268991701104,0.011759567247925276,0.005039814534825118,0.013439505426200317,0.0033598763565500793,0,0,0.0033598763565500793,0,0,1.5472230621913112,0.03695863992205087,0.03695861426574848,0.0906632042682633,0.05963498406347843,0.01510915321174998,0.019424789637090944,0,0,0.008228323401672193,0.009792840772784228,0.009044539981610249,0,0.008887306320140023,0.004444437291332487,0.0029096649547168765,0.004751263405993037,0.0023757514435036385,0,0,0.0023757514435036385,0,0,0.050586787462759616,0.007878152274279262
-4.950000196695328,71989,0.8209587575879649,94.78253622081151,2.047535040075567,0.14029921237966914,0.2847657280973482,0,0,0.07084415674616956,0.03889483115475975,0.04167303338009974,0,0.05278584228145967,0.011112808901359931,0.019447415577379876,0.011112808901359931,0.002778202225339983,0,0,0.012501910014029921,0,0,1.6210809984858798,0.04167303338009974,0.03363082742465568,0.08288211286073231,0.05278254001996462,0.013950496879326724,0.019860562593872085,0,0,0.00991665162453043,0.00734900257197859,0.00760683464571817,0,0.00856073402781451,0.003928752950491205,0.005197035020979177,0.003928752950491205,0.001964458344164135,0,0,0.004167042833611048,0,0,0.04706741102426064,0.00760683464571817
-4.650000184774399,86744,0.7735405330628056,95.32301945955916,1.8756340496172645,0.08876694641704326,0.26053675182145164,0,0,0.06455777921239508,0.02420916720464816,0.03689015954994005,0,0.04380706446555381,0.008069722401549385,0.008069722401549385,0,0.0057640874296781336,0,0,0.002305634971871253,0,0,1.4663838421101172,0.018445079774970025,0.02974647872856438,0.07169055695951983,0.04606199707850116,0.010111441585300956,0.0173080558598315,0,0,0.008624111007855385,0.005282233883235122,0.006520117520481569,0,0.007104887520353058,0.0030499453063240443,0.0030499453063240443,0,0.002577703970435418,0,0,0.0016303113287119394,0,0,0.04081279348824964,0.004610844647920183
-4.35000017285347,102448,0.826760893331251,95.43573325003905,1.6906137747930656,0.09956270498203967,0.2615961268155552,0,0,0.04880524754021552,0.02049820396689052,0.04490082773699828,0,0.05075745744182415,0.0029283148524129315,0.008784944557238794,0.003904419803217242,0.003904419803217242,0,0,0.0029283148524129315,0,0,1.4778228955177262,0.02049820396689052,0.028290164298719854,0.06520625740911022,0.04027800502042295,0.009853268015153446,0.01595861213100337,0,0,0.006900419798534483,0.0044726163497855525,0.0066187794305539215,0,0.007037006317828105,0.001690638614158105,0.0029281862241697662,0.0019521717900016088,0.0019521717900016088,0,0,0.001690638614158105,0,0,0.037698706848644715,0.0044726163497855525
