Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,N atom%,Mn atom%,WO atom%,Ta atom%,P atom%,Al atom%,CrH atom%,Zr atom%,Noise refernece atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,N atom% Sigma,Mn atom% Sigma,WO atom% Sigma,Ta atom% Sigma,P atom% Sigma,Al atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,Noise refernece atom% Sigma,H atom% Sigma,O atom% Sigma
-4.050000160932541,2991,0.10030090270812438,97.25844199264459,1.4710799063858242,0,0.2340354396522902,0.3343363423604146,0,0,0,0,0.06686726847208291,0,0,0.033433634236041454,0,0,0,0,0,0,0,0.5015045135406219,0,0.057879704391529244,0.29857549932248123,0.2201363628237019,0,0.08835351051996858,0.10554954572085318,0,0,0,0,0.047266488141622966,0,0,0.033428044729317444,0,0,0,0,0,0,0,0.12916280663374438,0
-3.750000149011612,3139,0.15928639694170119,97.70627588403951,1.1468620579802484,0,0.12742911755336095,0.41414463204842306,0,0,0.15928639694170119,0,0,0,0.03185727938834024,0,0,0,0,0,0,0,0,0.22300095571838166,0.03185727938834024,0.07117828581407547,0.2671998208718414,0.19004443840577884,0,0.06367395038582696,0.11462495797299774,0,0,0.07117828581407547,0,0,0,0.031852204552881784,0,0,0,0,0,0,0,0,0.08419240647426747,0.031852204552881784
-3.450000137090683,3407,0.5576753742295274,96.91810977399471,1.614323451717053,0,0.146756677428823,0.3522160258291752,0,0,0.1761080129145876,0,0.0587026709715292,0,0,0,0,0,0,0,0,0,0,0.146756677428823,0.0293513354857646,0.12758226292364522,0.2960908478947615,0.2159111891725476,0,0.06558340433023736,0.10149679111678939,0,0,0.0718324601844111,0,0.04149687146670732,0,0,0,0,0,0,0,0,0,0,0.06558340433023736,0.029347027665166697
-3.150000125169754,3757,0.18631887143997872,97.71093957945169,1.2509981368112857,0,0.053233963268565346,0.37263774287995743,0,0,0.13308490817141336,0,0,0,0.026616981634282673,0,0,0,0,0,0,0,0,0.21293585307426138,0.053233963268565346,0.07035627881076244,0.24399426879797317,0.18133184950273878,0,0.037632075892990176,0.09940589476441816,0,0,0.05947776277904639,0,0,0,0.02661343907998013,0,0,0,0,0,0,0,0,0.07520399659977232,0.037632075892990176
-2.850000113248825,4108,0.19474196689386564,97.54138266796495,1.2901655306718598,0,0.09737098344693282,0.4381694255111977,0,0,0.09737098344693282,0,0.04868549172346641,0,0,0,0,0,0,0,0,0,0,0.2921129503407984,0,0.06878460845424446,0.24161545228199255,0.17607095169790027,0,0.048661783179706715,0.10305101036152152,0,0,0.048661783179706715,0,0.03441746012776257,0,0,0,0,0,0,0,0,0,0,0.0842024919698033,0
-2.550000101327896,4617,0.15161360190599957,97.92072774528916,1.061295213341997,0,0.0649772579597141,0.36820446177171323,0,0,0.1949317738791423,0,0.021659085986571368,0,0,0.021659085986571368,0,0,0,0,0,0,0,0.15161360190599957,0.043318171973142736,0.05726109791736051,0.20999698439508668,0.15080692193301456,0,0.037502447402395896,0.08913813939645766,0,0,0.06491389640592203,0,0.021656740279520942,0,0,0.021656740279520942,0,0,0,0,0,0,0,0.05726109791736051,0.0306239381300171
-2.250000089406967,5177,0.5601699826154143,96.8707745798725,1.4873478848754105,0,0.07726482518833301,0.46358895112999804,0,0,0.2511106818620823,0.019316206297083253,0.038632412594166506,0,0,0.019316206297083253,0,0,0,0,0,0,0,0.19316206297083252,0.019316206297083253,0.10372919812091583,0.24197791397642288,0.16823378003082798,0,0.038617485077150876,0.09441009716786393,0,0,0.06955807355171785,0.019314340627856214,0.027311963754597938,0,0,0.019314340627856214,0,0,0,0,0,0,0,0.06102418434401755,0.019314340627856214
-1.9500000774860382,6197,0.6131999354526384,97.07923188639664,1.2909472325318703,0,0.048410521219945137,0.5002420526060998,0,0,0.2097789252864289,0,0.08068420203324189,0,0,0,0,0,0.032273680813296755,0,0,0,0,0.14523156365983542,0,0.09916870822353847,0.21390501021408995,0.14339763525595325,0,0.027943061310388227,0.08962111914880877,0,0,0.058121146468374296,0,0.036068512484519866,0,0,0,0,0,0.022817255681324214,0,0,0,0,0.04837535476863732,0
-1.6500000655651093,5175,2.4154589371980677,93.27536231884058,3.130434782608696,0,0.057971014492753624,0.463768115942029,0,0,0.2705314009661836,0.1352657004830918,0.03864734299516908,0,0.01932367149758454,0.01932367149758454,0,0.01932367149758454,0,0,0,0,0,0.1352657004830918,0.01932367149758454,0.21342002398143226,0.3481470665348563,0.24206992096156596,0,0.03345987808841513,0.09444649916031979,0,0,0.07220469140178484,0.0510910397782205,0.027322517062439704,0,0.01932180438598082,0.01932180438598082,0,0.01932180438598082,0,0,0,0,0,0.0510910397782205,0.01932180438598082
-1.3500000536441803,3750,5.573333333333333,84.34666666666666,8.213333333333333,0,0.08,0.48,0,0,0.3466666666666667,0.6133333333333334,0.02666666666666667,0,0.02666666666666667,0,0,0.08,0.05333333333333334,0,0,0,0,0.16,0,0.37461848642368195,0.59336475322551,0.4483672568743585,0,0.04616954263003551,0.11286522936670973,0,0,0.09598123273347263,0.12749604496407518,0.026663110874042464,0,0.026663110874042464,0,0,0.04616954263003551,0.037702303692264,0,0,0,0,0.06526744977398764,0
