Volume (Å^3), Energy (eV),quadratic fit to left part of parabola (eV)
67.495,-13.42556238,-13.422290023737041
67.5,-13.42549269,-13.422194438243032
67.505,-13.42542284,-13.42209861701635
67.51,-13.42535281,-13.422002560057003
67.515,-13.42528261,-13.421906267364985
67.52,-13.42521224,-13.421809738940308
67.525,-13.4251417,-13.42171297478296
67.53,-13.42507099,-13.42161597489294
67.535,-13.4250001,-13.421518739270258
67.54,-13.42492905,-13.421421267914909
67.545,-13.42485782,-13.421323560826895
67.55,-13.42478643,-13.421225618006211
67.555,-13.42471486,-13.421127439452864
67.56,-13.42464312,-13.421029025166849
67.565,-13.42457121,-13.420930375148163
67.57,-13.42449913,-13.420831489396814
67.575,-13.42442688,-13.420732367912795
67.58,-13.42435446,-13.420633010696115
67.585,-13.42428186,-13.420533417746764
67.59,-13.4242091,-13.420433589064743
67.595,-13.42413617,-13.420333524650058
67.6,-13.42406306,-13.42023322450271
67.605,-13.42398979,-13.42013268862269
67.61,-13.42391634,-13.420031917010004
67.615,-13.42384273,-13.419930909664654
67.62,-13.42376894,-13.419829666586637
67.625,-13.42369498,-13.419728187775949
67.63,-13.42362086,-13.419626473232594
67.635,-13.42354656,-13.419524522956575
67.64,-13.42347209,-13.419422336947893
67.645,-13.42339746,-13.419319915206536
67.65,-13.42332265,-13.419217257732516
67.655,-13.42324767,-13.419114364525832
67.66,-13.42317253,-13.419011235586478
67.665,-13.42309721,-13.418907870914456
67.67,-13.42302172,-13.418804270509767
67.675,-13.42294607,-13.418700434372415
67.68,-13.42287024,-13.418596362502392
67.685,-13.42279425,-13.418492054899701
67.69,-13.42271808,-13.418387511564347
67.695,-13.42264174,-13.418282732496326
67.7,-13.42256524,-13.418177717695638
67.705,-13.42248857,-13.418072467162279
67.71,-13.42241172,-13.417966980896257
67.715,-13.42233471,-13.41786125889757
67.72,-13.42225753,-13.417755301166213
67.725,-13.42218018,-13.417649107702186
67.73,-13.42210265,-13.417542678505498
67.735,-13.42202496,-13.417436013576143
67.74,-13.4219471,-13.417329112914118
67.745,-13.42186908,-13.417221976519425
67.75,-13.42179088,-13.417114604392065
67.755,-13.42171251,-13.417006996532045
67.76,-13.42163398,-13.41689915293935
67.765,-13.42155527,-13.416791073613993
67.77,-13.4214764,-13.416682758555968
67.775,-13.42139736,-13.416574207765276
67.78,-13.42131815,-13.416465421241917
67.785,-13.42123877,-13.41635639898589
