Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,P atom%,Al atom%,N atom%,Mn atom%,CrH atom%,Zr atom%,WO atom%,Ta atom%,Noise atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,P atom% Sigma,Al atom% Sigma,N atom% Sigma,Mn atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,WO atom% Sigma,Ta atom% Sigma,Noise atom% Sigma,H atom% Sigma,O atom% Sigma
5,10840,47.306273062730625,0.22140221402214022,51.56826568265682,0,0.15682656826568267,0.055350553505535055,0,0,0.07380073800738007,0.10147601476014759,0.10147601476014759,0,0.055350553505535055,0.06457564575645756,0.00922509225092251,0.03690036900369004,0,0.00922509225092251,0,0.01845018450184502,0,0.15682656826568267,0.06457564575645756,0.47953927719762857,0.045143480220767376,0.4800004365339152,0,0.03800619275385767,0.022590514260941767,0,0,0.026082871144506314,0.03058064182565379,0.03058064182565379,0,0.022590514260941767,0.02439941805915755,0.009224666729473406,0.018446780094674816,0,0.009224666729473406,0,0.013045046991228253,0,0.03800619275385767,0.02439941805915755
5.5,10787,47.149346435524244,0.17613794382126635,51.70112172058959,0,0.09270418095856123,0.10197459905441734,0,0,0.06489292667099286,0.16686752572541022,0.10197459905441734,0,0.03708167238342449,0.018540836191712245,0.046352090479280614,0.027811254287568372,0,0.018540836191712245,0,0.018540836191712245,0,0.12978585334198572,0.14832668953369796,0.48063199778464616,0.04037321233106286,0.4811363462023485,0,0.029302044484085698,0.030730817665774908,0,0,0.024519261324015166,0.03929822392160883,0.030730817665774908,0,0.018537398246903956,0.013109135559336328,0.02072448025685508,0.016054602190537497,0,0.013109135559336328,0,0.013109135559336328,0,0.034664211805458825,0.0370541611694855
6,10604,47.23689173896643,0.23576009053187474,51.52772538664655,0,0.24519049415314978,0.07544322897019992,0,0,0.028291210863824974,0.08487363259147492,0.08487363259147492,0,0.06601282534892493,0.028291210863824974,0.028291210863824974,0.00943040362127499,0,0.028291210863824974,0,0.028291210863824974,0,0.16031686156167485,0.13202565069784986,0.4848093451693202,0.04709640248688537,0.4853246234342136,0,0.04802682498592019,0.026663145936089715,0,0,0.01633162751003676,0.02827920242610265,0.02827920242610265,0,0.02494226611942455,0.01633162751003676,0.01633162751003676,0.009429958948228827,0,0.01633162751003676,0,0.01633162751003676,0,0.03885137007884832,0.035262038827137965
6.5,10583,47.55740338278371,0.2173296796749504,51.23310970424265,0,0.15118586412170462,0.06614381555324578,0,0,0.047245582538032696,0.08504204856845886,0.1417367476140981,0,0.09449116507606539,0.028347349522819615,0.047245582538032696,0.009449116507606539,0,0.047245582538032696,0,0.028347349522819615,0,0.15118586412170462,0.09449116507606539,0.48545252302220404,0.04526710106886267,0.4858850000230574,0,0.037767883766366375,0.024991743039718958,0,0,0.0211238750205399,0.02833529337570128,0.03657032649185449,0,0.029866609378875503,0.016364030000192712,0.0211238750205399,0.00944867006804627,0,0.0211238750205399,0,0.016364030000192712,0,0.037767883766366375,0.029866609378875503
7,10557,47.892393672444825,0.14208581983518045,50.84777872501658,0,0.1894477597802406,0.05683432793407218,0,0,0,0.19892014776925265,0.10419626787913233,0,0.05683432793407218,0.05683432793407218,0.03788955195604812,0,0,0.07577910391209625,0,0.00947238798901203,0,0.17997537179122858,0.1515582078241925,0.48619845313515475,0.03666032857892325,0.48656101256465323,0,0.04232166113544524,0.023195922784276214,0,0,0,0.043364739915833256,0.03139998522680183,0,0.023195922784276214,0.023195922784276214,0.01894118659262276,0,0,0.026781805847089064,0,0.009471939347716445,0,0.041252010086102825,0.03786082870586203
7.5,10467,48.26597879048438,0.19107671730199677,50.35826884494124,0,0.1528613738415974,0.05732301519059903,0,0,0.13375370211139773,0.16241520970669723,0.11464603038119806,0,0.028661507595299514,0.009553835865099837,0.05732301519059903,0,0,0.08598452278589853,0,0.009553835865099837,0,0.17196904557179707,0.20063055316709658,0.48842464011049147,0.04268521359291861,0.4887060810466035,0,0.03818612404031117,0.023395314621716522,0,0,0.03572326594865504,0.03935947252948566,0.033076481495908784,0,0.016545357541261466,0.009553379475300208,0.023395314621716522,0,0,0.02864918271509287,0,0.009553379475300208,0,0.040498625232225846,0.04373723477021545
8,10264,48.0319563522993,0.19485580670303976,50.60405300077942,0,0.20459859703819172,0.10717069368667187,0,0,0.06819953234606392,0.21434138737334374,0.11691348402182386,0,0.05845674201091193,0.03897116134060795,0.06819953234606392,0.03897116134060795,0,0.029228371005455965,0,0.009742790335151987,0,0.13639906469212784,0.0779423226812159,0.4931454157069782,0.04352861186782459,0.49349185290409925,0,0.044601377161373315,0.03229586018157255,0,0,0.025768208906647775,0.04564873647919133,0.03373028080643575,0,0.023857888661079064,0.019481783421769372,0.025768208906647775,0.019481783421769372,0,0.01687254154279099,0,0.009742315713773791,0,0.036429313359166306,0.02754603116699507
8.5,10507,48.443894546492814,0.2189016845912249,50.138003235937944,0,0.12372703911677929,0.05710478728466736,0,0,0.06662225183211193,0.19034929094889122,0.11420957456933473,0,0.03806985818977824,0.02855239364233368,0.02855239364233368,0.01903492909488912,0,0.047587322737222805,0,0.00951746454744456,0,0.237936613686114,0.237936613686114,0.4875511785351582,0.04559417121525615,0.48778560976638324,0,0.03429447096391911,0.023306274435662612,0,0,0.025172454884121252,0.042522866546599425,0.03295063178968369,0,0.0190313054647221,0.01648237859459008,0.01648237859459008,0.013458446356647353,0,0.021276633403883107,0,0.009517011626010584,0,0.04753067518870787,0.04753067518870787
9,10314,48.73957727360869,0.24238898584448323,49.825479930191975,0,0.2036067481093659,0.01939111886755866,0,0,0.0678689160364553,0.0969555943377933,0.14543339150668994,0,0.04847779716889665,0.03878223773511732,0.04847779716889665,0.01939111886755866,0,0.08726003490401396,0,0.03878223773511732,0,0.16482451037424858,0.21330230754314522,0.4921737049474014,0.04841900910287533,0.4923271603753398,0,0.044385380077420926,0.013710262166074388,0,0,0.02564333272551432,0.030645184078487375,0.03752342462656148,0,0.021674674360551816,0.019387358348010534,0.021674674360551816,0.013710262166074388,0,0.029073985008871716,0,0.019387358348010534,0,0.03994285708717734,0.045427677980422576
9.5,10359,49.95655951346655,0.3185635679119606,48.57611738584806,0,0.19306882903755188,0.07722753161502076,0,0,0.07722753161502076,0.15445506323004152,0.06757409016314316,0,0.03861376580751038,0.028960324355632783,0.06757409016314316,0.01930688290375519,0,0.06757409016314316,0,0,0,0.18341538758567427,0.1737619461337967,0.4912594570379033,0.05536639932299346,0.49106040198693185,0,0.04312980711417211,0.02729351048920032,0,0,0.02729351048920032,0.03858393382561055,0.025531974503432302,0,0.019303154986573548,0.016717829767756667,0.025531974503432302,0.013650709870689816,0,0.025531974503432302,0,0,0,0.042039768927302316,0.04092048495971549
