Time [s],Wavelength [nm],Voltage [V]
3726654110.5738062800,600.5937500000,0.0010926000
3726654111.4428048100,600.8125000000,0.0010886000
3726654112.3108038900,601.0000000000,0.0011008000
3726654113.1828045800,601.1875000000,0.0011253000
3726654114.0510783200,601.4062500000,0.0011253000
3726654114.9240489000,601.5937500000,0.0010722000
3726654115.7960777300,601.8125000000,0.0010355000
3726654116.6680440900,602.0000000000,0.0010293000
3726654117.5427269900,602.1875000000,0.0010518000
3726654118.4242129300,602.4062500000,0.0010538000
3726654119.3012352000,602.5937500000,0.0010498000
3726654120.1762313800,602.8125000000,0.0010681000
3726654121.0462293600,603.0000000000,0.0010559000
3726654121.9186782800,603.1875000000,0.0009926000
3726654122.8026542700,603.4062500000,0.0010007000
3726654123.6834158900,603.5937500000,0.0010028000
3726654124.5610218000,603.8125000000,0.0009844000
3726654125.4431471800,604.0000000000,0.0009864000
3726654126.3267016400,604.1875000000,0.0010293000
3726654127.2084960900,604.4062500000,0.0010089000
3726654128.0952305800,604.5937500000,0.0009762000
3726654128.9743800200,604.8125000000,0.0009803000
3726654129.8564696300,605.0000000000,0.0009742000
3726654130.7416825300,605.1875000000,0.0009701000
3726654131.6181077900,605.4062500000,0.0009619000
3726654132.4986424400,605.5937500000,0.0009701000
3726654133.3745927800,605.8125000000,0.0009844000
3726654134.2444438900,606.0000000000,0.0009885000
3726654135.1247224800,606.1875000000,0.0009762000
3726654136.0115566200,606.4062500000,0.0009783000
3726654136.8997817000,606.5937500000,0.0009742000
3726654137.7753086100,606.8125000000,0.0009885000
3726654138.6620359400,607.0000000000,0.0009844000
3726654139.5443568200,607.1875000000,0.0010048000
3726654140.4212904000,607.4062500000,0.0009905000
3726654141.3012189900,607.5937500000,0.0009701000
3726654142.1818552000,607.8125000000,0.0009701000
3726654143.0625462500,608.0000000000,0.0009701000
3726654143.9472942300,608.1875000000,0.0009476000
3726654144.8289871200,608.4062500000,0.0009415000
3726654145.7029151900,608.5937500000,0.0009476000
3726654146.5843381900,608.8125000000,0.0009415000
3726654147.4672818200,609.0000000000,0.0009436000
3726654148.3486542700,609.1875000000,0.0009783000
3726654149.2294569000,609.4062500000,0.0009905000
3726654150.1141533800,609.5937500000,0.0010171000
3726654150.9917616800,609.8125000000,0.0009190000
3726654151.8752799000,610.0000000000,0.0009190000
3726654152.7574558200,610.1875000000,0.0009088000
3726654153.6386833200,610.4062500000,0.0009027000
3726654154.5247902900,610.5937500000,0.0008925000
3726654155.4044575700,610.8125000000,0.0008782000
3726654156.2822966600,611.0000000000,0.0008782000
3726654157.1666264500,611.1875000000,0.0008721000
3726654158.0456776600,611.4062500000,0.0008700000
3726654158.9277849200,611.5937500000,0.0008700000
3726654159.8072495400,611.8125000000,0.0008721000
3726654160.6777296100,612.0000000000,0.0008762000
3726654161.5590200400,612.1875000000,0.0008659000
3726654162.4408321400,612.4062500000,0.0008578000
3726654163.3215928100,612.5937500000,0.0008537000
3726654164.2035760900,612.8125000000,0.0008639000
3726654165.0864982600,613.0000000000,0.0008578000
3726654165.9613962200,613.1875000000,0.0008537000
3726654166.8426809300,613.4062500000,0.0008537000
3726654167.7232246400,613.5937500000,0.0008496000
3726654168.6027274100,613.8125000000,0.0008782000
3726654169.4745240200,614.0000000000,0.0008905000
3726654170.3464713100,614.1875000000,0.0009967000
3726654171.2300210000,614.4062500000,0.0009436000
3726654172.1165018100,614.5937500000,0.0008700000
3726654172.9973158800,614.8125000000,0.0008476000
3726654173.8777656500,615.0000000000,0.0008557000
3726654174.7544150300,615.1875000000,0.0008537000
3726654175.6333146100,615.4062500000,0.0008537000
3726654176.5179505300,615.5937500000,0.0008496000
3726654177.4047021900,615.8125000000,0.0008700000
3726654178.2903738000,616.0000000000,0.0008802000
3726654179.1736326200,616.1875000000,0.0008435000
3726654180.0558815000,616.4062500000,0.0008374000
3726654180.9355273200,616.5937500000,0.0008271000
3726654181.8167104700,616.8125000000,0.0008312000
3726654182.6953320500,617.0000000000,0.0008353000
3726654183.5762333900,617.1875000000,0.0008292000
3726654184.4645385700,617.4062500000,0.0008292000
3726654185.3439135500,617.5937500000,0.0008374000
3726654186.2223024400,617.8125000000,0.0008210000
3726654187.1075873400,618.0000000000,0.0008312000
3726654187.9926223700,618.1875000000,0.0008149000
3726654188.8773183800,618.4062500000,0.0008169000
3726654189.7574768100,618.5937500000,0.0008231000
3726654190.6353216200,618.8125000000,0.0008088000
3726654191.5147089900,619.0000000000,0.0008149000
3726654192.3938493700,619.1875000000,0.0008169000
3726654193.2756657600,619.4062500000,0.0008251000
3726654194.1485481200,619.5937500000,0.0008149000
3726654195.0246853800,619.8125000000,0.0008108000
3726654195.9013896000,620.0000000000,0.0008047000
